,Live Spectrum 10-11-2023 10:04:18 - Spikes removed,Live Spectrum 10-11-2023 10:04:19 - Spikes removed,Live Spectrum 10-11-2023 10:04:20 - Spikes removed,Live Spectrum 10-11-2023 10:04:22 - Spikes removed,Live Spectrum 10-11-2023 10:04:23 - Spikes removed,Live Spectrum 10-11-2023 10:04:23 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,16.75,15.96875,16.5,16.78125,16.5625,17.09375,
361.2189,16.71875,15.97257,16.64219,16.8125,16.43941,16.95729,
361.5005,16.714937,16.04269,16.90625,16.804873,16.49163,16.765997,
361.7821,16.721761,16.187811,16.91196,16.75,16.701931,16.610569,
362.0636,16.844599,16.453549,16.952701,16.734799,16.951852,16.444252,
362.3452,16.806904,16.472638,16.990516,16.763372,17.027362,16.628888,
362.6267,16.880695,16.613639,17.036917,16.982944,16.738667,16.792611,
362.9083,16.675397,16.567287,16.931312,16.811098,16.672012,16.838963,
363.1899,16.667112,16.561441,16.745766,16.483846,16.90625,16.950479,
363.4714,17.049846,16.661563,16.841093,16.55086,16.618044,17.183829,
363.7530,17.325217,16.812772,16.868913,16.631359,16.186957,17.237283,
364.0346,17.044618,16.957596,16.885601,16.573654,16.124447,17.228798,
364.3161,16.672617,17,16.672617,16.621198,16.650963,17.002644,
364.5977,16.472157,16.902726,16.447839,16.631931,17.062617,16.784657,
364.8792,16.385213,16.770425,16.458537,16.729575,16.941994,16.828431,
365.1608,16.766474,16.610188,17.027998,16.442414,16.738476,16.899675,
365.4424,16.931599,16.653299,16.855553,16.555123,16.808074,16.90625,
365.7239,17,16.84408,16.563491,16.62467,16.750661,16.907241,
366.0055,16.993611,16.864352,16.673286,16.585232,16.808241,17.008518,
366.2870,16.894483,16.706983,16.933706,16.449139,16.746078,17.128922,
366.5686,16.795374,16.619291,17.113583,16.301083,16.770127,17.093456,
366.8502,16.696285,16.571285,16.995104,16.279954,17,16.797523,
367.1317,16.726882,16.648192,16.864608,16.449096,16.935166,16.65738,
367.4133,16.825371,16.977942,16.974267,16.636029,16.78125,16.415442,
367.6949,16.52413,16.95029,16.6846,16.64346,16.79404,16.31105,
367.9764,16.672373,17.09965,16.470911,16.537733,16.885222,16.34965,
368.2580,16.922543,17.233707,16.404915,16.356037,16.919872,16.532585,
368.5395,16.793224,17.182681,16.483207,16.28125,16.784828,16.5625,
368.8211,16.4898,16.93878,16.62181,16.34056,16.60013,16.20664,
369.1027,16.439498,16.640506,16.828244,16.525495,16.380755,15.742009,
369.3842,16.863527,17.166277,16.674028,16.547306,16.962721,16.298444,
369.6658,16.925183,17.250306,16.643628,16.53125,16.913172,16.680883,
369.9473,16.826302,17.192101,16.709549,16.451302,16.657205,17.198437,
370.2289,16.500612,17.159147,16.491923,16.465853,16.795121,17.252897,
370.5105,16.588955,16.945891,16.438699,16.558904,17.113013,16.829281,
370.7920,16.818415,16.874014,16.503943,16.408715,17.30067,16.561514,
371.0736,17.194034,16.819034,16.773959,16.564678,16.536363,16.508712,
371.3552,17.234966,16.875394,17.05518,16.613035,16.249212,16.578716,
371.6367,16.834364,16.65072,16.770191,16.766589,16.69303,16.283178,
371.9183,16.428037,16.660981,16.639591,16.886928,16.682769,16.480678,
372.1998,16.276066,16.790107,16.330717,16.986967,16.447364,16.563004,
372.4814,16.510511,16.780968,16.187218,16.875,16.166761,16.290631,
372.7630,16.385344,16.779544,16.149318,16.753412,16.199659,15.977388,
373.0445,16.170051,16.888801,16.256503,16.603902,16.204949,15.816149,
373.3261,16.310991,16.90625,16.451805,16.640814,16.033136,15.842996,
373.6076,16.335104,16.940382,16.716094,16.812726,16.438179,16.452363,
373.8892,16.193931,17.024819,16.526028,16.875302,16.88756,16.88756,
374.1708,16.095329,17.001579,16.109431,16.853114,16.915614,16.935921,
374.4523,15.974827,16.990668,16.482199,16.896918,16.893664,16.902996,
374.7339,16.055117,17.07057,16.89921,16.741587,16.827953,16.73386,
375.0155,16.445464,17.169117,16.792893,16.511643,16.887867,16.561888,
375.2970,16.691543,17.214215,16.723285,16.522181,16.826104,16.611396,
375.5786,16.747052,17.21875,16.916867,16.64446,16.869105,16.709907,
375.8601,17.168367,17.03945,16.489249,16.775784,16.934767,16.658983,
376.1417,17.030001,16.873126,16.406875,16.718125,16.716251,16.46875,
376.4233,16.83842,16.606188,16.50533,16.610785,16.341973,16.472304,
376.7048,16.770036,16.842555,16.600429,16.328248,16.309161,16.557965,
376.9864,16.932604,17.113334,16.661146,15.971772,16.300834,16.80573,
377.2679,16.848231,17.212303,16.681053,16.17559,16.438483,16.943947,
377.5495,16.561071,17.155536,16.664241,16.289956,16.63442,16.936786,
377.8311,16.422649,16.919554,16.773267,16.368131,16.757983,16.777042,
378.1126,16.53125,16.671186,16.891314,16.358686,16.617812,16.492252,
378.3942,16.543839,16.862856,16.649288,16.613301,16.743928,16.224822,
378.6758,16.57661,16.92339,16.48589,16.823579,16.76714,16.17339,
378.9573,16.796869,16.90625,16.46875,16.906249,16.656253,16.374994,
379.2389,17.0514,16.786316,16.46875,16.851833,16.528233,16.662284,
379.5204,17.112386,16.631591,16.450114,16.855796,16.630455,16.830568,
379.8020,17.125,16.573617,16.356966,16.926383,16.859684,16.865983,
380.0836,17.103375,16.908493,16.398998,16.591507,16.959125,16.627504,
380.3651,16.978201,17.10872,16.899697,16.599269,16.760761,16.57747,
380.6467,16.9375,17.075822,16.964143,16.508715,16.539965,16.790464,
380.9282,17.198128,17.140688,16.598684,16.416624,16.473937,16.791624,
381.2098,17.029757,16.825885,16.421128,16.488841,16.523811,16.643598,
381.4914,16.797054,16.665281,16.783149,16.905891,16.589234,16.798953,
381.7729,16.78125,16.534457,16.934293,17.028845,16.502405,16.934293,
382.0545,16.869814,16.746759,16.632131,16.866573,16.517503,17.14134,
382.3360,16.620815,16.59375,16.949919,16.477119,16.749721,16.458423,
382.6176,16.580153,16.583158,16.694561,16.621995,16.867531,16.781776,
382.8992,16.738602,16.509926,16.754963,16.84375,16.942463,17.080881,
383.1807,16.901258,16.677516,16.653454,16.862919,16.96875,17.311801,
383.4623,17.148432,17.109379,16.078143,16.929689,16.976561,17.132825,
383.7439,17.292557,17.099403,15.982138,16.887798,17.046129,16.987202,
384.0254,17.447479,17.198135,16.472029,16.854385,17.15625,16.999344,
384.3070,17.249744,17.194672,16.745133,16.923156,16.951588,16.997695,
384.5885,16.946253,17.169687,16.606879,17.013437,16.651874,16.999692,
384.8701,16.800855,17.231987,16.529658,16.986763,16.702329,16.682223,
385.1517,16.702535,17.200173,16.481423,17.002362,16.767396,16.403888,
385.4332,16.599519,17.160192,16.388654,16.904134,16.742115,16.378942,
385.7148,16.53125,17.111615,16.375,16.667422,16.820299,16.482135,
385.9963,16.592272,17.001478,16.354659,16.532728,16.824888,16.592272,
386.2779,16.603296,16.81682,16.408863,16.586817,16.651024,16.646704,
386.5595,16.547625,16.542439,16.022379,16.463564,16.201691,16.633188,
386.8410,16.262689,16.541994,16.094732,16.601567,16.086915,16.625,
387.1226,16.084455,16.614023,16.310818,16.682011,16.171034,16.831091,
387.4042,16.306422,16.679205,16.479262,16.985626,16.29591,16.956307,
387.6857,16.59969,16.886565,16.414687,17.145001,16.511565,17.025626,
387.9673,16.446394,16.90625,16.257412,17.007412,16.41218,17.090785,
388.2488,16.624051,16.750791,16.405459,16.564715,16.40625,17.155934,
388.5304,17.027769,16.697942,16.331063,16.71875,16.576422,17.395808,
388.8120,16.935027,16.971223,16.824865,16.733588,16.917716,17.117581,
389.0935,16.921371,17.01134,16.995211,16.962952,16.653479,17.050151,
389.3751,17.00076,17.068341,17.192582,17.339428,16.40625,17.223072,
389.6566,16.773594,16.924744,17.193239,17.092472,16.444517,17.342472,
389.9382,16.5,16.875,17.09375,16.813077,16.685769,16.978726,
390.2198,16.544766,16.883953,17.084797,16.673984,16.99561,16.696626,
390.5013,16.686948,16.90625,17.072733,16.593198,17.134128,17.079653,
390.7829,16.807533,16.825704,16.817594,16.805835,16.936054,17.361922,
391.0645,16.95735,16.6875,16.382075,16.960301,16.3182,17.086675,
391.3460,17.087401,16.715575,16.591915,16.728274,16.253175,17.03125,
