,Live Spectrum 10-11-2023 10:14:57 - Spikes removed,Live Spectrum 10-11-2023 10:14:58 - Spikes removed,Live Spectrum 10-11-2023 10:14:58 - Spikes removed,Live Spectrum 10-11-2023 10:14:59 - Spikes removed,Live Spectrum 10-11-2023 10:14:59 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,
360.9374,16.9375,17.3125,17.03125,17.03125,16.875,
361.2189,16.82205,17.02743,16.6875,16.73854,16.48854,
361.5005,16.976377,16.96875,16.73326,16.58538,16.350633,
361.7821,17.03125,17.025851,17.136731,16.807101,16.670681,
362.0636,16.993248,17.28125,17.354745,17.092901,16.913002,
362.3452,16.818096,17.262282,17.056904,17.159048,16.93641,
362.6267,16.596611,17.1165,17.278389,17.082389,16.627861,
362.9083,16.741828,17.056585,17.252257,16.850793,16.495213,
363.1899,17.171346,17.294229,17.10567,16.66817,16.546346,
363.4714,17.034921,17.290234,17.388283,16.916876,16.66422,
363.7530,16.718207,17.105924,17.418424,17.012446,16.731196,
364.0346,16.676346,16.700868,17.240506,16.855458,16.677452,
364.3161,16.988593,16.486276,17.120039,16.736276,16.701224,
364.5977,17.142387,16.590343,17.239661,16.961936,16.840343,
364.8792,16.920957,16.781862,17.411969,17.135825,17.08415,
365.1608,16.819075,16.868425,16.934177,16.960513,17.01315,
365.4424,16.782725,16.904775,17.053648,16.580204,17.029775,
365.7239,17.029267,17.002644,17.34342,16.721394,17.060187,
366.0055,16.862916,17.256389,17.340184,17.017729,16.828843,
366.2870,17.148533,17.331983,17.757972,17.711033,16.628922,
366.5686,17.381002,17.25,17.968456,17.800789,16.741878,
366.8502,17.777361,17.242512,17.537731,17.333958,17.184907,
367.1317,17.756855,17.070558,17.238477,16.887726,17.041569,
367.4133,17.053308,16.784925,17.568017,16.931983,16.371321,
367.6949,17.13212,16.94462,17.32951,17.11933,16.81118,
367.9764,17.202044,17.029089,17.204206,17.170794,17.226811,
368.2580,17.120994,17.029915,17.138622,17.203793,17.327457,
368.5395,17.139457,17.018034,17.09375,17.236784,17.222328,
368.8211,16.9222,17.38711,17.09375,17.15115,17.21556,
369.1027,16.75,17.765744,16.964755,17.072251,17.185502,
369.3842,16.982222,17.379306,17.161694,17.201833,16.993695,
369.6658,17.012622,17.168872,17.349755,17.324817,16.887622,
369.9473,16.973351,17.15625,17.188455,17.370399,16.901649,
370.2289,17.138871,16.957776,16.929423,17.46006,16.934603,
370.5105,17.336558,16.877397,16.786045,17.228339,16.907449,
370.7920,17.5625,16.998028,16.850158,17.122535,16.904771,
371.0736,17.558144,16.881534,17.267424,16.955682,16.816856,
371.3552,17.465287,16.93018,17.399718,16.81982,16.83643,
371.6367,17.262988,16.683899,16.715149,17.121399,16.5625,
371.9183,17.403984,16.891659,16.865339,17.242804,16.605678,
372.1998,17.169787,17.12968,16.981783,17.139041,16.758857,
372.4814,17.009381,16.988924,17.051707,16.884946,16.91789,
372.7630,16.829885,16.880226,17.005226,16.756932,17.236135,
373.0445,17.016656,16.923699,17.076301,16.773953,17.367703,
373.3261,17.295178,16.952559,17.09375,16.890059,17.4375,
373.6076,17.079113,16.692812,16.974288,16.800972,17.369236,
373.8892,16.725181,16.474879,16.89369,16.837016,17.200363,
374.1708,16.768728,16.743683,16.987478,17.018728,16.962545,
374.4523,16.8125,16.896918,17.03125,16.974827,16.831164,
374.7339,17.02421,16.953297,17.195913,16.749313,16.74193,
375.0155,17.319852,16.993872,17.275122,16.6875,16.844362,
375.2970,17.481862,17.080146,17.28125,16.580638,16.768138,
375.5786,17.528302,16.98054,17.309552,16.817222,16.86321,
375.8601,17.471483,17.177934,17.291387,16.903517,16.934767,
376.1417,17.216668,17.407083,17.22125,17.060834,17.000833,
376.4233,16.913357,17.524143,17.25533,16.80717,17.13033,
376.7048,17.044608,17.356159,17.323714,16.692035,17.175338,
376.9864,17.195418,16.922812,17.10729,16.488334,16.8125,
377.2679,17.419143,16.82441,16.772838,16.59375,16.780267,
377.5495,17.484732,16.781964,16.492009,16.673661,16.664241,
377.8311,17.273948,16.827351,16.525928,17.001547,16.630322,
378.1126,16.720687,16.696625,16.733686,17.174501,16.621686,
378.3942,16.65536,16.605894,17.051246,17.030805,16.906695,
378.6758,16.285323,16.601799,17.29839,16.96572,17,
378.9573,16.40624,16.703125,17.10938,17.124996,17.046874,
379.2389,17.058402,16.872951,16.868966,17.318534,17.008083,
379.5204,17.461591,17.223637,16.849773,17.244545,17.179773,
379.8020,17.582633,17.495801,16.995801,16.995183,17.34375,
380.0836,17.291006,17.32463,17.019251,16.863001,16.954507,
380.3651,16.971371,17.357409,17.02311,16.612651,17.012349,
380.6467,16.758715,17.283304,16.932893,16.334536,17.142928,
380.9282,16.953315,17.145749,16.932313,16.307313,16.843497,
381.2098,17.110122,16.822165,17.020091,16.147317,16.671128,
381.4914,17.067016,16.607297,17.176211,16.588876,17.004157,
381.7729,17.427879,16.685095,17.400638,16.807689,16.970354,
382.0545,18.02023,16.901712,17.451895,16.831433,16.723936,
382.3360,17.479077,16.683315,17.158109,16.256277,16.993858,
382.6176,17.159255,16.649714,17.268616,16.364934,17.361403,
382.8992,16.922611,16.888418,17.041176,16.546139,17.425553,
383.1807,16.869309,17.182508,17.144868,16.765576,17.056809,
383.4623,16.992182,17.40625,17.289075,17.265636,17.195304,
383.7439,17.136307,17.360121,17.051193,17.078871,17.294048,
384.0254,17.3125,17.196824,16.875,16.958115,17.143647,
384.3070,17.348617,17.033555,16.935195,17.118084,17.142162,
384.5885,17.379376,17.004684,17.084997,17.298755,17.347819,
384.8701,17.150973,16.989947,17.230395,17.052447,17.03921,
385.1517,17.067224,16.858785,17.231423,16.905069,17.102016,
385.4332,17.152308,16.826154,17.244231,16.839808,17.3125,
385.7148,16.97323,16.755586,17.331471,16.831471,17.217644,
385.9963,16.610572,16.881475,17.364091,16.884431,17.054547,
386.2779,16.31682,16.925341,17.375,16.841137,17.086817,
386.5595,16.734308,16.790938,17.07519,16.259005,16.894377,
386.8410,16.930665,16.554683,17.090823,16.135744,16.885744,
387.1226,17.040545,16.525761,17.073477,16.285057,16.648637,
387.4042,17.035398,16.666762,17.198012,16.3125,16.620852,
387.6857,16.974374,16.858127,17.360939,16.96657,16.852503,
387.9673,16.790144,16.934535,17.375,16.971715,17.321514,
388.2488,16.750158,17.155143,17.095174,17.062025,17.468117,
388.5304,16.758121,17.239633,16.951422,17.052058,16.851871,
388.8120,16.978642,17.763939,17.310027,16.798561,17.052608,
389.0935,17.123991,17.532259,17.303931,17.037801,16.922379,
389.3751,17.364077,17.3125,17.448423,17.3125,16.8125,
389.6566,17.462372,17.306122,17.337372,17.280611,16.863522,
389.9382,17.368485,17.258245,17.289495,17.20226,17.070168,
390.2198,17.012998,17.053202,17.165031,17.245264,17.102703,
390.5013,16.646017,16.647122,17.041483,16.774882,17.053372,
390.7829,16.774585,16.73013,17.004967,16.531124,16.90625,
391.0645,17.095124,17.0739,16.893475,16.919025,16.944575,
391.3460,17.355953,16.971925,16.832887,16.923462,17.098264,
391.6276,17.486025,17.013975,16.674184,16.96743,17.096389,
391.9091,17.207686,17.159938,16.694876,17.163626,16.935656,
392.1907,17.03125,17.236543,16.86588,17.210077,16.817283,
392.4723,16.936079,17.345171,16.90625,17.118181,16.61676,
392.7538,16.915539,17.467059,17.068408,17.012671,16.592059,
393.0354,16.873001,17.027006,17.242249,16.882751,16.947496,
393.3169,16.889199,17.176088,17.213077,16.84375,17.071026,
393.5985,16.882307,17.38433,17.163557,16.795863,17.0625,
393.8801,17.000786,17.381093,17.181407,16.730936,16.836086,
394.1616,17.163077,17.190442,17.240231,16.797846,16.491231,
394.4432,17.159932,17.073545,17.332705,16.97791,16.547773,
394.7248,16.839827,17.004968,17.54511,17.20136,16.476203,
395.0063,16.572837,17.089874,17.472626,17.278666,16.768328,
395.2879,16.998524,16.34628,16.970437,16.689503,17.061551,
395.5694,16.89872,16.846977,16.91378,16.67131,16.96875,
395.8510,16.692003,16.919488,17.138509,17.089247,17.002523,
396.1326,16.787642,16.65328,17.322766,17.062048,17.461454,
396.4141,17.139621,16.388761,17.43836,17.303326,17.587443,
396.6957,17.383262,16.46875,17.55029,17.215519,17.164512,
396.9772,17.274349,16.406638,17.156638,17.034895,17.110809,
397.2588,17.145344,16.364611,16.913349,17.066308,17.305401,
397.5404,16.90811,16.930166,16.862139,17.409917,17.329028,
397.8219,17.13483,17.145163,17.019912,17.261087,17.115421,
398.1035,17.200987,17.278102,17.204135,17.082284,16.803055,
398.3851,17.024718,17.029838,17.049435,16.999529,16.637594,
398.6666,16.913883,16.75,16.868916,16.878816,16.752268,
398.9482,16.977259,16.839006,16.840587,16.606401,16.993675,
399.2297,17.316358,17.033179,17.065715,16.311857,17.316358,
399.5113,17.465893,16.852144,17.406339,16.741695,17.15893,
399.7929,17.346724,16.715776,17.290171,17.016069,16.602671,
400.0744,17.28125,16.78125,16.843477,16.860493,16.386998,
400.3560,17.342279,16.740564,16.768872,16.792157,16.395343,
400.6375,17.503575,16.633033,16.8125,16.802679,16.513396,
400.9191,17.404929,16.436179,16.94756,16.76748,16.742581,
401.2007,16.989963,16.469343,16.693385,16.797172,16.647399,
401.4822,16.60378,16.524656,16.495125,16.935782,16.421156,
401.7638,15.913929,16.428363,16.46875,16.788698,16.68366,
402.0453,16.263325,16.459814,16.308058,16.75,16.75,
402.3269,16.956164,16.635772,16.643131,16.666489,17.056207,
402.6085,17.233458,16.771798,17.236351,16.742911,17.09375,
402.8900,17.369727,17.050635,17.071728,16.630273,16.824365,
403.1716,17.1582,16.938615,16.721815,16.594029,16.905414,
403.4532,17.089215,16.808721,16.631802,16.497733,17.070814,
403.7347,16.900895,16.661605,16.931241,16.425886,17.390184,
404.0163,16.809691,16.780902,17.354987,16.769665,17.133428,
404.2978,16.788907,17.120549,17.46875,16.984063,17.245549,
404.5794,16.853435,17.307658,17.439696,17.079223,17.4375,
404.8610,16.90625,17.28125,17.287101,16.935635,17.455054,
405.1425,16.899395,17.253829,17.257658,16.65625,17.448987,
405.4241,16.929979,17.093417,17.007521,16.726937,17.164104,
405.7056,17.102598,16.950489,16.737575,17.017131,17.178652,
405.9872,16.957777,17.082173,16.744176,17.179403,17.087393,
406.2688,16.712774,17.092539,17.300468,17.115391,16.969961,
406.5503,17.090888,17.019451,17.171554,17.132652,17.137442,
406.8319,17.126612,16.948909,17.157614,17.017113,17.363591,
407.1135,16.702568,16.875,17.387415,16.865025,17.203894,
407.3950,16.709553,16.875,17.577205,16.886026,16.803313,
407.6766,16.937656,16.984648,17.578086,16.96875,16.656172,
407.9581,16.966764,17.077132,17.479411,16.952132,16.575147,
408.2397,17.253698,17.0098,16.756287,17.253698,16.58395,
408.5213,17.407448,16.98726,16.564677,17.425958,16.736062,
408.8028,17.265953,16.883304,17.014642,17.491696,16.851399,
409.0844,17.1576,16.730967,17.054334,17.419817,16.875,
409.3659,17.188937,16.730125,17.170498,17.237189,16.747126,
409.6475,17.307696,16.772236,17.4946,17.054082,16.620791,
409.9291,17.227972,16.711783,17.640061,16.976844,16.663217,
410.2106,17.11529,16.855989,17.511831,16.89654,16.6875,
410.4922,17.268605,16.831312,17.718543,17.57442,16.962272,
410.7738,17.3125,16.8125,17.600064,17.54293,17.005366,
411.0553,17.205366,16.946417,17.375016,17.366083,17.1607,
411.3369,17.021431,17.051784,17.371428,17.150003,17.021431,
