,Live Spectrum 10-11-2023 10:01:39 - Spikes removed,Live Spectrum 10-11-2023 10:01:40 - Spikes removed,Live Spectrum 10-11-2023 10:01:43 - Spikes removed,Live Spectrum 10-11-2023 10:01:44 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,
360.9374,17.03125,16.9375,16.875,16.3125,
361.2189,16.87118,16.80868,16.95087,16.28889,
361.5005,16.83538,16.73856,17.160063,16.42913,
361.7821,17.01713,16.6848,17.15895,16.650851,
362.0636,17.146952,16.835301,17.008449,16.883449,
362.3452,17.293532,16.934702,16.909048,16.746112,
362.6267,17.261361,17.022722,16.752861,16.536945,
362.9083,17.109238,16.811098,16.580518,16.4375,
363.1899,16.814617,16.664994,16.66817,16.467691,
363.4714,16.682187,16.77328,16.950783,16.516953,
363.7530,16.662609,16.537065,17.187772,16.550054,
364.0346,16.604904,16.4375,17.167404,16.417958,
364.3161,16.607474,16.594909,17.035052,16.276289,
364.5977,16.722274,16.534657,17.024319,16.201363,
364.8792,16.802287,16.160132,17.03125,16.265931,
365.1608,16.756575,16.289487,16.667739,16.085513,
365.4424,16.660676,16.342275,16.982296,16.211373,
365.7239,16.845072,16.659554,17.3125,16.438161,
366.0055,16.983657,17.002823,17.297593,16.493611,
366.2870,17.183578,17.449139,17.081983,16.390561,
366.5686,17.104873,17.238289,16.965749,16.269833,
366.8502,16.845046,16.846343,16.872407,16.188796,
367.1317,16.851882,16.730346,17.006928,16.417919,
367.4133,17.104779,16.806988,16.830883,17.033092,
367.6949,16.97152,16.63779,16.73721,16.64768,
367.9764,16.793633,16.91805,16.747839,16.456367,
368.2580,16.648238,17.251335,16.748665,16.40625,
368.5395,16.414647,17.010733,16.646612,16.56856,
368.8211,16.29592,16.59503,16.57398,16.50957,
369.1027,16.185502,16.46875,16.498002,16.298754,
369.3842,16.620694,16.654528,16.863527,17.039555,
369.6658,16.905944,16.743689,17.174572,17.187806,
369.9473,16.990799,16.883246,17.405295,17.076302,
370.2289,17.056707,16.764483,17.635974,16.949086,
370.5105,17.002397,16.810103,17.475942,17.117808,
370.7920,16.998028,16.976144,17.313486,17.189472,
371.0736,16.872822,17.452746,17.379356,17.308144,
371.3552,16.816751,17.633108,17.468356,17.215287,
371.6367,16.564173,17.385804,17.665381,16.985339,
371.9183,16.259661,16.935234,17.50493,17.033715,
372.1998,16.205213,16.807316,17.28593,16.88436,
372.4814,16.25,17.094315,17.061088,16.676424,
372.7630,16.335112,17.145797,16.713524,16.494774,
373.0445,16.441149,17.141656,16.697652,16.547906,
373.3261,16.344504,17.420178,16.780873,16.826428,
373.6076,16.36658,17.033453,16.8125,16.832222,
373.8892,16.269294,16.57506,16.737742,16.569234,
374.1708,16.318705,16.643728,16.646886,16.387522,
374.4523,16.537759,16.731336,16.646918,16.299914,
374.7339,16.87603,16.773523,16.79739,16.375343,
375.0155,17.119485,16.856617,16.969362,16.50674,
375.2970,17.236396,16.848285,17.106862,16.451104,
375.5786,17.165093,16.900355,17.125,16.267685,
375.8601,16.678116,16.846483,17.095117,16.51895,
376.1417,16.813958,16.907083,17.032708,16.501458,
376.4233,17.027696,17.03125,17.251777,16.71342,
376.7048,16.945374,16.997856,17.294608,16.601624,
376.9864,16.764688,16.689374,17.391562,16.376874,
377.2679,16.837303,16.537697,17.306053,16.225197,
377.5495,16.836473,16.610447,17.28125,16.313929,
377.8311,16.992017,16.892946,17.205012,16.538119,
378.1126,17.242812,17.03069,16.987001,16.558626,
378.3942,17.419284,16.649733,16.956606,16.450089,
378.6758,17.50303,16.748957,17.01714,16.46875,
378.9573,17.328129,16.828128,17.093747,16.609371,
379.2389,17.118966,16.598816,17.221767,16.852801,
379.5204,17.155682,16.705,17.417727,17.123864,
379.8020,17.440218,17.186018,17.672184,17.350667,
380.0836,17.692248,17.202003,17.317508,16.800762,
380.3651,17.426462,17.07878,17.17122,16.53125,
380.6467,16.968251,17.087089,17.1875,16.703375,
380.9282,16.848937,17.041624,17.005061,16.932439,
381.2098,16.595976,17.141372,16.831098,16.94122,
381.4914,16.591492,17.098266,16.754516,16.879516,
381.7729,16.502405,17.154646,16.993586,16.418277,
382.0545,16.320279,17.104904,17.169997,16.24611,
382.3360,16.695869,16.164619,16.356304,16.054131,
382.6176,16.833684,16.291842,16.563026,15.9375,
382.8992,17.004963,16.414705,16.8125,16.00202,
383.1807,16.967352,16.625,16.793331,16.375699,
383.4623,16.695318,16.625,16.703129,16.492189,
383.7439,16.643452,16.615774,16.674702,16.394943,
384.0254,16.676865,16.604385,16.740021,16.154938,
384.3070,16.535861,16.649078,16.937756,16.284067,
384.5885,16.478118,16.768121,17.106879,16.660626,
384.8701,16.819369,16.889829,16.85171,16.699145,
385.1517,17.032431,16.987327,16.671285,16.813681,
385.4332,16.780961,16.956923,16.585865,16.650192,
385.7148,16.505586,16.818086,16.550221,16.367201,
385.9963,16.489091,16.943975,16.786247,16.057503,
386.2779,16.695339,17.03125,17.05818,16.024317,
386.5595,16.619814,17.054312,16.871315,16.039438,
386.8410,16.391597,16.867183,16.878909,16.226567,
387.1226,16.678647,16.915545,16.854727,16.564625,
387.4042,16.777102,17.235626,16.762443,16.679205,
387.6857,16.951877,17.167499,16.664687,16.772813,
387.9673,16.909215,16.739503,16.745553,16.483574,
388.2488,16.90625,16.37674,16.843275,16.655301,
388.5304,17.145808,16.504641,17.034656,16.585704,
388.8120,16.879946,16.637365,16.327338,17.182554,
389.0935,16.94128,16.826612,16.530241,17.087199,
389.3751,16.989077,17.166413,16.800817,16.822663,
389.6566,17.080994,17.180483,17.075256,16.8176,
389.9382,17.03125,17.023582,17.101995,16.578413,
390.2198,16.995437,16.883608,16.968577,16.414858,
390.5013,16.90625,16.563052,16.781802,16.073837,
390.7829,16.699133,16.615065,16.741763,15.899711,
391.0645,16.445949,16.799725,16.857899,15.666276,
391.3460,16.537599,16.949703,16.96875,15.640377,
391.6276,16.40757,17.15625,16.96875,15.919566,
391.9091,16.50922,17.106609,17.018391,16.511112,
392.1907,16.86977,16.991327,17.044707,17.04426,
392.4723,17.088353,16.9375,17.03125,16.934657,
392.7538,16.881763,16.978039,16.970441,16.548994,
393.0354,16.535003,17.171998,17.216996,15.997755,
