,Live Spectrum 10-11-2023 10:06:14 - Spikes removed,Live Spectrum 10-11-2023 10:06:20 - Spikes removed,Live Spectrum 10-11-2023 10:06:21 - Spikes removed,Live Spectrum 10-11-2023 10:06:22 - Spikes removed,Live Spectrum 10-11-2023 10:06:27 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,
388.2488,16.812658,16.968117,17.282674,16.969541,17.124525,
388.5304,17.111078,17.101946,17.040531,16.90625,16.802058,
388.8120,16.767311,18.090379,17.276304,16.908723,16.548561,
389.0935,16.97631,17.634578,17.21875,16.956401,16.731099,
389.3751,17.046495,17.265245,17.223832,17.108995,16.583587,
389.6566,17.118622,17.40115,17.301022,17.193878,16.518494,
389.9382,17.09375,17.717019,17.538341,17.21875,16.407404,
390.2198,17.057937,17.838842,17.62939,17.182937,16.290376,
390.5013,16.948285,17.396569,17.531802,17.052819,16.530146,
390.7829,16.837211,17.370033,17.480257,16.945737,16.748302,
391.0645,16.833724,17.532624,17.538325,16.8807,16.8807,
391.3460,17.182491,17.639038,17.579712,16.829712,16.815675,
391.6276,17.498021,17.533889,17.547205,16.75132,16.765955,
391.9091,17.477921,17.257327,17.547797,16.637859,16.898923,
392.1907,17.339413,17.01824,17.598087,16.64713,17.049043,
392.4723,17.426706,16.994603,17.605966,16.839774,17.138637,
392.7538,17.621618,17.193408,17.634289,16.998309,17.228039,
393.0354,17.064008,17.388749,17.307049,17.03125,17.164001,
393.3169,16.78125,17.301154,17.147045,17.053974,17.102276,
393.5985,16.517873,17.154226,16.99067,17.110387,17.141637,
393.8801,16.412343,17.200471,17.094536,17.150157,17.181407,
394.1616,16.511712,17.166019,17.177731,17.314442,17.108404,
394.4432,16.586387,17.15625,17.215068,17.371318,17.148887,
394.7248,16.39239,16.95489,17.276282,17.375,16.897358,
395.0063,16.434916,16.757753,17.28125,17.434916,16.845042,
395.2879,16.686657,17.123735,17.25768,17.169292,16.906039,
395.5694,16.67131,17.283401,17.209822,17.175336,16.779099,
395.8510,17.082492,17.348253,17.189752,17.018012,16.727756,
396.1326,16.940922,17.402828,17.246126,17.280798,16.874548,
396.4141,16.987098,17.347477,17.50086,17.485379,17.175458,
396.6957,17.116738,17.216234,17.676006,17.161281,17.451509,
396.9772,17.239454,17.323046,17.576691,16.851039,17.361197,
397.2588,17.15149,17.266101,17.543108,16.760906,17.3125,
397.5404,16.834609,17.330889,17.836362,17.016528,17.321694,
397.8219,17.146168,17.30267,17.397425,16.864918,17.292086,
398.1035,16.867575,17.15625,16.977068,16.804182,17.198966,
398.3851,16.518656,17.131062,16.987877,16.831156,17.155779,
398.6666,16.650885,17.09375,17.076217,16.798783,17.007633,
398.9482,16.94759,17.123419,17.138253,16.736747,16.952334,
399.2297,17.094393,17.235983,17.155607,16.63966,17.064429,
399.5113,17.022679,17.02259,16.903304,16.985981,16.985715,
399.7929,16.919345,16.926492,16.809526,17.403276,16.88006,
400.0744,17.041012,17.262271,16.952007,17.46875,16.944754,
400.3560,17.186029,17.284192,17.101715,17.407721,16.826349,
400.6375,17.390183,16.9616,17.220538,17.246425,16.407133,
400.9191,17.49126,16.7312,17.25,17.16499,16.20498,
401.2007,17.099042,16.711086,17.273586,17.297765,16.494115,
401.4822,16.771499,16.694094,17.207281,17.417719,16.766344,
401.7638,17.233184,16.893274,17.367552,17.103118,16.786778,
402.0453,17.022367,16.964282,17.433032,17.138378,16.78125,
402.3269,16.662543,17.107935,17.493174,17.406783,16.836924,
402.6085,17.00053,17.125,17.644435,17.379726,16.901524,
402.8900,17.39043,17.005273,17.716113,17.255273,17.025977,
403.1716,17.62305,17.123885,17.594865,17.064172,17.093193,
403.4532,17.426163,17.095262,17.398692,17,17.284273,
403.7347,16.95804,17.16339,17.109816,16.987504,17.365193,
404.0163,16.78125,17.28125,17.403093,16.784059,16.695928,
404.2978,16.831019,17.311877,17.744926,16.797187,16.823362,
404.5794,17.192342,17.584516,18.122353,16.672973,17.134685,
404.8610,17.224601,17.863297,17.867284,16.658115,17.181649,
405.1425,17.202013,17.723382,17.528224,16.978631,17.115119,
405.4241,16.984125,17.382688,17.492645,17.117146,17.000166,
405.7056,16.808358,17.400979,17.820783,16.996423,17.084902,
405.9872,16.95483,17.556143,18.009837,16.799183,17.190376,
406.2688,17.393007,17.373789,18.161095,16.862968,17.45793,
406.5503,17.096612,17.324299,18.370853,16.816647,17.402103,
406.8319,16.84375,17.318204,18.171999,16.938864,17.34375,
407.1135,16.830008,17.322475,17.666436,17.141182,17.288784,
407.3950,16.886026,17.433821,17.207724,17.237134,17.159929,
407.6766,16.953086,17.233712,17.28164,17.156172,16.952774,
407.9581,16.9375,17.001986,17.703384,17.025293,16.762647,
408.2397,16.955067,17.224482,18.042899,16.902367,16.525518,
408.5213,16.913219,17.375,18.069469,16.949042,16.560104,
408.8028,16.816652,17.452797,17.972902,17.097247,16.862544,
409.0844,16.760867,17.235018,17.855967,17.27855,16.96875,
409.3659,16.75,16.944564,17.684626,17.365062,17.075311,
409.6475,16.794473,16.941709,17.602764,17.352764,17.013818,
409.9291,17.067211,17.316084,17.524283,17.204816,16.96875,
410.2106,17.276599,17.870758,17.42779,17.011831,16.96875,
410.4922,17.137645,18.099917,17.556126,16.893812,16.843854,
410.7738,17.171401,17.71086,17.412564,17.107954,16.864268,
411.0553,16.919666,17.330383,17.5357,17.504434,17.062484,
411.3369,16.875,17.502675,17.922316,17.5625,17.315175,
411.6184,17.074976,17.67409,17.940182,17.276819,17.372318,
411.9000,17.034844,17.540235,17.731328,17.102735,17.522265,
412.1816,16.970583,17.62225,17.840083,16.972417,17.045917,
412.4631,16.875124,17.968295,18.280671,17.124793,16.906415,
412.7447,17.154592,18.448023,17.752487,17.439987,17.194133,
413.0262,17.086971,17.672248,17.823414,17.534639,17.439195,
413.3078,16.96875,17.465025,17.44064,17.596305,17.463639,
413.5894,16.985807,18.118177,17.186405,17.621589,17.402839,
413.8709,17.137788,17.981511,17.751439,17.580962,17.379263,
414.1525,17.21875,17.438096,18.146032,17.474455,17.396032,
414.4341,17.230651,17.352657,18.010441,17.308046,17.379454,
414.7156,17.267675,17.561225,17.6834,17.169825,17.470163,
414.9972,17.165413,17.287326,17.750772,17.233989,17.24238,
415.2787,17.016894,17.542235,17.605568,17.264356,17.193409,
415.5603,17.090309,17.609902,17.394594,17.21875,17.13427,
415.8419,17.226862,17.409213,17.2591,17.168313,17.206687,
416.1234,17.407702,17.153347,17.354651,17.029798,17.388804,
416.4050,17.316533,17.078086,17.433545,16.957041,17.613213,
416.6865,17.049987,17.318915,17.543763,16.912475,17.812564,
416.9681,17.284173,17.615747,17.695617,17.008117,17.413716,
417.2497,17.512152,17.729818,17.860894,17.314454,16.82053,
417.5312,17.211147,17.825937,17.799063,17.513437,17.055207,
417.8128,16.968527,17.969084,17.718639,17.593861,17.312834,
418.0944,16.972094,18.161266,17.835649,17.493312,17.505016,
418.3759,17.117433,18.19829,18.296246,17.357763,17.610987,
418.6575,17.1875,18.08422,18.400432,17.27172,17.823084,
418.9390,17.131178,17.93738,17.924545,17.275072,17.912428,
419.2206,17.250035,17.972678,17.980535,17.136679,17.542893,
419.5022,17.445214,18.071836,17.912737,17.335642,17.201701,
419.7837,17.584181,18.051659,17.886476,17.815679,17.103955,
420.0653,17.799345,18.03125,18.242604,17.990543,17.202716,
420.3468,17.965146,17.941104,18.735582,17.864782,17.227464,
420.6284,17.95345,17.7666,18.7819,17.8125,17.381675,
420.9100,17.721418,17.622713,18.581936,18.124619,17.533537,
421.1915,17.557295,17.519534,18.184909,18.317705,17.5625,
421.4731,18.040522,18.034736,18.348386,18.089114,17.613427,
421.7546,18.103882,18.077698,18.510986,18.266906,17.729736,
422.0362,17.932351,18.196999,18.719549,18.231801,17.642401,
422.3178,17.768194,18.163528,18.529111,18.135917,17.569778,
422.5993,17.636729,18.269521,18.783179,18.040046,17.704089,
422.8809,17.7701,18.25223,19.247801,17.97321,17.66071,
423.1625,17.959557,18.190564,19.489275,18.355081,18.131735,
423.4440,17.938339,18.248322,19.378356,18.618288,18.277894,
423.7256,18.092998,18.2189,19.281701,18.718299,18.498948,
424.0071,18.378203,18.066237,19.40625,18.466081,18.346419,
424.2887,18.561287,18.299451,19.412317,18.324634,18.515774,
424.5703,18.546358,18.787771,19.568166,18.668437,18.921358,
424.8518,18.81452,19.359645,19.65625,19.366783,19.153691,
425.1334,19.200402,19.206853,19.640123,19.657254,19.125,
425.4149,19.246418,19.409985,19.47279,19.921951,19.121113,
425.6965,18.78125,19.60626,19.435763,19.789777,19.116473,
425.9781,18.885197,19.328092,20.114641,19.661447,19.270789,
426.2596,19.447171,19.470554,20.063363,19.710883,19.404229,
426.5412,19.553612,19.75649,20.60673,19.79303,19.602638,
426.8228,19.231344,19.838286,20.627732,19.733009,19.939165,
427.1043,19.093559,20.007956,20.539015,19.773485,20.132956,
427.3859,19.388991,19.903918,20.612873,19.84235,20.020523,
427.6674,19.946522,19.767391,20.786087,20.183969,19.852119,
427.9490,20.036257,19.704469,20.942507,20.483401,19.998423,
428.2306,20.290116,19.915116,21.011658,20.769127,20.573692,
428.5121,20.728372,20.494745,20.952499,21.195747,20.544874,
