,Live Spectrum 10-11-2023 10:00:30 - Spikes removed,Live Spectrum 10-11-2023 10:00:38 - Spikes removed,Live Spectrum 10-11-2023 10:00:39 - Spikes removed,Live Spectrum 10-11-2023 10:00:43 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,
360.9374,17.75,16.5625,17.3125,16.53125,
361.2189,17.30868,16.69514,17.27743,16.556079,
361.5005,17.269067,16.797247,17.203497,16.933687,
361.7821,17.371989,16.767441,17.053779,16.8777,
362.0636,17.059144,17.125,16.829398,16.7424,
362.3452,16.619404,17.125,16.678016,16.823074,
362.6267,16.85225,17.159083,16.65625,17.153389,
362.9083,17.044482,17.271677,16.695945,17.272805,
363.1899,17.137979,17.283367,16.870766,17.173463,
363.4714,17.32047,17.201797,16.983047,17.141953,
363.7530,17.40625,17.206304,16.724294,17.15625,
364.0346,17.261708,17.012261,16.5625,17.073654,
364.3161,17.075065,16.861276,16.809856,16.896328,
364.5977,17.104206,16.916706,16.930569,16.795113,
364.8792,17.098856,17.042075,16.72835,16.676675,
365.1608,16.730239,17.453974,17.051011,16.208852,
365.4424,16.776824,17.291577,16.885327,16.215799,
365.7239,16.96842,17.154267,16.936509,16.282902,
366.0055,16.9375,16.958102,16.862916,16.486479,
366.2870,16.913967,16.820344,17.136767,17.164094,
366.5686,16.75,16.897834,17.213041,17.184499,
366.8502,16.742512,17,17.157546,16.986319,
367.1317,16.783584,16.898118,17.10881,16.908584,
367.4133,16.915442,16.678308,17.174633,17.073529,
367.6949,16.88779,16.59085,17.01701,17.00422,
367.9764,16.90625,16.391706,16.964428,16.816822,
368.2580,16.743324,16.260952,17.145298,16.831463,
368.5395,16.629819,16.228388,17.195897,17.158733,
368.8211,16.43878,16.28125,16.91901,17.12628,
369.1027,15.990011,16.388746,16.480261,16.699011,
369.3842,16.656527,16.8555,16.854638,16.817944,
369.6658,16.987378,16.950122,17.330516,16.656861,
369.9473,17.053299,17.070746,17.512847,16.806944,
370.2289,17.14756,17.00869,17.219362,16.957164,
370.5105,17.186301,17.150257,16.886987,17.088955,
370.7920,17.179613,17.057571,17.122043,17.186514,
371.0736,16.685322,16.743466,16.909185,17.098863,
371.3552,16.590681,16.671678,16.481109,16.753857,
371.6367,16.125,16.759131,16.158178,16.797839,
371.9183,16.211355,16.742605,16.406051,16.889393,
372.1998,16.535426,17.03125,16.825029,16.893217,
372.4814,16.667043,16.89461,17.083239,16.812782,
372.7630,16.713524,16.697953,16.977388,16.826365,
373.0445,16.739054,16.771098,16.788547,16.777601,
373.3261,16.905496,16.749623,16.734186,16.797064,
373.6076,16.781024,17.03724,16.971858,16.644722,
373.8892,16.755827,16.969657,17.15625,16.475181,
374.1708,16.965591,16.78125,17.196864,16.539034,
374.4523,17.053168,17.044268,17.065323,16.615668,
374.7339,16.968407,17.29739,16.976477,16.954327,
375.0155,16.761643,17.117648,16.918505,17.0625,
375.2970,16.772181,16.928923,17.013112,16.928923,
375.5786,16.752948,16.962855,17.087855,16.67983,
375.8601,16.690233,16.759566,16.974216,16.955084,
376.1417,16.469166,16.969375,17.187084,16.906666,
376.4233,16.533027,17.071384,17.125,16.972304,
376.7048,16.5625,17.238786,17.108303,17.067983,
376.9864,16.542916,17.386666,17.012814,17.379896,
377.2679,16.443947,17.242571,17.217767,17.341785,
377.5495,16.516697,17.085759,17.09375,17.005848,
377.8311,16.503775,16.986262,16.798329,16.797649,
378.1126,16.112001,16.757188,16.158187,16.90625,
378.3942,16.131962,16.555538,16.281695,16.881072,
378.6758,16.25303,16.335701,16.487878,16.81553,
378.9573,16.484368,16.42187,16.828119,16.765625,
379.2389,16.578666,16.54235,17.03125,16.8014,
379.5204,16.661137,16.462727,16.956704,16.881023,
379.8020,16.993701,16.477767,16.926383,16.90625,
380.0836,17.526242,16.910867,16.65638,17.057622,
380.3651,17.533871,17.11686,16.55436,17.10189,
380.6467,17.247447,17.051232,16.734625,17.044572,
380.9282,16.978998,17.057313,16.911564,16.926999,
381.2098,16.799848,16.897317,17.020091,16.768598,
381.4914,16.926211,16.875,17.03125,16.778992,
381.7729,16.60257,16.814104,17.153043,16.629009,
382.0545,16.688797,16.721991,17.267637,16.822872,
382.3360,16.739538,16.864538,16.618723,17.299946,
382.6176,16.590219,16.701097,16.555964,17.110878,
382.8992,16.552574,16.552574,16.75,16.990074,
383.1807,16.576678,16.461661,16.794729,16.95028,
383.4623,16.890621,16.296879,17.039046,17.031243,
383.7439,17.002081,16.222322,17.296129,17.088097,
384.0254,17.092438,16.103074,17.438156,17,
384.3070,16.836322,16.313012,17.656506,16.843494,
384.5885,16.799679,16.77219,17.771882,16.526566,
384.8701,17.075737,16.896698,17.267512,16.719251,
385.1517,17.092569,17.191043,16.938681,17.096112,
385.4332,17.168077,17.474808,17.074327,17.349808,
385.7148,17.420741,17.511172,17.118307,17.405144,
385.9963,17.287163,17.213753,16.992047,17.160684,
386.2779,16.960911,16.898411,16.78557,16.802048,
386.5595,16.644377,16.466565,16.995498,16.572188,
386.8410,16.87989,16.465823,17.166994,16.506835,
387.1226,17.277886,16.706091,17.161739,16.577284,
387.4042,17.34375,16.668693,16.885226,16.647955,
387.6857,17.002496,16.627812,16.644685,16.798439,
387.9673,16.760377,16.476162,16.595232,16.872035,
388.2488,16.781092,16.593117,16.904668,16.906092,
388.5304,16.99768,16.461864,17.103031,17.003481,
388.8120,16.939973,17.096223,17.333858,17.111061,
389.0935,16.95741,17.13634,17.21497,17.30116,
389.3751,16.869918,17.208587,17.207827,17.203505,
389.6566,16.84375,17.15625,17.325256,17.048466,
389.9382,16.813077,17.171587,17.382668,16.726995,
390.2198,16.647124,17.19189,17.289858,16.674156,
390.5013,16.448285,17.125,16.907906,16.810844,
390.7829,16.417757,16.89487,16.603685,17,
391.0645,16.373626,16.52555,16.419025,17.012775,
391.3460,16.421627,16.660764,16.549802,17.03125,
391.6276,16.547865,16.72007,16.702795,17.123021,
391.9091,16.582735,16.556968,16.784938,17.351126,
392.1907,16.674043,16.450957,16.914923,17.344197,
392.4723,16.573294,16.456534,16.930681,17.135794,
392.7538,16.337842,16.509289,16.92652,16.940882,
393.0354,16.636995,16.982744,16.894501,16.746002,
393.3169,16.721603,17.1875,16.829551,16.823846,
393.5985,16.663557,17.139613,16.932217,17.138377,
393.8801,16.706564,16.974057,17.14485,17.39485,
394.1616,17.0615,16.832038,17.266596,17.332038,
394.4432,17.097432,16.64709,17.253682,17.036817,
394.7248,16.806092,16.711297,16.732216,16.769874,
395.0063,16.571545,16.928455,16.387922,16.809916,
395.2879,16.936235,16.999789,16.811024,17.373102,
395.5694,16.75,17.349129,16.905174,17.282326,
395.8510,16.743245,17.486491,16.879503,17.296739,
396.1326,16.676782,17.271436,16.927234,17.086906,
396.4141,16.825402,16.896216,16.825402,17.026663,
396.6957,16.724497,16.639009,16.71875,17.022988,
396.9772,16.784507,16.576303,16.698046,17.131901,
397.2588,16.930401,16.641101,16.673303,17.099897,
397.5404,17.018389,16.6875,16.784917,17.057026,
397.8219,17.041834,16.852826,16.79108,17.323084,
398.1035,16.988534,17.256297,16.845771,17.304182,
398.3851,16.830214,17.312029,16.548964,17.394127,
398.6666,16.734735,17.163883,16.330033,17.386449,
398.9482,16.875,17.167922,16.386672,17.17741,
