,Live Spectrum 10-11-2023 10:07:21 - Spikes removed,Live Spectrum 10-11-2023 10:07:34 - Spikes removed,Live Spectrum 10-11-2023 10:07:35 - Spikes removed,Live Spectrum 10-11-2023 10:07:35 - Spikes removed,Live Spectrum 10-11-2023 10:07:36 - Spikes removed,Live Spectrum 10-11-2023 10:07:37 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,17.25,17.09375,16.78125,16.8125,16.125,16.34375,
361.2189,17.31823,16.62118,16.90434,16.65816,16.16962,16.521009,
361.5005,17.375744,16.57394,16.859747,16.66462,16.394067,16.874256,
361.7821,17.13912,16.6848,16.698609,16.48287,16.628322,17.156561,
362.0636,17.0549,16.744097,16.46875,16.436651,17.032099,17.407099,
362.3452,16.93641,16.616606,16.449782,16.635574,16.89008,17.274564,
362.6267,16.832361,16.846583,16.485778,16.965889,16.622195,17.119333,
362.9083,17.018018,16.813628,16.558842,16.979452,16.568688,17.026463,
363.1899,16.833947,16.868649,16.453654,16.856729,16.935383,17.047404,
363.4714,16.503671,17.096407,16.522266,17.022266,17.084766,17.014297,
363.7530,16.318587,17.012174,16.537337,17.074946,17.062228,16.981196,
364.0346,16.549685,17.12334,16.417404,16.917958,16.917404,16.906803,
364.3161,16.777448,17.331185,16.442461,16.888724,16.785052,16.919974,
364.5977,17.055686,17.326363,16.590343,16.638746,16.798637,16.888863,
364.8792,17.072713,16.998776,16.755719,16.536356,17.047793,16.822713,
365.1608,16.25159,17.161199,16.585513,16.6431,16.506539,16.952312,
365.4424,16.513546,16.889753,16.622049,16.745574,16.4375,17.028299,
365.7239,16.939152,16.723046,16.907902,17.001322,16.56283,17.0625,
366.0055,17.102268,17.120741,17.045464,17.152684,16.604398,17.047593,
366.2870,17.187372,17.042889,16.7419,17.523406,16.730389,16.851594,
366.5686,16.951624,16.911959,16.238583,17.463041,16.610876,16.889124,
366.8502,16.904954,16.989919,16.277361,17.392569,16.717454,16.797523,
367.1317,16.925904,17.054368,16.581024,17.277786,16.821762,16.629594,
367.4133,16.75,16.757354,16.636029,17.310663,16.678313,16.420954,
367.6949,16.89069,16.61788,16.70741,17.28837,16.20873,16.5625,
367.9764,17.137383,16.635222,16.737617,17.314661,15.983294,16.518867,
368.2580,17.122329,16.849091,16.736378,16.97169,16.162926,16.664262,
368.5395,16.954293,16.950716,16.745181,16.561259,16.528914,16.969991,
368.8211,16.81569,16.72003,16.60013,16.46875,16.60842,16.88457,
369.1027,16.695253,16.378758,16.488252,16.339755,16.498002,16.394264,
369.3842,16.795583,16.652805,16.979638,16.792138,16.120417,16.567083,
369.6658,17.192894,16.930883,17.006617,17.068505,16.099755,16.6875,
369.9473,17.361198,17.235243,16.915451,16.800608,16.284896,16.660851,
370.2289,17.034759,17.167836,16.764483,16.693293,16.39756,16.684603,
370.5105,16.909846,16.975942,16.719949,16.477141,16.135788,16.807705,
370.7920,17.125986,16.778785,16.756901,16.441936,16.098679,16.973679,
371.0736,17.1875,16.622822,17.19839,16.727462,16.419318,17.289962,
371.3552,17.191357,16.659319,17.316751,16.832179,16.616892,17.40625,
371.6367,17.202161,17.102881,17.147119,16.75553,16.78125,17.389661,
371.9183,17.139393,16.992804,17.214019,16.810035,16.752465,17.283715,
372.1998,17.222926,16.924467,17.022897,16.844254,16.65625,17.143217,
372.4814,17.301989,16.738924,16.770174,16.613924,16.687782,16.968185,
372.7630,17.28125,16.605909,16.637159,16.493068,16.725682,16.831591,
373.0445,17.101841,16.625,16.697652,16.434645,16.715101,16.743497,
373.3261,16.782381,16.686746,16.811746,16.389682,16.75,16.640814,
373.6076,16.499774,16.596406,16.943264,16.502882,16.903594,16.642066,
373.8892,16.624093,16.562198,16.850484,16.456492,16.975181,16.67494,
374.1708,16.853114,16.746841,16.729693,16.487478,16.775045,16.707807,
374.4523,16.655818,16.922091,16.784504,16.662759,16.599827,16.631077,
374.7339,16.70364,16.89818,16.836023,16.695227,16.609547,16.80546,
375.0155,16.976102,17.000612,16.64277,16.662378,16.800857,16.749388,
375.2970,16.924388,17.057965,16.540319,17.083698,16.870465,16.825612,
375.5786,16.594923,17.090802,16.899182,17.212855,16.76179,16.985262,
375.8601,17.070518,17.123633,16.728316,17.21875,16.212099,17.119534,
376.1417,16.998542,17.3125,16.534582,17.250208,16.157291,16.966251,
376.4233,16.783027,17.308946,17.057902,17.277696,16.328491,16.604411,
376.7048,16.822518,17.236642,17.493321,17.202053,16.590411,16.817983,
376.9864,16.925834,17.105416,17.364061,17.067396,16.557604,17.129896,
377.2679,17.018357,16.967767,16.942964,17.132429,16.505464,17.111124,
377.5495,16.96875,16.779821,16.891697,17.313214,16.398259,16.889553,
377.8311,16.97828,16.641399,16.859715,17.215656,16.451238,16.816708,
378.1126,17.066374,16.738938,16.479812,16.825499,16.702436,16.924501,
378.3942,17.200089,16.84464,16.537767,16.956606,16.881517,16.831161,
378.6758,17.19053,17.101799,16.678409,17.04536,16.92339,16.699622,
378.9573,17.093752,17.062504,16.906246,17.0625,16.937499,16.484377,
379.2389,16.97985,16.680499,17.03125,17.0111,16.780282,16.509051,
379.5204,17.012046,16.67375,17.03125,16.856932,16.736818,16.817387,
379.8020,17.1229,17.174902,17.051383,16.84165,16.893034,17.069417,
380.0836,17.221124,17.13713,16.78138,17.069621,16.829377,16.822256,
380.3651,17.134451,17.03125,16.841129,16.994481,16.688811,16.66439,
380.6467,16.823268,16.883715,16.758715,16.912911,16.754607,16.631661,
380.9282,16.541498,16.687373,16.640562,16.880187,16.911564,16.677126,
381.2098,16.444939,16.65625,16.212044,16.819939,16.799848,17.127987,
381.4914,16.495484,16.743227,16.098266,16.870484,16.404351,17.390446,
381.7729,16.682689,16.871793,16.032854,16.722759,16.557689,17.345354,
382.0545,16.835323,17.070279,16.199817,16.626945,16.943334,17.215509,
382.3360,16.450054,17.433315,16.795896,16.712473,17.202011,17.0625,
382.6176,16.663837,17.357347,16.985878,16.603816,16.958158,17.069561,
382.8992,16.96875,17.193934,16.830332,16.4375,16.865074,17.139889,
383.1807,17.032648,17.081669,16.574581,16.514178,16.857229,17.263479,
383.4623,17.28125,17.15625,16.531243,16.796879,17.03125,17.382825,
383.7439,17.364283,17.15625,16.689581,16.823807,17.022024,16.997329,
384.0254,17.583771,17.166885,16.886291,17.074447,16.957459,16.319856,
384.3070,17.420338,17.259733,16.836322,17.254867,16.887039,16.284067,
384.5885,17.187808,17.200321,16.705621,17.231879,16.812192,16.526258,
384.8701,17.371816,16.82046,16.768013,17.050855,16.598526,16.238355,
385.1517,17.388854,16.785974,16.751181,16.887673,16.613508,16.221112,
385.4332,17.062211,16.818269,16.834039,16.706923,16.947501,16.42202,
385.7148,16.767865,16.693086,16.875,16.681914,17.238828,16.796848,
385.9963,16.820453,16.269778,16.895341,16.739091,17.109094,16.989091,
386.2779,16.961817,15.75864,16.776024,16.815113,16.84807,16.891479,
386.5595,16.792439,16.270744,17.041622,16.866812,16.550627,16.590065,
386.8410,16.743165,16.402341,16.887689,16.655268,16.371091,16.548829,
387.1226,16.724239,16.400761,16.709455,16.619511,16.317989,16.717068,
387.4042,16.800057,16.487557,16.57909,16.760512,16.366705,16.831307,
387.6857,16.983127,16.642189,16.733127,17.03719,16.659378,17.412506,
387.9673,17.238141,16.745553,16.779768,17.151803,16.80657,17.171074,
388.2488,17.436551,16.75,16.936709,16.876424,17.061234,16.969699,
388.5304,17.517328,16.830988,16.888847,16.730352,16.964109,16.896969,
388.8120,17.176034,16.514838,16.46223,17.023831,16.826439,16.673561,
389.0935,17.41381,16.702621,16.772681,16.94506,16.63256,16.890121,
389.3751,17.448423,16.832827,16.988317,17,16.753563,17.015245,
389.6566,17.267216,16.956633,17.25,17.012756,17.09375,17.068239,
389.9382,16.938077,17.000577,17.226995,17.0625,16.955721,16.953413,
390.2198,16.879563,16.771952,17.039858,17.008781,16.423811,16.959969,
390.5013,17.060844,16.355639,16.688604,16.834069,16.176715,17.09375,
390.7829,17.180961,16.544202,16.516474,17.026156,16.575452,16.978685,
391.0645,16.947526,17.245674,16.4886,17.47445,17.16195,16.896224,
391.3460,16.865476,17.459226,16.68884,17.339236,16.99866,17.216915,
391.6276,17.136996,17.608385,16.889635,17.203455,16.751979,17.34507,
391.9091,17.213218,17.556968,17.069876,17.154406,16.639703,17.11578,
392.1907,16.96486,17.344197,17.08074,17.053827,16.660587,16.80861,
392.4723,16.919887,17.059657,16.961931,17.076137,16.573294,16.744603,
392.7538,17.252526,16.876691,16.815882,17.14527,16.581079,17.024487,
393.0354,17.492249,16.757751,16.406005,16.769255,16.861497,17.285248,
393.3169,17.417629,16.741474,16.363621,16.775544,16.96875,17.230129,
393.5985,17.159509,16.797887,16.454137,17.107127,16.96875,17.139613,
393.8801,17.068593,16.837657,16.493907,17.388757,17.14485,17.099843,
394.1616,17.115231,16.922846,16.526365,17.332038,17.002942,16.988288,
394.4432,17.014727,16.909932,16.669091,17.036817,16.96875,16.941182,
394.7248,16.79864,16.877484,16.917626,16.769874,16.824921,16.908734,
395.0063,16.571545,16.904958,17.147205,16.510337,16.632753,16.666587,
395.2879,17.30997,17.404563,16.657937,17.029458,16.656145,16.344804,
395.5694,17.209068,17.219826,16.528023,17.003227,16.530174,16.255379,
395.8510,16.926242,17.252252,16.435248,17.091498,16.5,16.422011,
396.1326,16.805204,17.294938,16.450736,17.07961,16.520532,16.669486,
396.4141,17.004587,17.415424,16.826261,17.21875,16.682913,17.040424,
396.6957,16.945047,17.46875,16.934984,17.213003,16.661997,17.053522,
396.9772,16.445177,17.427342,17.041796,17.1875,16.646092,16.833592,
397.2588,16.288866,17.305401,17.000952,17.147248,16.556353,16.631147,
397.5404,16.976084,17.283057,17.130527,16.957695,16.71875,16.46875,
397.8219,16.823084,16.938505,17.156753,16.646922,16.822079,16.561746,
398.1035,16.815648,16.767763,16.962453,16.466729,17.019784,16.853195,
