,Live Spectrum 10-11-2023 10:12:45 - Spikes removed,Live Spectrum 10-11-2023 10:12:47 - Spikes removed,Live Spectrum 10-11-2023 10:12:47 - Spikes removed,Live Spectrum 10-11-2023 10:12:48 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,
394.1616,16.774423,17.248058,17.232404,16.90525,
394.4432,16.667295,16.970636,17.170977,17.106591,
394.7248,16.627484,16.908734,17.041187,17.268829,
395.0063,16.535126,16.696545,16.881461,17.341166,
395.2879,16.313238,17.216958,16.594699,17.094593,
395.5694,16.154099,16.806046,16.727356,16.841599,
395.8510,16.100505,16.629503,16.96875,16.783502,
396.1326,16.218298,16.766206,16.961906,16.826188,
396.4141,16.487098,17.415424,16.90625,16.914564,
396.6957,16.570762,17.411281,16.923491,16.815731,
396.9772,16.454947,17.114842,17,16.948046,
397.2588,16.382099,16.944599,17.00805,16.834748,
397.5404,16.386055,16.920972,17.003667,16.727944,
397.8219,16.614164,17.062249,16.916834,16.842996,
398.1035,16.730216,17.090602,16.909398,17.03125,
398.3851,16.724812,16.980873,16.96875,16.943091,
398.6666,16.646349,16.919967,16.955033,16.826217,
398.9482,16.623419,16.952334,16.774322,16.754744,
399.2297,16.640303,17.01659,16.577803,16.767876,
399.5113,16.744375,16.704376,16.715982,16.653304,
399.7929,16.789284,16.533337,16.916371,16.541371,
400.0744,16.576734,16.836769,17.007254,16.59375,
400.3560,16.46875,17.029779,17.010907,16.59375,
400.6375,16.618754,17.083929,17.021429,16.658038,
400.9191,16.82256,16.846139,17.00874,16.75503,
401.2007,16.733485,16.632071,17.070757,16.852007,
401.4822,16.514906,16.421156,17.315657,16.973625,
401.7638,16.571637,16.580774,17.22067,17.257217,
402.0453,16.486622,16.651782,16.866117,17.232154,
402.3269,16.440913,16.93462,16.617641,17.079565,
402.6085,16.466387,17.286506,16.940393,17.033613,
402.8900,16.797999,17.372363,16.849023,16.582275,
403.1716,16.936385,17.127229,16.410151,16.407643,
403.4532,17.125756,16.365175,16.385581,16.186744,
403.7347,17.099127,16.040153,16.824996,16.184811,
404.0163,16.187152,17.224369,17.03125,16.659059,
404.2978,16.534455,17.28125,17.015937,16.706642,
404.5794,16.805462,17.252196,16.891723,16.819538,
404.8610,16.925797,17.058642,16.818351,16.652392,
405.1425,16.840724,16.871974,16.864316,16.479434,
405.4241,16.773729,16.78927,17.008187,16.469083,
405.7056,16.928652,16.994729,17.271837,16.682794,
405.9872,16.93576,17.199077,17.209517,16.671307,
406.2688,17.032461,17.188711,16.856993,16.456718,
406.5503,17.140946,17.179205,17.023598,16.363201,
406.8319,17.205977,16.998636,17.011409,16.356523,
407.1135,17.118792,16.796318,16.868792,16.292551,
407.3950,17.060661,16.641545,16.825366,16.231616,
407.6766,17.140742,16.797304,16.890664,16.187266,
407.9581,17.220736,17.068457,16.922868,16.110368,
408.2397,16.793269,16.752219,16.867234,16.353365,
408.5213,16.585583,16.585583,16.83101,16.401677,
408.8028,16.862544,17.057037,16.921547,16.390297,
409.0844,16.948367,17.077417,16.989133,16.539416,
409.3659,16.724377,16.734315,17.170498,16.721624,
409.6475,16.491582,16.691709,17.205527,16.892432,
409.9291,16.692211,16.950306,17.210656,16.914344,
410.2106,16.87753,17.416368,17.26689,16.85811,
410.4922,16.931229,16.906768,16.95652,16.568978,
410.7738,16.704546,16.905303,16.823232,16.474116,
411.0553,16.5759,17.258901,16.73215,16.174133,
411.3369,16.368753,17.340178,16.608037,16.097322,
411.6184,16.34375,16.772389,16.708022,16.208022,
411.9000,16.461562,16.600938,16.807109,16.395469,
412.1816,16.499083,16.381417,16.8125,16.49725,
412.4631,16.468791,16.312583,16.968543,16.531209,
412.7447,16.849553,16.910395,16.749171,16.990051,
413.0262,17.064195,17.082836,16.725529,16.636863,
413.3078,17.09375,17.445166,16.853972,16.879526,
413.5894,17.086927,17.510782,17.002864,17.298307,
413.8709,16.997149,17.318174,17.2983,17.373561,
414.1525,16.801686,17.135814,17.344942,16.91766,
414.4341,16.918151,17.03125,16.959843,16.703855,
414.7156,17.016262,17.0041,16.778425,16.865525,
414.9972,17.217978,16.936728,17.142554,16.733989,
415.2787,17.278712,16.896099,16.872462,16.840378,
415.5603,17.159691,16.457094,16.855406,16.972191,
415.8419,17.043313,16.250988,17.111949,16.845726,
416.1234,16.904798,16.165699,17.357554,16.664247,
416.4050,16.878877,16.195254,17.429746,16.550791,
416.6865,16.975038,16.387576,17.187373,16.618839,
416.9681,16.991315,16.726299,17.07987,16.75,
417.2497,16.993924,17.073568,17.243924,16.778212,
417.5312,17.047604,17.169687,17.386978,16.797604,
417.8128,16.999889,17.234431,17.280582,16.749889,
418.0944,17.051055,17.25,16.896218,16.71875,
418.3759,17.193946,17.267237,16.61533,16.753223,
418.6575,17.358046,17.065159,16.675311,16.763242,
418.9390,17.456274,16.831154,16.912668,16.693678,
419.2206,17.30377,16.722643,17.429785,16.65625,
419.5022,17.295841,16.6875,17.484572,16.696836,
419.7837,17.209181,16.624364,17.164547,16.908157,
420.0653,17.097448,16.441198,17.0625,17.108966,
420.3468,17.053786,16.307391,17.152646,17.133714,
420.6284,17.2487,16.2347,17.420251,17.055175,
420.9100,17.168445,16.50686,17.5,16.791159,
421.1915,16.902352,16.59375,17.598955,16.570318,
421.4731,16.741896,16.899313,17.090264,16.913204,
421.7546,16.666382,16.916382,16.785462,16.659608,
422.0362,16.62935,16.93315,16.588601,16.351652,
422.3178,16.652611,17.020333,16.507278,16.561,
422.5993,17.0527,17.172839,16.754861,16.9902,
422.8809,17.18081,17.10044,16.83929,17.292431,
423.1625,16.890322,16.766854,16.635725,17.223347,
423.4440,16.692534,16.567534,16.442534,17.005873,
423.7256,16.407603,17.215593,16.624098,16.657904,
424.0071,16.724622,17.249466,16.591081,16.87927,
424.2887,17.055219,17.202976,16.436287,17.122573,
424.5703,16.856114,16.791726,16.408139,17.054946,
424.8518,16.557382,16.461072,16.434941,16.942618,
425.1334,16.529029,16.387902,16.403025,16.996775,
425.4149,16.812348,16.52721,16.367226,16.988186,
425.6965,17.008527,16.814185,16.394301,17.093188,
425.9781,16.895789,17.338618,16.854211,16.864671,
426.2596,17.029229,17.127021,16.755846,16.627021,
426.5412,17.130291,17.00649,16.807209,16.49351,
426.8228,17.002732,17.066897,17.027451,16.483009,
427.1043,16.859662,17.179735,17.476323,16.523485,
427.3859,16.760727,17.181436,17.602145,16.474814,
427.6674,16.983262,17.168803,17.552825,16.370163,
427.9490,17.269288,17.151984,17.326781,16.387333,
428.2306,17.261192,17.500931,17.208488,16.635262,
428.5121,17.058376,17.266251,17.230999,16.678,
428.7937,16.932419,16.982113,17.369919,16.71875,
429.0752,17.115869,16.831662,17.444573,16.755015,
429.3568,17.237311,16.799811,17.40625,16.799811,
429.6384,17.085905,16.834388,17.353112,16.807819,
429.9199,16.767489,16.920126,17.211869,16.857626,
430.2015,16.564823,16.445745,16.763416,16.759293,
430.4831,16.546296,16.145834,16.388889,16.640046,
430.7646,16.578125,16.5625,16.453125,16.921875,
431.0462,16.674747,16.541706,16.501149,17.381892,
431.3277,16.817078,16.372711,16.464172,17.310959,
431.6093,16.90967,16.586443,16.44092,16.781716,
431.8909,16.99119,16.906527,16.504543,16.47756,
432.1724,16.994342,16.926184,16.71579,16.751218,
432.4540,17.082792,17.027056,16.862757,16.854708,
432.7355,17.097583,17.046777,16.659887,16.937696,
433.0171,16.881598,17.100501,16.571451,17.03125,
433.2987,16.698688,17.114969,16.635031,16.969328,
433.5802,16.613897,17.178456,16.973899,16.746911,
433.8618,16.506916,17.21875,17.233542,16.482582,
434.1434,16.57993,16.996389,17.058889,16.339542,
434.4249,16.693279,16.815212,16.809433,16.380779,
434.7065,16.416126,16.641577,16.773279,17.104613,
434.9880,16.62182,16.59375,17.138157,17.248575,
435.2696,16.743055,16.642359,17.225695,16.975703,
435.5512,16.452263,16.780307,16.896202,16.931061,
435.8327,16.476256,16.8125,16.736558,17.089384,
436.1143,16.783936,16.8125,16.951061,17.125,
436.3958,17.080509,16.838807,17,16.914547,
436.6774,16.96422,16.84375,16.785627,16.767813,
436.9590,16.719239,17.116577,16.831848,16.695435,
437.2405,16.826323,16.795311,16.84375,16.743029,
437.5221,16.476601,16.862969,16.815508,17.060665,
437.8037,16.322637,17.018579,16.869932,17.036318,
438.0852,16.487612,17.323104,16.553961,17.03125,
438.3668,16.885461,17.373401,16.294043,17.090552,
438.6483,16.755689,17.043766,16.221026,17.153974,
438.9299,16.444306,16.725556,16.065903,17.278528,
439.2115,16.56159,16.315456,16.498131,16.56773,
439.4930,16.560726,16.564717,16.671588,16.594415,
439.7746,16.311166,16.873666,16.873666,16.688167,
440.0561,16.251108,16.810285,16.809177,16.725396,
440.3377,16.284339,16.733009,16.71875,16.909339,
440.6193,16.369458,16.41416,16.720728,16.972705,
440.9008,16.757219,16.526437,16.754813,17.03125,
441.1824,16.809774,16.528208,16.852138,17.036913,
441.4640,16.491515,17.134757,17.259757,17.110011,
441.7455,16.716852,17.204074,17.332743,17.279352,
442.0271,16.953828,17.073341,17.209181,17.483672,
442.3086,17.066991,16.915046,16.892592,17.343565,
442.5902,17.074167,16.776354,16.620104,17.126876,
442.8718,17.000529,16.744703,16.652012,16.95286,
443.1533,17.161944,16.730137,16.983048,16.880694,
443.4349,17.163154,16.92124,17.126635,16.894077,
443.7164,16.991269,17.44172,16.868524,16.914981,
443.9980,16.670725,17.170725,16.850611,17.166918,
444.2796,16.550693,17.021726,16.882242,17.021331,
444.5611,16.817799,17.086131,16.967203,16.796488,
444.8427,17.18894,17.118447,17.164242,16.955644,
445.1242,17.333191,17.289612,17.137329,17.348145,
445.4058,17.148931,17.251408,16.96509,17.470158,
445.6874,16.96875,17.066483,16.96589,17.330678,
445.9689,16.902623,17.037787,17.1875,17.337213,
446.2505,16.681396,17.115199,17.226702,17.142194,
446.5321,16.541401,17.083599,17.282048,16.957003,
446.8136,16.604487,17.020513,17.134777,17.010017,
447.0952,16.774211,16.926661,16.914555,16.873733,
447.3767,16.959855,16.962136,16.700727,16.745436,
447.6583,17.011512,17.143083,16.476976,16.613488,
447.9399,16.818084,17.210195,16.508555,16.629278,
