,Live Spectrum 10-11-2023 09:54:06 - Spikes removed,Live Spectrum 10-11-2023 09:54:11 - Spikes removed,Live Spectrum 10-11-2023 09:54:12 - Spikes removed,Live Spectrum 10-11-2023 09:54:13 - Spikes removed,Live Spectrum 10-11-2023 09:54:14 - Spikes removed,Live Spectrum 10-11-2023 09:54:15 - Spikes removed,Live Spectrum 10-11-2023 09:54:16 - Spikes removed,Live Spectrum 10-11-2023 09:54:17 - Spikes removed,Live Spectrum 10-11-2023 09:54:18 - Spikes removed,Live Spectrum 10-11-2023 09:54:18 - Spikes removed,Live Spectrum 10-11-2023 09:54:20 - Spikes removed,Live Spectrum 10-11-2023 09:54:21 - Spikes removed,Live Spectrum 10-11-2023 09:54:22 - Spikes removed,Live Spectrum 10-11-2023 09:54:23 - Spikes removed,Live Spectrum 10-11-2023 09:54:23 - Spikes removed,Live Spectrum 10-11-2023 09:54:24 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
369.6658,17.775245,17.649022,17.1193,17.5,17.199817,17.756311,17.375,17.230455,17.15625,16.856067,16.855761,16.631617,16.600061,17.568811,17.506617,16.848839,
369.9473,17.776649,18.149739,17.675433,17.420052,17.21875,17.723351,17.241754,17.765538,17.049653,16.954948,17.119444,16.647049,16.700347,17.615799,17.442101,17.075347,
370.2289,17.837957,18.247103,17.979724,17.519664,17.21875,17.576983,17.388871,17.787043,16.94619,17.082164,17.354724,16.627897,16.888871,17.71006,17.409147,16.866923,
370.5105,18.024058,18.189897,17.188614,17.591353,17.188699,17.742808,17.646661,17.390583,17.027654,17.274058,17.495205,16.745205,17.116609,17.538442,17.286045,17.054109,
370.7920,17.996057,18.021885,17.287658,17.529278,17.182078,17.625,17.619085,17.096707,16.997043,17.275828,17.589314,16.657729,17.149842,16.905757,17.250493,17.588328,
371.0736,17.73911,17.400473,17.661363,17.408428,16.852462,17.611932,17.219507,17.289962,16.825568,16.922254,17.295076,16.745644,16.736932,16.909849,17.268182,17.175946,
371.3552,17.547466,17.033531,17.3125,17.371931,16.922466,17.483784,16.920496,17.48339,16.953716,16.749606,17.000788,16.695214,16.527787,17.351858,17.074465,16.30321,
371.6367,17.21322,17.871143,17.351208,16.956017,16.682225,17.762733,17.621143,17.987012,16.608411,16.96322,16.662035,16.805297,16.353136,17.220678,16.987267,17.141589,
371.9183,17.281051,17.454556,17.488072,17.223481,17.122535,17.53125,17.341285,17.78125,16.560035,16.858341,17.089019,17.148855,16.730678,17.324626,17.297909,17.182769,
372.1998,17.691173,17.06718,17.34375,17.334893,17.050474,17.575533,17.508353,17.887529,16.594254,16.549467,16.862471,17.402074,16.786434,17.067684,17.58907,17.018217,
372.4814,17.9375,16.905403,17.259664,17.154838,16.793173,17.698011,17.603414,18.03012,16.57414,16.353414,16.614772,17.228414,16.5625,16.71762,17.603696,16.843185,
372.7630,17.755118,16.803862,17.118068,16.831591,17.270906,17.71875,17.303753,17.513756,16.916703,16.1875,16.777838,17.038182,16.647612,16.444432,17.463524,16.755226,
373.0445,17.454949,16.9375,17.197652,16.729696,17.361993,17.884358,16.955743,16.941942,17.183058,16.201301,16.858344,17.096605,16.836453,16.516656,17.364848,16.922906,
373.3261,17.669046,16.9375,17.296309,16.702182,16.817026,18.340733,16.842996,16.858055,17.421309,16.357678,16.363712,17.342241,16.751886,16.779741,17.358809,17.170555,
373.6076,17.855052,17.142292,17.360816,17.054306,16.539896,18.320694,17.111042,17.071146,17.144496,16.721858,16.443717,17.195694,16.59375,16.99158,17.218524,17.042326,
373.8892,17.868569,17.424637,17.449758,17.430766,16.718448,17.981613,17.318629,16.969355,16.912379,16.999698,16.868569,16.875302,16.705887,17.04381,16.782157,16.638165,
374.1708,17.885943,17.439079,17.520307,17.510943,17.126467,17.743795,17.424978,16.681295,16.998421,16.981272,16.967171,16.731272,16.882784,17.153091,16.695284,16.459386,
374.4523,17.940754,17.187068,17.421659,17.456164,17.246746,17.65625,17.424914,16.900604,16.943577,16.740237,16.890409,16.577909,17.003254,17.394095,17.10069,16.393664,
374.7339,17.945227,17.23489,17.351477,17.36693,17.265797,17.58568,17.312157,17.431147,16.882727,16.703297,16.91432,17.02524,17.125343,17.25704,17.485233,16.563187,
375.0155,17.887255,17.658087,17.393995,17.34375,17.28125,17.5625,17.231005,17.788602,16.925245,16.743872,16.9375,17.413602,16.980393,16.835786,17.286153,16.82598,
375.2970,17.848285,17.776715,17.70012,17.130026,17.28125,17.589215,17.485905,17.710173,17.391663,17.257594,17.044362,17.76262,16.9375,16.589707,17.192035,17.088724,
375.5786,17.73054,17.328411,17.948117,17.065448,17.337855,17.59375,17.814275,17.347871,17.723472,17.683379,17.232315,17.982315,16.852593,16.78892,17.272407,17.068395,
375.8601,17.6291,17.639851,17.281432,17.182034,17.642584,17.743167,16.947248,17.3125,17.600583,16.941782,17.0707,17.073615,17.172467,16.573433,17.400784,17.15215,
376.1417,17.279376,17.719166,17.251249,17.061667,17.466459,17.750208,16.875625,17.405417,17.5625,16.999375,16.906042,17.313541,17.374792,16.658541,17.466876,17.028126,
376.4233,17,17.777696,17.439277,16.953491,17.116116,17.774143,16.988295,17.258151,17.5625,16.90092,16.88033,17.466973,17.345527,17.001777,17.173285,16.569607,
376.7048,17.020036,17.685356,17.46875,17.235447,16.938695,17.642892,17.275767,16.881679,17.552482,16.809161,16.975429,17.394088,17.341606,17.044608,16.917464,16.664124,
376.9864,17.23646,17.371978,17.46875,17.39948,16.677708,17.53125,16.885519,17.020731,17.454062,16.766562,17.036146,17.011666,17.03802,17.146458,16.745104,16.488334,
377.2679,17.512893,17.174607,17.513876,17.492571,16.60566,17.492571,16.482626,17.494536,17.375,16.693947,17.04316,16.938483,16.893357,17.119536,16.750983,16.567964,
377.5495,17.5625,17.19692,17.6875,17.351741,16.539241,17.311786,16.776117,17.529821,17.367009,16.670803,16.920803,17.142411,16.859732,17.210759,16.906964,16.428794,
377.8311,17.505322,17.41578,17.744678,17.193936,16.581559,17.275928,17.315594,17.134096,17.257983,16.683725,16.867017,17.336881,16.715656,17.073143,17.066708,16.169554,
378.1126,17.275439,17.371126,17.753314,16.692751,16.768811,17.306689,17.75,16.678375,16.962939,16.84319,16.951877,17.272125,16.402936,17.022685,17.152376,16.020748,
378.3942,17.055983,17.161877,17.392771,16.619373,17.144551,17.024288,17.649288,16.832051,16.680538,16.323754,16.674466,17.337678,16.788657,17.494373,17.106784,16.431873,
378.6758,16.887122,16.974811,17.102841,16.975756,17.467707,16.818561,17.48589,16.943561,16.54536,16.104829,16.59072,17.304451,17.01714,17.554451,17.23286,16.59072,
378.9573,17.078116,17.124994,17.156246,17.390621,17.625001,16.906246,17.265631,16.937498,16.687496,16.515615,16.937491,17.093754,16.953126,17.203132,17.281249,16.937491,
379.2389,17.45765,17.39515,17.466701,17.496983,17.456683,17.165301,17.131034,17.085667,17.035235,17.012067,17.387067,16.951617,16.871983,16.783299,17.295367,17.541268,
379.5204,17.686364,17.530682,17.817387,17.319659,17.250568,17.455,17.262046,17.249432,17.274659,17.218182,17.425454,17.012046,16.899659,16.600341,17.038977,17.78125,
379.8020,17.8125,17.573617,17.948617,17.178483,17.147233,17.714551,17.493701,17.433301,17.3729,17.180583,17.234066,17.163167,16.9375,16.663167,16.834733,17.600049,
380.0836,17.942248,17.713872,17.505008,17.264373,17.276372,17.024389,17.788371,16.98101,16.800762,16.995252,17.177875,16.959255,17.326743,17.194491,17.05037,17.024259,
380.3651,18.138659,17.80436,17.474269,17.404939,17.228201,16.987928,17.85189,16.888659,16.831678,17.00683,17.372379,16.959299,17.268901,17.221371,17.22558,16.997379,
380.6467,18.236678,17.787911,17.605018,17.535857,17.162911,17.41341,17.868339,17.330928,16.962089,17.105018,17.511268,17.024589,16.769483,17.15625,16.954929,17.037911,
380.9282,18.328188,17.546685,17.781377,17.327935,17.025936,17.526063,17.510121,17.567814,16.734185,16.994686,17.453062,16.822748,16.630187,17.234438,16.875,17.213689,
381.2098,18.398811,17.417409,17.8125,17.116067,17,17.311007,17.189726,17.59375,16.6875,16.748507,16.831831,16.643598,16.349696,17.387652,16.930061,17.029757,
381.4914,18.348266,17.40625,17.725523,16.890804,16.913023,17.28125,17.533149,17.564758,16.977422,16.573789,16.431085,16.856938,16.399477,17.435242,16.966492,17.115969,
381.7729,18.313302,17.588939,17.536061,16.905448,16.723561,17.28125,17.410259,17.5625,16.908655,16.410259,15.88863,16.966345,16.223561,17.376604,16.96875,17.246793,
382.0545,18.364628,17.773471,17.502593,17.056666,16.968102,17.334026,17.19139,17.524119,16.843102,16.5,15.813015,16.658843,15.918567,17.343102,17.054721,17.242869,
382.3360,17.879185,17.427173,17.631277,16.783342,16.935408,16.887554,17.377092,17.2147,16.831331,16.489538,17.318777,16.787527,16.491631,17.295761,16.720977,16.891604,
382.6176,17.951622,17.768179,17.722281,16.823092,16.90625,17.087214,17.416842,17.611403,17.118464,16.340219,17.385066,16.896184,16.396184,17.030724,17.229867,16.712214,
382.8992,18.047611,18.151287,17.730148,16.916176,16.901287,17.271324,17.480148,17.705332,17.327389,16.332352,17.109562,17.042648,16.602205,16.741545,17.572426,16.90625,
383.1807,17.936801,18.080271,17.548322,17.000699,16.919729,17.193191,17.304712,17.417632,17.374301,16.488618,16.51847,16.879992,16.908347,16.575979,17.548322,16.950979,
383.4623,17.773446,17.882818,17.257811,17.125,17.101561,17.062507,17.007818,17.195318,17.210946,16.710932,16.609343,16.617196,17.242196,16.812486,17.171893,17.101568,
383.7439,17.683928,17.729467,17.355057,17.161903,17.171129,16.987202,17.020533,17.355647,17.09375,16.799702,16.975895,16.546129,17.041967,17.064581,16.955952,16.985121,
384.0254,17.739365,17.541885,17.626967,17.239365,17.28125,17.116332,17.261291,18.044508,17.104385,16.758668,16.833115,16.751967,16.726762,17.208115,17.095717,16.853729,
384.3070,17.658555,17.538422,17.740267,17.315061,17.076588,17.305328,17.331711,17.915216,17.004611,16.581711,16.692111,17.009733,16.680584,17.163422,17.305328,16.944928,
384.5885,17.629684,17.620931,17.611563,17.361255,16.938115,17.330313,17.325937,17.187192,16.879684,16.643121,16.553747,17.151874,16.955313,17.111563,17.30344,17.223434,
384.8701,17.540802,17.810908,17.489947,17.263237,17.217158,17.401474,17.328921,16.973526,16.924263,16.735171,16.743632,17.261645,16.922671,17.24204,17.264829,17.327329,
385.1517,17.424827,17.827535,17.310138,17.231423,17.039199,17.418923,17.377362,16.923646,16.988508,16.734965,16.939862,17.359965,16.987327,17.487327,17.151526,17.295104,
385.4332,17.781539,17.636538,17.126827,17.209039,16.826154,17.255769,17.4375,17.056731,17.128942,16.75,16.982404,17.375,17.0625,17.492115,16.908077,17.021249,
385.7148,18.30354,17.367201,17.239934,17.420741,17.153983,17.301328,17.494414,17.181914,17.080365,16.693086,16.949779,17.299115,17.157356,17.266759,16.907356,16.824779,
385.9963,18.011825,17.28125,17.72079,17.53125,17.456362,17.354659,17.429547,17.21875,16.726141,16.615569,16.896819,17.25,17.320453,16.851141,16.907728,16.832841,
386.2779,17.033758,17.302954,18.123293,17.596363,17.326366,17.517384,17.440113,17.197046,16.345457,16.658863,16.983521,17.054661,17.353296,16.492161,16.940113,16.952271,
386.5595,17.779616,17.589248,17.388507,17.417439,16.95019,17.079507,16.979191,16.426444,16.180813,16.98731,16.892876,16.530566,17.020878,16.729122,16.576691,17.138374,
386.8410,18.15625,17.882817,17.166994,17.148433,16.990238,16.866855,16.892733,16.278323,16.327153,16.922847,16.990238,16.667976,16.930665,16.990238,16.461915,17.016597,
387.1226,17.744068,17.963261,17.367829,16.939182,17.005489,16.73017,16.711579,16.87925,16.632613,16.900761,17.108534,17.110659,16.834455,17.314625,16.829409,16.942989,
387.4042,17.168407,17.806136,17.352045,17.01466,17,17.083524,17.048126,17.487843,16.877217,17.095967,17.152102,17.350114,16.948012,17.375,17.502503,17.344036,
387.6857,16.780934,17.610623,17.229999,17.28719,17.170627,17.238751,16.979999,18.017505,17.133753,17.295627,16.871872,17.090622,17.167815,17.005308,17.423123,17.235623,
387.9673,17.017909,17.385377,17.069912,17.729247,16.979127,16.863021,16.462701,17.973197,16.977644,17.282732,16.486539,17.0625,17.06843,17.028285,16.721595,16.891306,
388.2488,16.782516,17.530459,17.497785,17.812184,17.217484,17.558861,16.499684,17.564557,16.688924,17.312342,16.344383,16.813766,16.813766,17.124525,16.780775,17.030459,
388.5304,16.506961,17.770808,17.867964,17.972156,17.098391,18.211789,16.768563,17.25,16.488473,17.416617,16.201422,16.862238,16.636602,17.306699,17.450187,17.46875,
388.8120,16.724594,17.495054,16.887365,17.272257,17.203912,18.013939,17.264838,17.212906,17.014838,16.879946,16.564973,16.551034,16.927608,17.158723,16.988534,17.483588,
389.0935,17.182711,17.479082,17.065271,17.508569,17.012349,17.778479,17.516883,16.754789,17.244202,16.92994,16.612651,16.79259,16.774699,17.172379,17.21875,17.641129,
389.3751,17.364837,17.837149,17.307418,17.31326,16.869918,17.475351,18.09375,16.653971,17.62576,16.885163,16.75,16.875,16.479673,17.067582,17.18826,17.490596,
389.6566,17.382656,18.0676,17.198339,17.207272,16.913906,17.168367,18.112883,17.144133,17.398594,16.924744,16.762756,16.868622,16.336733,17.068239,16.986605,17.325895,
389.9382,17.709928,17.721057,16.821322,17.482933,17.23351,17.086082,18.133822,17.134399,17.048317,16.875,16.774159,16.943438,16.202837,17.01476,16.774159,17.54601,
390.2198,17.785468,17.290031,16.647297,17.71875,17.34814,17.134126,17.870264,16.776514,16.767734,16.866047,16.68311,17.402205,16.330579,17.174156,16.665203,17.597968,
390.5013,17.357847,17.268809,16.655698,17.56526,17.250552,17.353431,17.635233,16.561948,16.646017,16.782354,16.729535,17.750552,16.623344,17.228983,16.718198,17.22151,
390.7829,17.087085,17.281376,16.787789,17.307533,17.095448,17.541059,17.725289,16.866637,16.717052,16.598717,16.848591,17.45737,16.835513,17.157948,16.620159,16.6416,
391.0645,17.29265,16.982899,16.752951,17.419025,16.96305,17.642101,17.779876,17.357899,16.938874,16.5,17.0739,17.024175,16.862225,17.012775,16.458724,16.200275,
391.3460,17.176637,17.065675,16.545288,17.479613,17.154415,17.461061,17.771726,17.552976,17.045288,16.598264,16.901736,17.024901,16.871825,17.15759,16.765377,16.471429,
391.6276,17.079115,17.123021,16.898992,17.515955,17.40493,17.359705,18.027951,17.579775,16.986025,16.74934,16.689479,16.956094,16.998021,17.327795,16.769254,17.010676,
391.9091,17.213267,17.334579,17.46511,17.615829,17.386015,17.476126,17.873108,17.615829,17.104814,16.963267,16.742673,16.746312,17.126844,17.34375,16.726126,17.200359,
392.1907,17.410587,17.401913,17.585077,17.736543,17.20574,17.682717,17.309056,17.55861,17.565944,17.107207,16.98176,16.705293,17.191837,17.272577,16.914923,17.031697,
392.4723,17.513637,17.470171,17.455113,17.654829,17.086931,17.788069,16.96051,17.380397,17.705113,16.998579,17.157671,16.756819,17.237784,17.199716,17.140058,17.242048,
392.7538,17.603039,17.53125,17.588677,17.57348,16.961151,17.731421,17.199315,17.404559,17.311665,16.795612,17.178211,16.902868,17.189191,17.16723,17.087842,17.822625,
393.0354,17.431503,17.423751,17.021009,17.240004,17.250245,17.623001,17.675996,17.824495,16.867003,16.890748,17.17775,17.291246,17.15625,17.285248,16.935501,17.880752,
393.3169,17.161956,17.306827,16.650577,17.25282,17.56532,17.661923,17.607982,17.909103,16.818173,16.80968,17.210224,17.27843,17.269871,17.480096,17.019871,17.880673,
393.5985,17.117693,17.305193,16.529226,17.432217,17.505283,17.783274,17.483363,17.898943,16.939524,16.654226,17.21875,17.051146,17.38433,17.483363,17.038557,17.858363,
393.8801,17.401728,17.513757,16.650943,17.519064,16.940451,17.837657,17.46875,17.704993,16.943593,16.499214,17.319378,17.100628,17.431407,17.192022,16.930622,17.84375,
394.1616,17.416019,17.430673,17.03025,17.504885,16.680673,17.448269,17.679673,17.418961,16.462923,16.679673,17.106461,17.125,17.226577,16.914077,16.721692,17.791019,
394.4432,17.130567,17.24084,17.286728,17.472432,17.097342,17.375,17.608477,17.20959,16.292295,16.801455,17.034932,17.235273,16.994522,16.819863,17.018319,17.726113,
394.7248,17.122516,17.161218,17.341266,17.152327,17.501439,17.403766,17.277327,17.245032,16.540142,16.8125,16.887421,17.221234,16.997516,16.870032,16.976203,17.632453,
395.0063,17.574368,17.335997,17.373708,16.885337,17.291587,17.496124,16.980379,17.489663,16.682331,16.872416,16.845042,17.188792,16.970042,17.354326,16.459467,17.535126,
395.2879,17.064292,17.219172,17.935602,17.404458,17.935286,17.126265,17.062184,17.406566,17.03009,17.373313,17.030617,16.813765,17.280196,17.001265,16.250633,16.659202,
395.5694,16.875,17.247849,17.767265,17.275871,17.509735,17.440727,17.03878,17.212296,17.091599,16.910553,17.256454,16.659477,16.986015,17.064651,16.261833,16.905174,
395.8510,16.888509,17.1875,17.354736,17.125,16.90625,17.526747,17.272515,17.024495,17.035753,17.056017,17.442003,16.761258,16.602756,17.143012,16.586995,16.886258,
396.1326,17.106986,17.211454,17.062952,17.15922,16.916516,17.458484,17.583032,16.985408,17.107438,17.364734,17.46578,16.94047,16.729016,17.347624,16.547908,17.041516,
396.4141,17.50086,17.415424,16.840023,17.478784,17.022936,17.34289,17.740826,17.379587,17.237098,17.244553,17.15539,17.232511,16.826261,17.111239,16.96961,17.111239,
396.6957,17.681753,17.526219,17.080456,17.770472,17.150503,17.150503,17.630031,17.40625,17.34375,16.927806,16.922775,17.272272,16.911997,17.014009,17.167744,17.025503,
396.9772,17.628645,17.78125,17.472007,18.055211,17.125,17.138803,17.278381,17.392447,17.357553,16.46875,16.732553,17.038539,16.882289,16.896092,17.232553,17,
397.2588,17.426594,17.78125,17.400538,18.097041,17.004243,17.066743,17.154863,17.440356,17.309644,16.541204,16.668543,16.916204,16.69555,16.725849,17.2732,17.024151,
397.5404,17.180166,17.799639,16.917305,17.647056,16.702222,16.819888,17.753667,17.599224,17.040444,16.731611,16.435693,17.115806,16.773916,16.702222,17.268389,17.15811,
397.8219,17.374497,17.750754,17.23841,17.542337,16.833166,17.021168,17.646168,17.291834,17.031501,16.697833,16.821576,17.09375,16.895917,16.8125,17.24017,17.322833,
398.1035,17.557331,17.470771,17.645912,17.375,16.897932,16.868703,17.528102,17.318797,17.003148,16.684352,17.259445,17.128148,16.737406,16.858365,17.082284,17.297885,
398.3851,17.593279,17.186559,17.881532,17.286841,16.773776,16.687029,17.519127,17.399718,17.037312,16.524247,17.349341,17.200094,16.374059,17.025659,17.0625,17.180968,
398.6666,17.5,17,17.841482,17.115099,16.586117,16.758352,17.552599,17.151714,17.096018,16.429867,17.163883,17.273617,16.228651,17.224834,17.035066,17.166151,
398.9482,17.425828,16.955497,17.555572,17.0625,16.596913,17.17643,17.351657,16.80241,17.203916,16.737349,16.98991,17.299247,16.429593,17.297666,16.89616,17.441265,
399.2297,17.375643,17.033822,17.279321,17.046553,16.53125,17.501929,17.1875,16.862912,17.1875,17.175412,16.683642,17.29784,16.753215,17.32909,16.860983,17.799126,
399.5113,17.593839,17.394999,17.494463,17.235892,16.599464,16.843396,17.170446,17.201785,17.1875,17.582499,16.738749,17.309643,16.957411,17.272679,17.193303,17.479912,
399.7929,17.731845,17.484819,17.659224,17.206542,16.892268,16.273216,17.083629,17.38006,17.1875,17.617853,16.97381,17.008921,17,17.133034,17.297319,16.888982,
400.0744,17.738002,17.329243,17.59375,16.908486,17.312773,16.505018,17.108257,17.464005,17.206752,17.268979,17.057755,16.696989,17.250273,16.939736,17.045484,16.487729,
400.3560,17.912745,17.54571,17.410662,16.8125,17.448407,16.808088,17.135907,17.276226,17.259436,17.002942,17.073407,16.665686,17.40625,16.721692,17.018872,16.221692,
400.6375,17.892854,17.537496,17.269642,17.091079,17.18035,17.399121,17.296433,16.984817,17.324108,16.980358,17.105358,16.987508,17.491967,16.891971,17.298221,16.4134,
400.9191,17.82124,17.288669,17.092429,17.578911,17.0625,17.55747,17.577591,16.95127,17.36626,17.06753,17.21504,17.305081,17.53125,17.180081,17.54131,16.6438,
401.2007,17.694571,16.982892,17.172765,18.048951,17.156843,17.318978,17.679836,16.945164,17.445757,17.188093,17.320757,17.257071,17.484078,17.485858,17.051277,17.017701,
401.4822,17.38503,17.029532,17.342032,18.304188,17.360094,16.830842,17.761469,17.085438,17.518063,17.268063,17.491688,17.120125,17.320812,17.735094,16.677749,17.322251,
401.7638,17.852656,17.422604,17.375,17.983646,16.994703,16.847359,17.086764,17.150722,17.479807,16.946868,17.016816,16.913698,17.950014,17.601198,16.676443,17.477887,
402.0453,17.674149,17.044707,17.348218,17.745558,16.959814,17.035692,16.910718,17.531197,17.281277,16.928564,16.852686,16.714308,17.692021,17.294681,16.6875,17.285745,
402.3269,17.34663,16.606869,17.399424,17.356869,17.080098,16.951152,16.90625,17.677261,17.027304,17.048848,16.899424,16.520478,17.402304,17.194326,16.743174,16.999467,
402.6085,17.283613,16.418065,17.232929,17.081405,17.324845,16.764179,17.021798,17.571952,17,16.946952,17.050685,16.557774,17.519435,17.447482,17.038869,17.084298,
402.8900,17.221387,16.58584,17.009228,17.002637,17.583204,17.169044,17.001318,17.173388,16.453553,16.9375,17.24209,16.682227,17.35166,17.139501,17.24209,17.213477,
