,Live Spectrum 10-11-2023 09:49:20,Live Spectrum 10-11-2023 09:49:20,Live Spectrum 10-11-2023 09:49:26,Live Spectrum 10-11-2023 09:49:28,Live Spectrum 10-11-2023 09:49:31,Live Spectrum 10-11-2023 09:49:33,Live Spectrum 10-11-2023 09:49:36,Live Spectrum 10-11-2023 09:49:37,Live Spectrum 10-11-2023 09:49:38,Live Spectrum 10-11-2023 09:49:40,Live Spectrum 10-11-2023 09:49:41,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
374.4523,17.149741,16.624568,16.828341,16.471573,16.978513,16.918836,17.125,16.959418,17.015841,16.106336,16.922091,
374.7339,16.95261,16.53125,17.01614,16.735577,17.038977,17.00807,17.19557,17.03932,17.227163,16.26614,17.062843,
375.0155,16.931372,16.933209,16.987133,17.019607,16.679536,17.13174,17.294117,17.037378,17.48223,16.488357,17.09375,
375.2970,16.990931,17.191543,16.942035,17.142646,16.540319,17.236396,17.285785,17.057965,17.424388,16.557965,17.067035,
375.5786,17.169815,16.879121,16.852593,17.014738,16.842577,17.278302,17.252948,16.920988,17.321343,16.44929,17.005895,
375.8601,17.127733,17.172467,16.813867,16.581633,16.6957,17.251367,16.682216,16.667183,16.983783,16.6168,17.149417,
376.1417,16.906042,17.217917,16.749167,16.563125,16.532083,17.153543,16.720208,17.252291,16.936875,16.782291,17.186875,
376.4233,16.883884,17.086643,16.626777,16.668688,16.66158,16.74467,16.94283,17.583089,16.852634,16.930393,17.091973,
376.7048,17.078002,16.958732,16.649571,16.891697,16.783394,16.639553,17.011214,17.362838,16.976624,16.835876,17.055821,
376.9864,17.49323,16.889688,16.613334,17.05573,17.052708,16.514688,16.833958,17.053856,16.786146,17.016562,16.990208,
377.2679,17.566981,17.013876,16.731643,17.090802,16.974214,16.61309,16.794143,17.369536,16.760928,16.931053,16.9375,
377.5495,17.319777,17.283393,16.773259,16.710759,16.875,16.751429,16.907679,17.476741,16.506562,16.946206,16.985447,
377.8311,17.183292,17.55297,16.788119,16.668441,17.075124,16.92797,17.08422,17.366584,16.534344,17.024381,17.105941,
378.1126,17.075499,17.464876,16.930312,16.613938,17.542312,16.90625,17.162061,17.007188,16.891314,16.9375,17.073562,
378.3942,17.168839,17.21786,17.043839,16.656695,17.549911,16.893661,17.381517,16.855894,16.775178,16.987856,17.09375,
378.6758,17.1875,17.01714,17.04839,16.77822,17.390152,16.832671,17.310512,16.837689,16.897159,17.104829,17.10786,
378.9573,17.125002,17.031249,16.984376,16.859374,16.953132,16.906246,17.062503,17.07812,17.140621,17.171875,17.140625,
379.2389,17.0625,17.0625,16.834699,16.940517,16.721767,16.928449,16.91735,17.335667,17.349784,17.1361,17.15625,
379.5204,17.0625,17.081136,16.675454,16.875568,16.843182,16.862386,16.986818,17.350341,17.368977,17.037841,17.118977,
379.8020,17.102767,17.053483,16.584733,16.893034,17.188118,16.875,17.0625,17.131299,17.142416,16.9396,17.134017,
380.0836,17.297997,17.355619,16.713872,17.261869,17.214002,17.134495,17.235497,17.182622,16.944752,17.490114,16.745383,
380.3651,17.32878,17.47689,16.896799,17.013383,17.17936,17.22689,17.497379,17.29622,16.86003,17.565121,16.60872,
380.6467,17.386268,17.46875,16.986678,16.850411,17.261268,17.317107,17.464143,17.238732,16.942107,17.081983,16.551232,
380.9282,17.510501,17.46875,16.869686,17.026189,17.124873,17.213436,17.228998,17.270876,17.099064,16.916624,16.791878,
381.2098,17.751493,17.386159,16.761159,17.09003,16.956098,16.884665,16.994787,17.198659,17.290183,16.741067,16.926341,
381.4914,17.810242,17.172054,16.663023,16.861812,16.995484,16.785766,16.910766,17.274477,17.370484,16.805727,16.908508,
381.7729,17.47757,17.308491,16.808491,16.752405,16.908655,16.78125,16.997595,17.220354,16.826932,16.842948,16.540871,
382.0545,17.319765,17.269581,17.022174,16.95773,16.940741,16.96486,17.114628,17.371759,16.664029,16.843102,16.228474,
382.3360,16.206331,16.725027,16.587473,16.456331,17.06655,16.772881,16.616631,17.214565,17.043804,16.808315,16.693777,
382.6176,16.518179,16.840745,16.496469,16.732872,16.712214,16.670372,16.510592,17.124474,17.204628,16.746469,16.777719,
382.8992,16.931066,17.052574,16.46875,16.77923,16.98566,16.801102,16.578861,16.860111,17.034193,16.723713,16.75,
383.1807,17.04972,16.99361,16.45597,16.42472,17.438199,16.989317,16.50639,16.749301,16.699581,16.801118,16.788339,
383.4623,17.031243,16.976561,16.437493,16.468729,17.492204,17.320311,16.539061,16.656243,16.726539,16.976568,16.984364,
383.7439,17.244936,16.981548,16.595831,16.86071,17.253572,17.242265,16.590178,16.768452,16.985121,16.869347,17.208033,
384.0254,17.563156,16.969406,16.75,17.103729,17.1875,16.936188,16.666885,16.780594,16.747377,16.738709,17.427521,
384.3070,17.311988,17.043289,16.725922,17.074539,17.1875,16.884733,16.639344,16.646517,16.512039,16.87295,17.384478,
384.5885,17.000615,17.196868,16.714374,17.05344,17.254684,16.973126,16.629684,16.665618,16.57156,17.097819,17.25,
384.8701,17.39829,17.389829,16.913119,16.896197,17.417895,16.848526,16.837382,16.888237,16.684316,16.893013,17.131368,
385.1517,17.416561,17.341388,16.980242,16.765035,17.435138,16.75,17.082258,16.953715,16.766215,16.892396,16.951354,
385.4332,17.28125,17.105288,16.822211,16.767596,17.216634,16.679615,17.169904,16.757596,16.763654,16.761538,16.76548,
385.7148,17.395078,17.044635,16.819193,16.951991,16.979922,16.700885,17.099336,16.555807,16.693086,16.757799,16.770078,
385.9963,17.245003,16.870003,17.067497,17.103181,16.926591,16.566934,16.899775,16.571931,16.513866,16.701366,16.782728,
386.2779,16.734323,16.489548,17.361134,17.168409,16.980909,16.360229,16.703979,16.832497,16.394091,16.538183,16.728296,
386.5595,16.677812,16.651748,16.399696,16.979939,16.930813,16.773746,16.863811,17.214248,16.951558,16.246315,16.857124,
386.8410,16.791994,16.945317,16.39747,16.979494,16.955079,16.9375,17.108403,17.190427,16.936518,16.278323,16.930665,
