,Live Spectrum 10-11-2023 10:05:20 - Spikes removed,Live Spectrum 10-11-2023 10:05:23 - Spikes removed,Live Spectrum 10-11-2023 10:05:24 - Spikes removed,Live Spectrum 10-11-2023 10:05:24 - Spikes removed,Live Spectrum 10-11-2023 10:05:25 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,
360.9374,16.8125,17.0625,17.09375,16.875,16.78125,
361.2189,16.52743,17.01337,16.8342,16.61736,16.68368,
361.5005,16.48019,17.24163,16.691313,16.503813,16.609747,
361.7821,16.642441,17.371989,16.770141,16.54838,16.49429,
362.0636,17.015201,17.112346,17.038002,16.647801,16.46875,
362.3452,17.100436,16.866606,17.080378,16.71875,16.51617,
362.6267,17.119333,17.289722,16.860806,16.71875,16.681805,
362.9083,17.026463,17.462562,16.887103,16.586433,16.675397,
363.1899,17.092691,17.141154,17.197303,16.51192,16.682207,
363.4714,16.989374,17.07414,17.32414,16.845393,17.030236,
363.7530,16.799783,17.050054,17.112011,16.805598,17.112283,
364.0346,16.75,16.979904,17.041298,16.594303,16.752767,
364.3161,16.727513,16.959987,17.264883,16.85483,16.503802,
364.5977,16.791706,16.676927,17.368069,17.114661,16.711936,
364.8792,16.969362,16.489175,17.008988,16.999388,17.094974,
365.1608,17.139812,17.111885,17.021387,17.164487,16.652927,
365.4424,16.888278,16.919528,16.971701,17.157725,16.59375,
365.7239,16.59375,16.749339,17.064813,17.093089,16.721394,
366.0055,16.608657,16.702407,17.285509,17.026991,16.981527,
366.2870,16.816422,16.918017,17.34375,16.988361,17.152328,
366.5686,16.786665,17.005709,17.292373,17.073623,17.050789,
366.8502,16.493808,16.993808,17.010081,16.858727,16.658843,
367.1317,16.291642,16.875,16.98268,16.665439,16.598418,
367.4133,16.148896,16.852942,17.268383,16.2261,16.806988,
367.6949,16.22442,16.8125,17.02123,16.6606,16.50989,
367.9764,16.303856,16.928856,16.78125,16.995678,16.372839,
368.2580,16.486378,17.127671,16.764957,17.095085,16.520298,
368.5395,16.53125,17.133397,16.768034,16.944655,16.823379,
368.8211,16.47194,16.95536,16.76148,16.79273,16.81059,
369.1027,16.458999,16.789003,16.728501,16.716752,16.761748,
369.3842,16.909972,16.703556,17.299305,17.012611,16.78125,
369.6658,17.012622,16.862072,17.375306,16.800795,16.856067,
369.9473,17.026649,16.90625,16.97066,16.612153,17.008246,
370.2289,17.173017,16.764483,16.962957,16.792224,17.087957,
370.5105,17.1875,16.780051,16.788442,16.902654,17.334161,
370.7920,17.182571,16.875493,16.780757,16.691443,16.997535,
371.0736,16.855397,16.914962,16.754356,16.959281,16.828504,
371.3552,16.647748,17.038964,16.85107,17.25,16.671284,
371.6367,17.03125,17.115869,17.147119,17.211292,16.966822,
371.9183,17.045643,17.261928,17.25,16.930502,16.8125,
372.1998,17.04061,17.37968,17.179147,16.584893,16.945349,
372.4814,16.895739,17.196881,16.926424,16.636076,17.333804,
372.7630,16.984429,16.944432,16.732615,16.817726,17.328071,
373.0445,17.170051,16.933851,16.614848,16.861199,17.018243,
373.3261,17.202936,16.96875,16.639682,16.797441,16.951805,
373.6076,16.996892,17.13941,16.71875,16.988924,16.994236,
373.8892,16.756431,17.225181,16.70006,17.224879,16.9375,
374.1708,16.637522,17.228114,16.789034,17.25,16.754738,
374.4523,16.59375,17.118491,16.997177,17.140409,16.700086,
374.7339,16.852507,17.0625,17.368303,17.140797,16.812843,
375.0155,17.012867,17.012255,17.36826,17.030638,16.919117,
375.2970,17.111396,17.187008,16.969733,17.026715,17.097793,
375.5786,17.125,17.275355,16.79304,17.087855,17.096698,
375.8601,17.184767,16.892766,17.080084,17.27305,17.123633,
376.1417,17.249584,16.96875,17.21875,17.123751,17.063125,
376.4233,17.1875,16.970527,17.21875,16.93217,17.149143,
376.7048,17.174142,16.979964,17.155301,16.840411,17.021232,
376.9864,17.023332,16.802708,16.60052,16.83698,16.942396,
377.2679,16.806053,16.782233,16.533215,16.962303,16.923624,
377.5495,16.797232,16.922232,16.861161,16.921518,16.781964,
377.8311,16.757983,16.930631,17.074691,16.789233,16.808292,
378.1126,16.485064,16.821625,17.03125,16.660124,16.733686,
378.3942,16.381517,16.705716,17.081606,16.831606,16.862411,
378.6758,16.508049,16.551421,17.15625,16.863921,16.914299,
378.9573,16.671873,16.453126,17.281246,16.734377,17.124996,
379.2389,16.75,16.40625,17.491917,16.60485,17.164333,
379.5204,16.861818,16.592614,17.450682,16.730227,16.981932,
379.8020,16.8771,16.819417,17.254199,17.004817,16.886117,
380.0836,17.016747,16.59388,17.382121,16.877504,16.918249,
380.3651,17.09375,16.42253,17.306981,16.989239,16.845061,
380.6467,16.946215,16.750499,17.127054,17.087089,16.615786,
380.9282,16.854124,16.765562,17.224064,16.989499,16.484312,
381.2098,16.788689,16.915183,17.360122,17.078872,16.661463,
381.4914,16.839234,16.763547,17.317016,17.180727,16.745484,
381.7729,16.935095,16.993586,17.3125,17.126604,16.75,
382.0545,17.03125,16.918701,17.242221,16.914029,16.721991,
382.3360,17.037527,16.037527,16.881277,17.270788,16.875,
382.6176,17.132061,16.107347,16.96875,17.110878,16.875,
382.8992,17.192463,15.988602,16.988602,16.980148,16.850184,
383.1807,17.237919,16.234326,17.09375,16.843051,16.737919,
383.4623,17.289068,16.804682,17.109371,16.703129,16.828121,
383.7439,17.172621,16.838097,17.036314,16.591669,16.948807,
384.0254,17.041229,16.792541,16.760635,16.405594,17.156906,
384.3070,16.903689,16.850922,16.853483,16.608606,17.303022,
384.5885,16.844058,16.799063,16.767198,17.004376,17.356879,
384.8701,17.161527,16.810908,16.322052,16.894605,17.057223,
385.1517,17.310138,16.924827,16.173646,16.909793,16.827535,
385.4332,17.162019,17.035192,16.429904,17.035192,16.706923,
385.7148,16.998894,17.0625,16.840376,17.119414,16.719856,
385.9963,17.059544,16.981138,17.040681,16.993525,16.801591,
386.2779,17.255226,16.915796,16.997387,16.732616,16.8125,
386.5595,16.943503,17.136873,17.153248,17.140558,17.273746,
386.8410,16.641597,17.072262,17.121091,17.166012,17.046866,
387.1226,16.774079,16.979727,16.939182,17.047716,16.911739,
387.4042,16.92091,16.995852,16.933352,17.03125,17.150172,
387.6857,16.9375,17.227503,17.19344,17.116563,17.130624,
387.9673,16.9375,17.279768,17.278285,17.125,16.916627,
388.2488,16.719857,17.436709,17.032516,17.093908,16.968434,
388.5304,16.710629,17.520808,16.791692,17.168937,17.299738,
388.8120,16.507419,17.237635,17.047662,16.6875,16.978642,
389.0935,16.58241,17.067289,16.852319,16.706401,17.08619,
389.3751,16.484755,16.885163,16.692582,16.889486,17.041413,
389.6566,16.470028,16.943878,16.788906,17.201534,17.125639,
389.9382,16.711082,16.96875,17.085505,17.461659,17.242332,
390.2198,16.741219,16.870264,17.227876,17.227358,17.200844,
390.5013,16.936396,16.563604,17.375552,16.917035,17.197181,
390.7829,16.786344,16.771189,17.254967,16.84048,17.24673,
391.0645,16.504123,17.407624,17.15625,16.615177,17.16195,
391.3460,16.991816,17.401736,17.142212,16.417113,17.082887,
391.6276,17.326475,17.235365,17.048525,16.575816,17.03125,
391.9091,17.373156,17.253688,16.902562,16.919157,17.047797,
392.1907,17.201403,17.276913,16.825957,17.249553,17.00912,
