,Live Spectrum 10-11-2023 10:11:28 - Spikes removed,Live Spectrum 10-11-2023 10:11:31 - Spikes removed,Live Spectrum 10-11-2023 10:11:32 - Spikes removed,Live Spectrum 10-11-2023 10:11:33 - Spikes removed,Live Spectrum 10-11-2023 10:11:33 - Spikes removed,Live Spectrum 10-11-2023 10:11:34 - Spikes removed,Live Spectrum 10-11-2023 10:11:35 - Spikes removed,Live Spectrum 10-11-2023 10:11:35 - Spikes removed,Live Spectrum 10-11-2023 10:11:36 - Spikes removed,Live Spectrum 10-11-2023 10:11:39 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
375.2970,17.303431,17.191543,16.942035,17.173896,16.894277,17.080146,17.48137,17.48137,17.473285,17.276715,
375.5786,17.369105,17.33196,17.248827,17.357315,17.02573,17.489984,17.64446,17.64446,17.327238,17.224645,
375.8601,17.434767,17.582817,16.504282,17.584184,16.994716,17.142766,17.237883,17.237883,17.850401,16.919916,
376.1417,17.657291,17.875208,16.909165,17.405834,16.688958,17.532499,17.533124,17.533124,18.000208,17.002499,
376.4233,17.805393,17.897366,17.34908,17.347304,16.943563,17.699205,17.816054,17.816054,18.011705,17.392768,
376.7048,17.617373,17.723285,17.434161,17.416268,17.5625,17.375,17.844945,17.844945,17.637409,17.707536,
376.9864,16.996978,17.470624,17.396458,17.52448,17.489061,17.414168,17.554582,17.554582,17.213854,17.865208,
377.2679,16.883412,17.29316,17.34375,17.694929,17.042178,17.64434,17.375983,17.375983,17.297091,17.696463,
377.5495,17.22817,17.266697,17.431652,17.835759,16.923661,17.64683,17.555938,17.555938,17.814643,17.17808,
377.8311,17.561386,17.444369,17.792327,17.660025,17.232488,17.456559,17.594864,17.594864,17.960334,17.025928,
378.1126,17.766314,17.586562,17.964876,17.412061,17.439437,17.544249,17.290375,17.290375,17.600938,17.100938,
378.3942,17.675356,17.763034,17.768216,17.732229,17.588123,17.675356,17.212233,17.212233,17.424466,16.949644,
378.6758,17.679451,17.832671,17.698579,18.008049,17.775189,17.693561,17.353787,17.353787,17.32661,16.832671,
378.9573,17.687497,17.703127,17.796874,18.218746,17.921873,17.671874,17.718746,17.718746,17.531245,17.109366,
379.2389,17.764117,17.625,17.809483,18.360883,18.102801,17.633083,17.912284,17.912284,17.924351,17.694501,
379.5204,17.917727,17.680909,17.948977,18.356364,18.504319,17.599773,17.819659,17.819659,18.149659,18.036705,
379.8020,18.111784,17.77915,18.203434,18.303483,18.920084,17.645133,17.678483,17.678483,18.147233,17.863265,
380.0836,17.983253,17.790875,18.367748,18.497496,18.815004,17.93737,17.699499,17.699499,17.952003,18.324238,
380.3651,17.92936,18.012349,18.290701,18.61686,18.556981,17.785182,17.972958,17.972958,18.036769,18.431981,
380.6467,18.109625,18.241285,18.127054,18.625,18.450822,17.490786,18.259214,18.259214,18.290464,18.227465,
