,Live Spectrum 10-11-2023 10:02:35 - Spikes removed,Live Spectrum 10-11-2023 10:02:39 - Spikes removed,Live Spectrum 10-11-2023 10:02:41 - Spikes removed,Live Spectrum 10-11-2023 10:02:42 - Spikes removed,Live Spectrum 10-11-2023 10:02:43 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,
360.9374,16.875,16.96875,17,16.71875,16.8125,
361.2189,16.76979,16.79913,16.96875,16.85139,16.629511,
361.5005,16.589937,16.609003,16.953497,16.93443,16.211123,
361.7821,16.59105,16.70733,16.83804,16.6875,16.1848,
362.0636,16.749151,16.709452,16.797299,16.710301,16.289699,
362.3452,16.881686,16.82758,16.740516,16.809702,16.256686,
362.6267,17.002833,16.71875,16.741472,16.886361,16.377833,
362.9083,17.22128,16.837835,16.648933,17.012103,16.411037,
363.1899,17.482787,16.984904,16.46875,17.110963,16.405191,
363.4714,17.42953,17.01961,16.502657,16.994687,16.623986,
363.7530,17.21212,17.100109,16.53125,16.9375,16.856467,
364.0346,16.93916,17.269542,16.613846,16.999447,16.968197,
364.3161,16.798776,17.433698,16.791172,16.986276,16.932539,
364.5977,17.000117,17.493069,16.746476,16.871476,16.90625,
364.8792,17.193219,17.473856,16.535744,16.477738,16.853963,
365.1608,17.1069,17.189126,16.667774,16.434212,16.340427,
365.4424,16.974651,17.037151,16.568401,16.765021,16.162151,
365.7239,17.127974,16.999009,16.438161,16.997687,16.407241,
366.0055,17.399861,16.90625,16.517036,16.78125,16.514907,
366.2870,17.261511,16.890561,16.761767,16.761639,16.706983,
366.5686,16.911959,16.74129,16.832333,16.619291,16.636417,
366.8502,17.042338,16.540035,16.743808,16.59375,16.650058,
367.1317,17.23607,16.496536,16.800977,16.695632,16.559036,
367.4133,16.862133,16.683821,17.108459,16.849267,16.669117,
367.6949,16.74288,16.86788,16.81672,16.58518,16.82674,
367.9764,16.702044,16.652511,16.789311,16.4375,16.995678,
368.2580,16.751335,16.533921,17.150639,16.681889,17.078793,
368.5395,16.997664,16.719991,17.53731,16.942319,17.111784,
368.8211,17.17602,16.85204,17.59694,17.02806,17.22385,
369.1027,17.1875,16.617009,17.390506,17.019502,17.345748,
369.3842,16.583723,16.523222,16.36039,16.883889,17.421444,
369.6658,16.549572,16.431495,16.305578,16.669178,17.4375,
369.9473,16.860243,16.566146,16.454948,16.678299,17.330903,
370.2289,17.133077,16.792224,16.38369,16.885974,17.284147,
370.5105,17.216353,17.26327,16.525257,17.326969,17.191096,
370.7920,17.152307,17.620564,16.910686,17.558557,17.03125,
371.0736,16.904072,17.317613,17.178788,17.3125,17.026894,
371.3552,16.867286,16.899324,17.008502,17.3125,16.941751,
371.6367,16.80697,16.395191,16.685827,17.257203,16.766589,
371.9183,16.83882,16.322161,16.983143,16.94243,16.865339,
372.1998,17.03125,16.27657,16.986967,16.758857,17.070349,
372.4814,16.968185,16.375282,16.717338,16.707674,17.343185,
372.7630,16.855909,16.546929,16.394091,16.659771,17.036368,
373.0445,16.861199,16.760152,16.513007,16.633091,16.487787,
373.3261,16.84375,16.874246,16.841864,16.375377,16.279741,
373.6076,16.536562,16.818038,17.187726,16.633872,16.645174,
373.8892,16.356008,16.70006,17.268992,16.912379,17.011956,
374.1708,16.609319,16.626579,17.056295,16.957807,17.064079,
374.4523,16.916013,16.571832,16.946832,17.012586,16.724396,
374.7339,17.14114,16.750687,17.07864,16.913633,16.45261,
375.0155,17.08701,16.91299,17.22549,16.849878,16.732842,
375.2970,16.875492,17.097793,17.303431,16.84375,16.51863,
375.5786,16.702238,17.266512,17.369105,16.928657,16.157423,
375.8601,16.77715,16.773232,17.1957,16.698433,16.3043,
376.1417,16.782291,17.031458,17.281042,16.625208,16.281042,
376.4233,16.948161,17.060723,17.264215,16.66158,16.239339,
376.7048,17.135018,17.004535,17.506679,16.776715,16.085876,
376.9864,17.223646,16.707811,17.557604,17.009792,16.310626,
377.2679,17.243553,16.318947,17.492571,17.010928,16.48809,
377.5495,17.210759,16.319777,17.319777,16.772544,16.570491,
377.8311,17.044554,16.326238,17.116584,16.637191,16.689047,
378.1126,16.696625,16.5,16.845687,16.59375,16.873063,
378.3942,16.719195,16.474822,16.969195,16.59375,16.799911,
378.6758,16.699622,16.4375,17.006061,16.59375,16.79536,
378.9573,16.578125,16.453125,16.734381,16.624999,16.906247,
379.2389,16.730817,16.588684,16.514117,16.70765,17.085667,
379.5204,17.141932,16.743409,16.444091,16.880455,16.820795,
379.8020,17.40415,16.902051,16.40625,16.948617,16.53335,
380.0836,17.286128,16.947125,16.40625,16.872626,16.391877,
380.3651,17.24186,16.91439,16.47558,16.959299,16.505519,
380.6467,17.053286,16.881661,16.598357,17.098357,16.710035,
380.9282,16.817561,16.953188,16.546812,17.098937,16.828188,
381.2098,16.561007,16.96875,16.55878,16.983628,16.761159,
381.4914,16.734196,16.997742,16.678469,16.910766,16.373101,
381.7729,17.054482,17,16.839741,16.875802,16.130612,
382.0545,17.549535,16.96486,17.24611,16.967453,16.105419,
382.3360,16.939592,16.777065,17.054131,16.935543,16.649973,
382.6176,16.961689,16.750526,16.951622,17.340219,16.5625,
382.8992,16.940992,16.965258,17.067463,17.257906,16.587316,
383.1807,17.11222,16.838758,17.10014,16.949581,16.750699,
383.4623,17.093743,16.875043,17.109379,16.953107,16.859379,
383.7439,17.178274,16.3125,17.044048,17.1875,16.830952,
384.0254,17.166885,16.269959,16.914918,17.102418,16.811188,
384.3070,17.259733,16.307889,16.774078,16.901383,16.79585,
384.5885,17.307816,16.513437,16.879684,16.682508,16.982187,
384.8701,17.129776,16.590566,16.909434,16.439092,16.911026,
385.1517,17.015035,16.704896,16.714026,16.454896,16.877362,
385.4332,17.035192,16.802789,16.664135,16.711154,17.131058,
385.7148,17.081471,16.767865,17.060233,16.931914,17.395078,
385.9963,17.134431,16.556025,17.159206,16.846706,17.489091,
386.2779,17.134546,16.381933,16.94182,16.564207,17.478296,
386.5595,16.663754,16.389875,16.967249,16.722435,16.730756,
386.8410,16.548829,16.625982,17.146488,16.690427,16.371091,
387.1226,16.588261,16.867829,17.213261,16.965386,16.446795,
387.4042,16.70216,17.041762,17.083238,16.977045,16.36034,
387.6857,16.97469,16.920311,16.891873,17.054063,16.628128,
387.9673,16.970232,16.757412,16.726162,16.973197,16.65625,
388.2488,16.844383,16.470174,16.998576,16.782199,16.438607,
388.5304,16.559019,16.324102,17.148129,16.547493,16.398204,
388.8120,16.498425,16.607689,16.949865,16.971223,16.965379,
389.0935,16.900452,16.39869,17.055949,16.98866,16.520918,
389.3751,17.3125,16.338668,16.75076,16.87576,16.223832,
389.6566,17.261478,16.299744,16.549105,16.674105,16.345667,
389.9382,17.001154,16.288341,16.344327,16.507668,16.757091,
390.2198,16.78564,16.388344,16.232094,16.495437,16.875,
390.5013,16.739215,16.302819,16.177267,16.508576,16.772674,
390.7829,16.723717,16.517919,16.570485,16.741763,16.643046,
391.0645,16.5739,17.120674,17.153501,16.794025,16.717376,
391.3460,16.5,17.320189,17.052976,16.896726,16.625,
391.6276,16.46941,17.268594,17.003299,16.93882,16.747361,
391.9091,16.420953,16.992624,16.909938,17.023923,16.875,
392.1907,16.530803,16.910587,17.111097,17.20963,16.892793,
392.4723,16.605966,16.899431,17.104544,17.326137,17.058524,
392.7538,16.59375,17.158776,17.05152,17.39527,17.196789,
393.0354,17.045244,17.269501,16.568006,17.255752,16.982253,
393.3169,17.09093,16.93186,16.548268,17.096603,16.875,
393.5985,16.863646,16.597009,16.792604,16.870953,16.851057,
393.8801,16.837657,16.53125,17.045007,17.114385,16.919221,
394.1616,16.764654,16.610346,16.988288,17.266596,16.832038,
394.4432,16.887841,16.955819,17.13416,17.28125,16.729795,
394.7248,16.819953,16.913703,17.15625,17.108655,16.71875,
395.0063,17.022205,16.90625,17.096334,16.854087,16.748708,
