,Live Spectrum 10-11-2023 10:08:46 - Spikes removed,Live Spectrum 10-11-2023 10:08:50 - Spikes removed,Live Spectrum 10-11-2023 10:08:51 - Spikes removed,Live Spectrum 10-11-2023 10:08:52 - Spikes removed,Live Spectrum 10-11-2023 10:08:54 - Spikes removed,Live Spectrum 10-11-2023 10:08:55 - Spikes removed,Live Spectrum 10-11-2023 10:08:56 - Spikes removed,Live Spectrum 10-11-2023 10:08:57 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
378.6758,17.238921,18.043372,18.210701,18.321591,18.044317,17.79536,17.841762,17.45161,
378.9573,17.328121,17.828127,18.140625,18.093754,18.468744,18.046868,17.890619,17.703118,
379.2389,17.725751,17.767133,18.10485,18.003017,18.618966,18.315517,18.436419,18.228768,
379.5204,18.291591,17.967614,18.099773,18.143068,18.692955,18.455568,18.942387,18.692387,
379.8020,18.732584,18.315218,18.306201,18.420084,18.982584,18.59165,18.892416,18.823617,
380.0836,18.714002,18.329377,18.903616,18.185257,19.09375,18.733123,18.910998,19.115244,
380.3651,18.864239,18.558568,18.986341,18.377898,19.324849,18.873689,18.668322,19.22689,
380.6467,19.085035,19.098856,19.158803,18.844249,19.111179,18.980018,18.587089,19.194161,
380.9282,19.177126,19.21875,19.427252,19.146002,18.718497,19.104251,18.906503,19.317814,
381.2098,19.325152,19.356402,20.074419,19.270091,19.096737,19.069939,19.161463,19.508933,
381.4914,19.401734,19.925853,20.272219,19.368227,19.591134,19.149477,19.1875,19.589234,
381.7729,19.497595,20.212336,20.189905,19.496793,19.807689,19.832486,19.583327,19.745991,
382.0545,19.626945,20.063148,20.119814,19.8125,19.77736,20.337916,20.005834,19.731067,
382.3360,19.710381,20.12095,19.889646,19.818777,19.627227,20.064592,20.24568,20.308315,
382.6176,19.671424,20.542367,20.114934,20.008638,20.157301,20.118464,19.792367,20.274714,
382.8992,20.589763,20.889889,20.291176,20.832352,20.676102,20.367094,20.209373,20.429045,
383.1807,21.034046,21.007089,20.401258,21.020567,20.832368,20.815995,20.822385,20.333766,
383.4623,21.484386,21.203114,20.687486,21.414046,21.000007,21.523418,21.406264,20.820304,
383.7439,21.519042,21.436009,21.004162,21.717259,21.118445,21.910412,21.357138,21.232728,
384.0254,22.1183,21.762603,21.503935,21.990676,21.731353,22.240021,21.847029,22.022582,
384.3070,22.46875,22.293801,22.188012,22.238217,22.1542,22.642417,22.288678,22.428278,
384.5885,22.482187,22.85281,22.606879,22.777797,22.5,23.111255,22.526874,22.906558,
384.8701,22.94487,23.262146,22.692777,23.543396,22.663119,23.11704,22.962883,23.342659,
385.1517,23.61587,23.867051,23.165697,23.840207,23.168059,23.492051,23.649482,23.914516,
385.4332,24.168367,24.502405,24.022117,23.996347,24.190194,24.268175,24.262117,24.529713,
385.7148,24.506693,25.185233,24.594856,24.453098,25.015598,25.230974,24.790155,25.033463,
385.9963,24.978744,25.650337,25.185106,25.29624,25.268862,25.969312,25.140906,25.257953,
386.2779,25.457497,25.802954,25.859427,25.851589,25.138866,26.230909,25.293409,25.507839,
386.5595,26.600304,26.71193,26.838431,26.813867,26.146428,27.172492,26.004369,25.89356,
386.8410,26.749018,27.690446,26.319317,27.344732,27.019543,27.670903,26.274415,26.170903,
387.1226,27.486102,28.622079,27.974328,28.076045,28.10942,28.182454,27.311704,27.120397,
387.4042,28.279605,28.564431,29.919837,28.245852,28.393807,28.335455,27.964888,27.88165,
387.6857,29.910642,29.640325,30.696569,29.188448,29.685952,29.538138,29.794395,29.049387,
387.9673,30.717387,31.089543,30.095113,29.90637,30.139944,30.340905,30.474799,29.513461,
388.2488,32.460049,32.617564,31.243988,31.8341,31.804115,31.494305,31.401662,30.930381,
388.5304,33.215269,32.765157,32.035891,32.694461,32.347306,31.406325,31.568301,31.453818,
388.8120,33.221445,33.976169,32.178507,32.89973,33.29204,32.278101,31.775628,32.717175,
389.0935,34.532757,34.225046,32.618947,33.353826,33.970257,33.2447,32.603826,33.270408,
389.3751,35.87576,35.52313,34.074707,34.664135,35.409813,35.300817,33.888726,34.872721,
389.6566,35.910084,36.488534,35.368007,35.397967,35.941334,35.811234,34.683051,35.535084,
389.9382,36.92464,38.028943,37.755938,36.349111,36.787188,36.903943,36.342019,36.219904,
390.2198,38.215568,38.755426,38.528068,36.991737,37.657803,37.83635,37.287539,36.353566,
390.5013,39.446628,39.696628,39.707965,37.696076,39.338781,39.535962,39.13192,37.432531,
390.7829,40.238115,40.499621,40.24478,39.275526,40.631161,40.406124,40.118082,38.828469,
391.0645,41.522598,41.637775,41.413122,41.548351,41.721701,40.921774,40.895052,40.377749,
391.3460,42.52525,42.245835,42.548811,41.788443,42.145736,41.616321,41.18016,41.067859,
391.6276,43.728107,43.488783,43.497361,42.845849,43.319877,42.356406,42.350468,41.809861,
391.9091,44.875145,44.875145,44.121409,44.228066,44.513004,43.079144,43.972631,42.797942,
392.1907,45.963074,45.802933,44.8294,44.839413,45.343303,43.771683,45.476084,43.98954,
392.4723,47.056258,46.660802,46.19234,45.935521,46.674727,44.896032,46.345459,45.644898,
392.7538,47.897796,47.043921,47.322625,47.426499,48.380887,45.673138,46.525342,46.743237,
393.0354,47.976501,48.977974,48.090243,47.650253,48.12251,47.512977,47.705983,47.906986,
393.3169,48.641953,49.920449,48.66189,48.062434,48.349357,48.15343,48.463044,48.352276,
393.5985,50.223137,50.871293,50.265741,49.064076,49.711783,49.14726,49.65659,49.636694,
393.8801,51.027514,51.458135,50.668436,49.891113,50.364385,49.946735,50.025157,50.660178,
394.1616,52.126885,52.691327,51.289019,51.955923,51.254827,51.117116,51.191327,51.814385,
394.4432,52.47791,53.319774,52.343571,52.119522,51.709501,51.919002,51.599228,52.192978,
394.7248,54.024585,54.036612,54.482353,53.100551,53.303351,53.323225,53.552305,53.139254,
395.0063,54.455828,54.09375,54.686208,54.625477,53.707121,54.096573,54.55757,54.087528,
395.2879,55.185075,56.367303,54.905512,56.618463,54.497364,55.121626,54.656039,55.495361,
395.5694,55.51178,56.848053,55.468697,55.558197,55.21434,55.134682,54.235908,54.476227,
395.8510,56.766032,56.964247,56.327989,55.475776,56.798719,55.455784,55.663548,55.661568,
396.1326,57.481082,57.049974,56.2961,56.067988,56.27008,56.206676,56.59672,57.036738,
396.4141,58.334576,58.200402,57.797591,56.879587,56.889333,57.18922,56.90711,57.866686,
396.6957,58.396188,58.208688,58.581172,57.141873,58.079741,57.706172,57.312132,58.132179,
396.9772,58.864842,59.050015,59.087624,58.360034,58.287376,58.34375,58.322658,58.504808,
397.2588,58.911962,60.146296,59.164383,59.282719,58.951262,58.786527,58.589507,58.07202,
397.5404,59.523916,59.827168,60.433725,59.874892,59.558833,59.667143,58.974277,59.128721,
397.8219,59.790578,59.655496,59.997989,59.26966,59.810992,59.142399,59.155496,59.4375,
398.1035,60.073966,59.935479,60.213346,59.619831,60.153102,60.584774,59.34375,59.506297,
398.3851,60.496762,60.509357,60.096574,59.756532,60.257474,62.047139,59.734168,60.242113,
398.6666,61.134901,61.166151,61.054039,60.141705,60.390265,62.060341,60.724006,60.909347,
398.9482,61.454518,61.42643,61.428991,60.933358,60.620858,61.367093,61.472515,60.430572,
399.2297,61.654321,61.767876,61.392876,60.945087,61.206662,61.722608,61.511445,60.537038,
399.5113,62.295801,62.062589,61.568214,61.074105,61.579642,62.076785,61.380714,61.699282,
399.7929,62.688387,61.982732,61.96995,61.736018,61.495827,61.419919,61.074395,62.038085,
400.0744,62.261725,62.13978,61.525687,61.867746,61.3125,60.612729,61.274542,61.307209,
400.3560,61.931005,62.364093,61.439582,61.335173,61.109069,60.753553,60.606376,60.868505,
400.6375,60.943725,61.539262,60.33925,60.826779,61.042858,61.270546,60.715196,60.224092,
400.9191,60.373679,60.908639,60.155181,60.493649,60.92744,60.694668,60.279678,60.328911,
401.2007,59.699269,60.52947,59.463411,60.12322,60.615556,59.887363,60.330201,60.46875,
401.4822,59.080842,59.549872,59.1875,60.006594,60.358656,59.866688,59.69781,59.186621,
401.7638,58.248542,59.081005,60.036316,59.69134,59.489405,59.649033,60.040156,59.846897,
402.0453,57.825931,58.147447,58.772526,58.714415,58.964335,59.245585,59.861649,59.660771,
402.3269,56.556423,57.220564,57.97451,57.977923,57.653586,57.656466,58.392814,58.619456,
402.6085,56.897327,56.951679,58.079571,57.848476,56.604506,56.486595,57.641012,57.893375,
402.8900,56.039549,55.740232,56.926414,56.766209,55.543504,56.58584,56.845458,56.706346,
403.1716,55.039888,55.6875,56.255573,56.50195,55.623885,57.151234,57.060271,56.19168,
403.4532,55.011599,55.097791,56.113663,56.135844,55.302675,56.30596,56.450611,54.106105,
403.7347,54.124141,53.975009,55.575921,55.173264,54.865193,54.752689,55.600935,53.34375,
404.0163,52.621495,53.509124,54.266856,52.877809,54.218402,54.289678,53.667487,53.377461,
404.2978,53.211093,52.807958,54.284365,52.86031,54.393429,54.309918,53.631943,53.60007,
404.5794,53.030348,51.627196,53.110022,52.468299,53.236766,53.746902,52.46081,52.643467,
404.8610,52.080439,51.287358,52.365676,51.885095,52.019932,52.996399,51.876993,51.828446,
405.1425,50.855237,50.383461,50.859066,50.679224,50.75,51.859869,51.626606,50.771369,
405.4241,50.397564,49.764544,50.319522,49.842419,50.608626,50.990815,50.637714,50.475772,
405.7056,49.879706,49.120858,49.848456,49.129142,49.992847,50.192206,48.87613,49.90738,
405.9872,49.369851,48.539418,49.564844,49.022017,49.195064,49.554474,48.228054,49.229794,
406.2688,48.287226,47.522852,49.028828,48.236677,48.509609,48.161015,47.380976,48.361757,
406.5503,47.543339,47.247429,48.422487,46.819156,48.150174,47.320442,46.731482,47.923772,
406.8319,46.495908,46.637773,47.395089,45.491567,47.382316,46.393477,45.954613,47.360863,
407.1135,45.490449,46.257746,46.334199,44.958987,46.247983,46.058945,45.596402,46.315576,
407.3950,44.341921,45.220611,45.376839,44.306992,45.044126,45.465082,45.075376,44.610316,
407.6766,43.62383,43.779144,44.591878,43.764728,44.154612,44.529456,44.499142,43.107074,
407.9581,43.089779,43.253237,43.660955,43.422868,43.450147,43.446909,43.690953,42.154264,
408.2397,42.433987,43.285318,42.604105,42.31324,42.703588,43.002034,43.035318,41.843935,
408.5213,41.931729,42.464396,41.536042,41.196865,42.13774,42.499021,42.973323,41.458406,
408.8028,40.622596,41.039336,40.931163,40.622815,41.736014,41.362981,42.167832,41.324301,
409.0844,39.639917,40.3152,40.922583,40.4973,41.357317,40.599151,41.400784,41.006751,
409.3659,39.360752,39.141761,39.965636,39.880507,40.641881,39.360511,39.810702,40.502753,
409.6475,39.03665,38.3804,39.22415,39.117772,40.121386,38.421259,38.502381,40.076913,
409.9291,37.687098,37.540271,38.453488,38.173366,38.804004,37.555332,38.064755,39.18146,
410.2106,37.22593,37.521949,37.352234,38.00253,38.254651,37.40878,37.90372,38.761831,
410.4922,36.943978,36.619559,37.268605,36.507515,37.144641,36.713101,37.475332,37.319911,
