,Live Spectrum 26-10-2023 13:26:59,Live Spectrum 26-10-2023 13:27:01,Live Spectrum 26-10-2023 13:27:02,Live Spectrum 26-10-2023 13:27:03,Live Spectrum 26-10-2023 13:27:04,Live Spectrum 26-10-2023 13:27:04,Live Spectrum 26-10-2023 13:27:05,Live Spectrum 26-10-2023 13:27:05,Live Spectrum 26-10-2023 13:27:05,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:08,Live Spectrum 26-10-2023 13:27:08,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
368.2580,17.065171,17.171207,16.713409,16.745994,16.796207,16.939105,16.939105,16.994659,16.994659,16.96875,16.96875,16.729702,16.729702,17.024574,17.024574,17.050213,17.050213,17.415866,17.415866,
368.5395,17.233207,16.99394,16.701957,16.584112,16.78125,16.588931,16.588931,16.802862,16.802862,17.022853,17.022853,16.733207,16.733207,16.694655,16.694655,17.125,17.125,17.136974,17.136974,
368.8211,17.17411,16.77615,17.05803,16.57079,16.74171,16.54273,16.54273,16.67092,16.67092,17.08227,17.08227,16.77296,16.77296,16.7602,16.7602,16.98661,16.98661,17.07079,17.07079,
369.1027,16.706764,16.632753,17.541239,16.636748,16.761748,16.574248,16.574248,16.861492,16.861492,17.09375,17.09375,16.664003,16.664003,17.046994,17.046994,16.820253,16.820253,17.136748,17.136748,
369.3842,16.879583,17.360082,16.828279,16.818805,16.409695,16.80275,16.80275,16.852639,16.852639,16.861528,16.861528,16.764333,16.764333,17.055333,17.055333,16.897361,16.897361,17.295583,17.295583,
369.6658,17.399022,17.450428,16.581128,16.999694,16.455822,16.825122,16.825122,16.937194,16.937194,16.930883,16.930883,16.912255,16.912255,17.131005,17.131005,17.186889,17.186889,17.393628,17.393628,
369.9473,17.633246,17.166407,16.806944,17.164496,16.87309,16.865799,16.865799,17.128646,17.128646,17.261892,17.261892,16.9375,16.9375,17.15625,17.15625,17.569791,17.569791,17.566146,17.566146,
370.2289,17.372716,17.03994,16.75869,17.130793,16.9375,17.130181,17.130181,17.326371,17.326371,17.340853,17.340853,16.909147,16.909147,17.127897,17.127897,17.511586,17.511586,17.650457,17.650457,
370.5105,17.043237,16.790839,16.629795,16.854538,16.907449,17.456763,17.456763,17.193493,17.193493,17.223545,17.223545,17.026455,17.026455,16.794435,16.794435,16.959076,16.959076,17.445891,17.445891,
370.7920,17.437993,16.816936,16.663644,16.65625,16.71875,17.622535,17.622535,16.965793,16.965793,17.282236,17.282236,17.219736,17.219736,16.624014,16.624014,16.631408,16.631408,17.248521,17.248521,
371.0736,17.446969,17.106818,17.144603,16.664962,16.716572,17.453504,17.453504,16.768182,16.768182,17.352462,17.352462,17.294318,17.294318,16.566856,16.566856,17.044318,17.044318,17.169318,17.169318,
371.3552,17.171678,17.285107,17.429392,16.862247,16.729927,17.234572,17.234572,16.651605,16.651605,17.46875,17.46875,17.434037,17.434037,16.601858,16.601858,17.238035,17.238035,17.289752,17.289752,
371.6367,17.28678,17.268262,17.527393,17.420911,17.020191,17.136059,17.136059,17.012733,17.012733,17.430042,17.430042,17.159851,17.159851,16.454089,16.454089,17.347351,17.347351,16.928369,16.928369,
371.9183,17.326893,16.961752,17.139591,17.293376,16.96875,17.194696,17.194696,16.687699,16.687699,17.199626,17.199626,17.009661,17.009661,16.660783,16.660783,17.146787,17.146787,17.038446,17.038446,
372.1998,17.40157,16.669283,16.875,17.107287,17.02189,17.156754,17.156754,16.463566,16.463566,16.97811,16.97811,16.981783,16.981783,17.12032,17.12032,16.897393,16.897393,17.080213,17.080213,
372.4814,17.395174,16.707674,16.822446,17.009946,17.208804,17.010511,17.010511,16.698011,16.698011,16.749153,16.749153,17.188347,17.188347,17.208522,17.208522,16.917043,16.917043,17.082957,17.082957,
372.7630,17.177047,16.416594,16.657956,16.833297,17.300341,17.104203,17.104203,16.828179,16.828179,16.647612,16.647612,17.399318,17.399318,17.201365,17.201365,17.097271,17.097271,17.048635,17.048635,
373.0445,17.021098,16.159899,16.452094,16.746351,17.157044,17.342956,17.342956,16.861993,16.861993,16.767449,16.767449,17.340895,17.340895,17.055997,17.055997,17.263801,17.263801,17.249206,17.249206,
373.3261,17.045932,16.310237,16.389682,16.812123,16.891945,17.669801,17.669801,16.625754,16.625754,16.811746,16.811746,17.141568,17.141568,16.829822,16.829822,17.342996,17.342996,17.40625,17.40625,
373.6076,16.971406,16.619462,16.844203,17.065608,16.764184,17.109911,17.109911,16.886754,16.886754,16.61901,16.61901,16.925972,16.925972,16.875226,16.875226,17.40625,17.40625,17.372118,17.372118,
373.8892,16.918508,16.662681,17.231008,17.23131,16.712621,16.985927,16.985927,17.15625,17.15625,16.350181,16.350181,16.83119,16.83119,16.881734,16.881734,17.294113,17.294113,17.212923,17.212923,
374.1708,17.049978,16.828069,17.342171,17.076602,16.728114,17.515569,17.515569,17.095329,17.095329,16.515569,16.515569,16.924978,16.924978,16.760943,16.760943,17.178136,17.178136,17.104693,17.104693,
374.4523,17.203341,17.222436,17.331164,17.065754,16.925345,17.252391,17.252391,17.259763,17.259763,16.646918,16.646918,17.078341,17.078341,16.881509,16.881509,17.068577,17.068577,17.071832,17.071832,
374.7339,17.32057,17.508413,17.3125,17.258413,17.376373,17.046703,17.046703,17.531937,17.531937,16.985577,16.985577,17.242617,17.242617,17.21978,17.21978,17.337053,17.337053,17.368303,17.368303,
375.0155,17.34375,17.235908,17.287378,17.262255,17.650735,17.533699,17.533699,17.618872,17.618872,16.943015,16.943015,17.431985,17.431985,17.387867,17.387867,17.713847,17.713847,17.418505,17.418505,
375.2970,17.290319,16.86238,17.094242,17.169854,17.447061,17.549388,17.549388,17.384561,17.384561,17.013112,17.013112,17.629043,17.629043,17.326104,17.326104,18.021689,18.021689,17.245957,17.245957,
