,Live Spectrum 26-10-2023 13:29:46,Live Spectrum 26-10-2023 13:29:48,Live Spectrum 26-10-2023 13:29:49,Live Spectrum 26-10-2023 13:29:49,Live Spectrum 26-10-2023 13:29:49,Live Spectrum 26-10-2023 13:29:50,Live Spectrum 26-10-2023 13:29:50,Live Spectrum 26-10-2023 13:29:50,Live Spectrum 26-10-2023 13:29:50,Live Spectrum 26-10-2023 13:29:51,Live Spectrum 26-10-2023 13:29:51,Live Spectrum 26-10-2023 13:29:51,Live Spectrum 26-10-2023 13:29:51,Live Spectrum 26-10-2023 13:29:52,Live Spectrum 26-10-2023 13:29:52,Live Spectrum 26-10-2023 13:29:52,Live Spectrum 26-10-2023 13:29:52,Live Spectrum 26-10-2023 13:29:53,Live Spectrum 26-10-2023 13:29:53,Live Spectrum 26-10-2023 13:29:53,Live Spectrum 26-10-2023 13:29:53,Live Spectrum 26-10-2023 13:29:53,Live Spectrum 26-10-2023 13:29:54,Live Spectrum 26-10-2023 13:29:54,Live Spectrum 26-10-2023 13:29:54,Live Spectrum 26-10-2023 13:29:54,Live Spectrum 26-10-2023 13:29:55,Live Spectrum 26-10-2023 13:29:55,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
365.7239,16.624339,17,16.780259,16.780259,16.777285,16.777285,16.438822,16.438822,16.87533,16.87533,16.87533,16.626983,16.626983,16.657572,16.657572,16.657572,16.969411,16.969411,17.216437,17.216437,16.379296,16.379296,16.379296,16.028937,16.028937,16.314813,16.314813,16.594411,
366.0055,16.573148,16.974446,16.696018,16.696018,16.40412,16.40412,16.594443,16.594443,16.90838,16.90838,16.90838,16.827407,16.827407,16.776991,16.776991,16.776991,17.037639,17.037639,16.993611,16.993611,16.78125,16.78125,16.78125,15.823148,15.823148,16.544027,16.544027,16.671157,
366.2870,16.761894,16.601467,16.816422,16.816422,16.390689,16.390689,17.003794,17.003794,16.9375,16.9375,16.9375,17.011639,17.011639,16.722672,16.722672,16.722672,17.109311,17.109311,16.867028,16.867028,16.765561,16.765561,16.765561,16.019739,16.019739,16.71875,16.71875,16.898533,
366.5686,17.079626,16.466043,16.889418,16.889418,16.568502,16.568502,16.783957,16.783957,16.914666,16.914666,16.914666,16.795081,16.795081,16.755709,16.755709,16.755709,17.022834,17.022834,16.519539,16.519539,16.576331,16.576331,16.576331,16.357874,16.357874,16.724459,16.724459,16.999706,
366.8502,17.178715,16.661146,17.146169,17.146169,16.942396,16.942396,16.626296,16.626296,16.782546,16.782546,16.782546,16.422523,16.422523,16.826181,16.826181,16.826181,17.110023,17.110023,16.1875,16.1875,16.1214,16.1214,16.1214,16.213854,16.213854,16.742512,16.742512,16.583958,
367.1317,17.20369,16.699023,17.145785,17.145785,17.119202,17.119202,16.457154,16.457154,16.706024,16.706024,16.706024,16.504668,16.504668,16.811297,16.811297,16.811297,17.081024,17.081024,16.14119,16.14119,15.960692,15.960692,15.960692,16.037048,16.037048,16.607606,16.607606,16.322965,
367.4133,16.972429,16.259192,16.827204,16.827204,16.987133,16.987133,16.402571,16.402571,16.75,16.75,16.75,16.977937,16.977937,16.536762,16.536762,16.536762,17.113971,17.113971,16.086396,16.086396,16.400733,16.400733,16.400733,16.158087,16.158087,16.409925,16.409925,16.762867,
367.6949,16.76279,16.2827,17.00712,17.00712,16.91904,16.91904,16.63779,16.63779,16.68605,16.68605,16.68605,17.29404,17.29404,16.80828,16.80828,16.80828,17.0298,17.0298,16.26424,16.26424,16.63924,16.63924,16.63924,16.26991,16.26991,16.56962,16.56962,16.80538,
367.9764,16.897606,16.404089,16.989778,16.989778,17.010222,17.010222,16.670794,16.670794,16.608294,16.608294,16.608294,17.254322,17.254322,16.922956,16.922956,16.922956,16.981133,16.981133,16.433178,16.433178,16.764544,16.764544,16.764544,16.358294,16.358294,16.857712,16.857712,16.735456,
368.2580,17.259347,16.502671,16.792202,16.792202,17.175213,17.175213,16.573452,16.573452,16.625,16.625,16.625,16.991988,16.991988,16.824787,16.824787,16.824787,16.982372,16.982372,16.451122,16.451122,16.813835,16.813835,16.813835,16.391293,16.391293,17.043537,17.043537,16.539531,
368.5395,17.360543,16.544466,16.723569,16.723569,17.268034,17.268034,16.414647,16.414647,16.733207,16.733207,16.733207,16.686259,16.686259,16.659828,16.659828,16.659828,16.847328,16.847328,16.370181,16.370181,16.771612,16.771612,16.771612,16.424284,16.424284,16.932681,16.932681,16.284828,
368.8211,17.04401,16.51148,16.76977,16.76977,17.1824,17.1824,16.49362,16.49362,16.65434,16.65434,16.65434,16.63329,16.63329,16.63329,16.63329,16.63329,16.58355,16.58355,16.2449,16.2449,16.67921,16.67921,16.67921,16.65497,16.65497,16.43177,16.43177,16.19898,
369.1027,16.562262,16.328006,16.824248,16.824248,16.996005,16.996005,16.648497,16.648497,16.605498,16.605498,16.605498,16.785245,16.785245,16.720748,16.720748,16.720748,16.210759,16.210759,16.294996,16.294996,16.570253,16.570253,16.570253,16.867247,16.867247,16.070253,16.070253,16.294996,
369.3842,17.311916,16.575111,16.727639,16.727639,16.9375,16.9375,16.710722,16.710722,16.810778,16.810778,16.810778,16.84375,16.84375,16.680333,16.680333,16.680333,16.790416,16.790416,16.204417,16.204417,16.856361,16.856361,16.856361,16.511473,16.511473,16.635027,16.635027,16.018639,
369.6658,17.500306,16.712439,16.986766,16.986766,16.987378,16.987378,16.71875,16.71875,16.999694,16.999694,16.999694,16.84375,16.84375,16.706128,16.706128,16.706128,17.03125,17.03125,16.206128,16.206128,16.868995,16.868995,16.868995,16.449817,16.449817,16.719056,16.719056,16.006005,
369.9473,17.148959,16.772049,16.955903,16.955903,16.893403,16.893403,16.798698,16.798698,17.164496,17.164496,17.164496,16.923698,16.923698,16.665451,16.665451,16.665451,16.871354,16.871354,16.618489,16.618489,16.950347,16.950347,16.950347,16.522049,16.522049,16.740799,16.740799,16.564236,
370.2289,16.696802,16.752897,16.653966,16.653966,16.903353,16.903353,16.8125,16.8125,17.159147,17.159147,17.159147,16.880793,16.880793,16.74131,16.74131,16.74131,16.815397,16.815397,16.885974,16.885974,17.138871,17.138871,17.138871,16.361129,16.361129,16.920121,16.920121,16.457776,
370.5105,16.626199,16.900257,16.474743,16.474743,16.876199,16.876199,16.602141,16.602141,16.975942,16.975942,16.975942,16.604538,16.604538,16.930308,16.930308,16.930308,16.782449,16.782449,16.816096,16.816096,16.825685,16.825685,16.825685,16.584161,16.584161,16.967551,16.967551,16.677911,
370.7920,16.717271,16.904771,16.812993,16.812993,16.806585,16.806585,16.500493,16.500493,16.9375,16.9375,16.9375,16.595229,16.595229,16.875493,16.875493,16.875493,16.689965,16.689965,16.8403,16.8403,16.808557,16.808557,16.808557,16.930599,16.930599,17.053628,17.053628,16.661672,
371.0736,16.644603,16.819034,16.828504,16.828504,16.424432,16.424432,16.555209,16.555209,16.950568,16.950568,16.950568,16.69839,16.69839,16.901894,16.901894,16.901894,16.835038,16.835038,16.631534,16.631534,16.55161,16.55161,16.55161,16.5,16.5,16.491288,16.491288,17.028315,
371.3552,16.90625,16.863823,16.590287,16.590287,16.230715,16.230715,16.859572,16.859572,17.113429,17.113429,17.113429,16.839893,16.839893,16.847607,16.847607,16.847607,16.726464,16.726464,16.645467,16.645467,16.456391,16.456391,16.456391,16.457573,16.457573,16.390428,16.390428,17.317539,
371.6367,16.862012,16.579089,16.34928,16.34928,16.121399,16.121399,16.727881,16.727881,16.992542,16.992542,16.992542,16.80697,16.80697,16.847351,16.847351,16.847351,16.703834,16.703834,16.185827,16.185827,16.801441,16.801441,16.801441,16.167309,16.167309,16.516589,16.516589,16.720678,
371.9183,16.692231,16.706624,16.324626,16.324626,16.401121,16.401121,16.502664,16.502664,16.819696,16.819696,16.819696,16.730876,16.730876,16.790713,16.790713,16.790713,16.350946,16.350946,16.454357,16.454357,16.699626,16.699626,16.699626,16.240339,16.240339,16.550572,16.550572,16.860607,
372.1998,16.856783,16.910426,16.235959,16.235959,16.941676,16.941676,16.076037,16.076037,16.799467,16.799467,16.799467,16.50936,16.50936,17.146386,17.146386,17.146386,16.481279,16.481279,16.344254,16.344254,16.398401,16.398401,16.398401,16.321357,16.321357,16.370824,16.370824,16.75936,
372.4814,17.010793,16.978978,16.469032,16.469032,16.989207,16.989207,16.052272,16.052272,16.719032,16.719032,16.719032,16.396022,16.396022,17.395457,17.395457,17.395457,16.676424,16.676424,16.292608,16.292608,16.125565,16.125565,16.125565,16.312218,16.312218,16.15512,16.15512,16.625,
372.7630,17.105909,16.840229,16.494774,16.494774,16.881932,16.881932,16.166703,16.166703,16.817726,16.817726,16.817726,16.559088,16.559088,17.093641,17.093641,17.093641,16.336709,16.336709,16.548635,16.548635,16.274318,16.274318,16.274318,16.237841,16.237841,15.833297,15.833297,16.8317,
373.0445,17.069797,16.452888,16.271892,16.271892,16.816149,16.816149,16.143243,16.143243,16.68179,16.68179,16.68179,16.901808,16.901808,16.598192,16.598192,16.598192,16.141656,16.141656,16.542196,16.542196,16.560912,16.560912,16.560912,16.080743,16.080743,15.815355,15.815355,17.114848,
373.3261,16.78389,16.063631,16.139682,16.139682,16.873869,16.873869,16.030496,16.030496,16.483809,16.483809,16.483809,17.201805,17.201805,16.514305,16.514305,16.514305,16.682597,16.682597,16.22139,16.22139,17.029364,17.029364,17.029364,15.782759,15.782759,16.076428,16.076428,16.738335,
373.6076,16.64783,16.122344,16.491806,16.491806,16.934618,16.934618,16.110816,16.110816,16.906703,16.906703,16.906703,16.749321,16.749321,16.642066,16.642066,16.642066,17.076684,17.076684,16.238924,16.238924,16.743783,16.743783,16.743783,16.134099,16.134099,16.167552,16.167552,16.116128,
373.8892,16.756129,16.212621,16.550544,16.550544,16.90625,16.90625,16.237137,16.237137,16.975786,16.975786,16.975786,16.393387,16.393387,16.600181,16.600181,16.600181,17.04381,17.04381,16.381431,16.381431,16.412379,16.412379,16.412379,16.437802,16.437802,16.162379,16.162379,15.949758,
374.1708,16.862478,16.349955,16.376579,16.376579,16.967171,16.967171,16.353114,16.353114,16.8125,16.8125,16.8125,16.834274,16.834274,16.521886,16.521886,16.521886,17.132784,17.132784,16.221909,16.221909,16.518728,16.518728,16.518728,16.395307,16.395307,16.268728,16.268728,16.121841,
374.4523,16.884332,16.525173,16.321832,16.321832,16.956164,16.956164,16.440754,16.440754,16.702909,16.702909,16.702909,17.075086,17.075086,16.565754,16.565754,16.565754,17.253254,17.253254,16.287759,16.287759,16.606336,16.606336,16.606336,16.40625,16.40625,16.400173,16.400173,16.231336,
374.7339,16.851477,16.5625,16.500687,16.500687,17.196257,17.196257,16.46875,16.46875,16.891483,16.891483,16.891483,17.046703,17.046703,16.899553,16.899553,16.899553,17.398867,17.398867,16.55546,16.55546,16.577953,16.577953,16.577953,16.876717,16.876717,16.50807,16.50807,16.273523,
375.0155,16.94424,16.688112,16.688112,16.688112,17.205883,17.205883,16.493872,16.493872,17.119485,17.119485,17.119485,16.83027,16.83027,17.025122,17.025122,17.025122,17.311888,17.311888,16.901347,16.901347,16.487133,16.487133,16.487133,17.056372,17.056372,16.405638,16.405638,16.406862,
375.2970,17.129043,16.585173,16.825612,16.825612,16.89363,16.89363,16.580146,16.580146,17.396689,17.396689,17.396689,16.647673,16.647673,16.897673,16.897673,16.897673,17.147673,17.147673,16.96875,16.96875,16.46875,16.46875,16.46875,16.822061,16.822061,16.348285,16.348285,16.384069,
375.5786,17.241157,16.44929,16.900355,16.900355,16.787145,16.787145,16.650355,16.650355,17.4375,17.4375,17.4375,16.625,16.625,16.733488,16.733488,16.733488,17.068395,17.068395,16.912145,16.912145,16.497052,16.497052,16.497052,16.526528,16.526528,16.287145,16.287145,16.48821,
375.8601,17.040816,16.766217,16.667183,16.667183,16.572066,16.572066,15.819515,15.819515,16.630649,16.630649,16.630649,17.133018,17.133018,16.330266,16.330266,16.330266,17.182034,17.182034,16.90625,16.90625,16.709184,16.709184,16.709184,17.366618,17.366618,16.878918,16.878918,16.559767,
376.1417,17.251249,16.781875,16.971665,16.971665,16.813333,16.813333,16.066248,16.066248,16.626249,16.626249,16.626249,16.843958,16.843958,16.563541,16.563541,16.563541,16.998542,16.998542,16.561251,16.561251,16.845624,16.845624,16.845624,17.185418,17.185418,16.656042,16.656042,16.593125,
376.4233,17.44283,16.871446,17.393812,17.393812,16.93217,16.93217,16.633884,16.633884,16.814277,16.814277,16.814277,16.898099,16.898099,16.722304,16.722304,16.722304,16.790134,16.790134,16.371446,16.371446,17.112562,17.112562,17.112562,16.857232,16.857232,16.625,16.625,16.478678,
376.7048,17.497856,16.802482,17.140748,17.140748,16.803677,16.803677,16.791268,16.791268,16.833732,16.833732,16.833732,17.271232,17.271232,16.804626,16.804626,16.804626,16.914124,16.914124,16.339215,16.339215,16.866177,16.866177,16.866177,16.569179,16.569179,16.655055,16.655055,16.158394,
376.9864,17.199166,16.713854,16.730416,16.730416,16.458958,16.458958,16.904376,16.904376,16.730416,16.730416,16.730416,17.099373,17.099373,16.97552,16.97552,16.97552,16.733438,16.733438,16.572292,16.572292,16.526354,16.526354,16.526354,16.659272,16.659272,16.945418,16.945418,16.41302,
377.2679,17.055071,16.655267,16.637893,16.637893,16.457822,16.457822,17.049607,17.049607,16.592767,16.592767,16.592767,16.573428,16.573428,16.830857,16.830857,16.830857,16.767374,16.767374,16.60566,16.60566,16.577358,16.577358,16.577358,16.888876,16.888876,17.15625,17.15625,16.345715,
377.5495,16.898259,16.53125,16.775402,16.775402,16.712188,16.712188,16.976027,16.976027,16.484732,16.484732,16.484732,16.406964,16.406964,16.757277,16.757277,16.757277,16.545803,16.545803,16.491294,16.491294,16.94692,16.94692,16.94692,17.054509,17.054509,17.116294,17.116294,16.633706,
377.8311,16.989357,16.52172,17.107488,17.107488,16.741584,16.741584,16.601299,16.601299,16.569369,16.569369,16.569369,16.652475,16.652475,16.725619,16.725619,16.725619,16.39672,16.39672,16.460767,16.460767,16.975186,16.975186,16.975186,17.097958,17.097958,16.752228,16.752228,16.873886,
378.1126,17.183626,16.533187,17.137439,17.137439,16.481749,16.481749,15.983686,15.983686,16.623063,16.623063,16.623063,16.933626,16.933626,16.801438,16.801438,16.801438,16.452436,16.452436,16.678375,16.678375,16.584625,16.584625,16.584625,17.095127,17.095127,16.264936,16.264936,17.078814,
378.3942,16.961788,16.669284,16.812055,16.812055,16.600267,16.600267,16.301246,16.301246,16.612856,16.612856,16.612856,16.8125,16.8125,16.768661,16.768661,16.768661,16.694462,16.694462,16.693572,16.693572,16.738301,16.738301,16.738301,16.674021,16.674021,16.418839,16.418839,16.824199,
378.6758,16.84072,16.80947,16.74697,16.74697,16.755018,16.755018,16.661268,16.661268,16.743939,16.743939,16.743939,16.78428,16.78428,16.75,16.75,16.75,16.759091,16.759091,16.585701,16.585701,16.976799,16.976799,16.976799,16.49697,16.49697,16.42339,16.42339,16.65625,
378.9573,16.906249,16.828125,16.999994,16.999994,16.859375,16.859375,16.95312,16.95312,16.921872,16.921872,16.921872,16.796874,16.796874,16.812498,16.812498,16.812498,16.703124,16.703124,16.453126,16.453126,17.078125,17.078125,17.078125,16.671871,16.671871,16.484373,16.484373,16.765622,
379.2389,16.971767,17.000968,17.201617,17.201617,16.740949,16.740949,17.142133,17.142133,17.014117,17.014117,17.014117,16.860883,16.860883,16.977801,16.977801,16.977801,17.007001,17.007001,16.45765,16.45765,17.128017,17.128017,17.128017,16.915301,16.915301,16.579633,16.579633,16.977801,
379.5204,17.037273,17.081704,17.038409,17.038409,16.637614,16.637614,17.174886,17.174886,17.055909,17.055909,17.055909,16.688636,16.688636,17.155682,17.155682,17.155682,16.864659,16.864659,16.742273,16.742273,16.802159,16.802159,16.802159,16.795,16.795,16.705568,16.705568,16.987954,
379.8020,16.981966,17.313118,16.9375,16.9375,16.544466,16.544466,17.268034,17.268034,17.174284,17.174284,17.174284,16.421566,16.421566,17.259017,17.259017,17.259017,16.544466,16.544466,17.147851,17.147851,16.461833,16.461833,16.461833,16.636117,16.636117,16.861784,16.861784,16.8771,
380.0836,16.872626,17.360627,16.915875,16.915875,16.954116,16.954116,16.880008,16.880008,17.110627,17.110627,17.110627,16.62487,16.62487,17.108253,17.108253,17.108253,16.521625,16.521625,17.04338,17.04338,16.557622,16.557622,16.557622,16.668249,16.668249,16.863001,16.863001,16.519381,
380.3651,16.84375,17.28939,16.92936,16.92936,17.08692,17.08692,16.73372,16.73372,16.877621,16.877621,16.877621,16.634451,16.634451,16.892591,16.892591,16.892591,16.739239,16.739239,16.729511,16.729511,16.717439,16.717439,16.717439,16.964818,16.964818,16.82064,16.82064,16.35189,
380.6467,16.868339,17.133715,17.011268,17.011268,16.865786,16.865786,16.75,16.75,16.591197,16.591197,16.591197,16.569161,16.569161,16.548679,16.548679,16.548679,17.402642,17.402642,16.434947,16.434947,16.848357,16.848357,16.848357,17.087089,17.087089,16.935446,16.935446,16.491285,
380.9282,16.901063,17.041624,17.005187,17.005187,16.734312,16.734312,16.854251,16.854251,16.635501,16.635501,16.635501,16.771002,16.771002,16.546938,16.546938,16.546938,17.484312,17.484312,16.479251,16.479251,16.692561,16.692561,16.692561,16.885248,16.885248,17.020876,17.020876,16.635501,
381.2098,16.796128,16.838537,16.917409,16.917409,16.801341,16.801341,16.875,16.875,16.904024,16.904024,16.904024,17.060274,17.060274,16.727683,16.727683,16.727683,16.945672,16.945672,16.665183,16.665183,16.573659,16.573659,16.573659,16.81622,16.81622,16.976189,16.976189,16.821433,
