,Live Spectrum 26-10-2023 13:35:46,Live Spectrum 26-10-2023 13:35:48,Live Spectrum 26-10-2023 13:35:48,Live Spectrum 26-10-2023 13:35:48,Live Spectrum 26-10-2023 13:35:49,Live Spectrum 26-10-2023 13:35:49,Live Spectrum 26-10-2023 13:35:49,Live Spectrum 26-10-2023 13:35:49,Live Spectrum 26-10-2023 13:35:50,Live Spectrum 26-10-2023 13:35:50,Live Spectrum 26-10-2023 13:35:50,Live Spectrum 26-10-2023 13:35:50,Live Spectrum 26-10-2023 13:35:51,Live Spectrum 26-10-2023 13:35:51,Live Spectrum 26-10-2023 13:35:51,Live Spectrum 26-10-2023 13:35:51,Live Spectrum 26-10-2023 13:35:52,Live Spectrum 26-10-2023 13:35:52,Live Spectrum 26-10-2023 13:35:52,Live Spectrum 26-10-2023 13:35:52,Live Spectrum 26-10-2023 13:35:53,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,17.34375,16.875,16.59375,16.625,16.625,16.625,17.0625,17.0625,16.53125,16.53125,17.125,17.125,16.78125,16.78125,16.78125,17,17,16.96875,16.96875,17.125,17.125,
361.2189,17.33611,16.61736,16.69705,16.61927,16.61927,16.61927,16.848261,16.848261,16.20347,16.20347,17.0625,17.0625,17.030031,17.030031,17.030031,16.74618,16.74618,17.00191,17.00191,17.197741,17.197741,
361.5005,17.203497,16.515253,16.839937,16.538877,16.538877,16.538877,16.429873,16.429873,15.961123,15.961123,17.058687,17.058687,16.47405,16.47405,16.47405,16.660807,16.660807,17.038877,17.038877,16.821614,16.821614,
361.7821,17.042359,16.64213,16.82392,16.57662,16.57662,16.57662,16.443521,16.443521,15.957641,15.957641,17.03125,17.03125,16.07392,16.07392,16.07392,16.48017,16.48017,17.07662,17.07662,16.44892,16.44892,
362.0636,16.8125,16.72635,16.859799,16.484799,16.484799,16.484799,16.780401,16.780401,16.240702,16.240702,17.061651,17.061651,16.277006,16.277006,16.277006,16.52365,16.52365,16.969599,16.969599,16.5076,16.5076,
362.3452,16.850436,16.712064,16.8125,16.4375,16.4375,16.4375,16.931904,16.931904,16.425218,16.425218,17.118314,17.118314,16.816388,16.816388,16.816388,16.661227,16.661227,16.865516,16.865516,16.540734,16.540734,
362.6267,16.982944,16.545472,16.801139,16.448861,16.448861,16.448861,17.107944,17.107944,16.3665,16.3665,17.03125,17.03125,16.855139,16.855139,16.855139,17.008528,17.008528,16.764222,16.764222,16.5625,16.5625,
362.9083,16.811098,16.538567,16.966493,16.349665,16.349665,16.349665,16.618538,16.618538,16.041952,16.041952,16.87247,16.87247,16.73564,16.73564,16.73564,17.04814,17.04814,16.651463,16.651463,16.655122,16.655122,
363.1899,16.423463,16.779133,17.128176,16.39884,16.39884,16.39884,15.994707,15.994707,16.009803,16.009803,16.671346,16.671346,16.873941,16.873941,16.873941,17.186441,17.186441,16.627117,16.627117,16.841633,16.841633,
363.4714,16.42586,16.826797,16.912577,16.862346,16.862346,16.862346,16.342736,16.342736,16.1875,16.1875,16.78922,16.78922,16.889297,16.889297,16.889297,17.100077,17.100077,16.630313,16.630313,16.889297,16.889297,
363.7530,16.525163,16.831304,16.756087,17.043696,17.043696,17.043696,16.669239,16.669239,16.168696,16.168696,16.950217,16.950217,16.837391,16.837391,16.837391,16.887174,16.887174,16.725109,16.725109,16.799783,16.799783,
364.0346,16.768989,16.781803,16.780697,16.65957,16.65957,16.65957,16.884494,16.884494,16.15625,16.15625,16.958702,16.958702,16.667958,16.667958,16.667958,16.667958,16.667958,16.791298,16.791298,16.811947,16.811947,
364.3161,16.919974,16.794974,16.790013,16.356315,16.356315,16.356315,16.780091,16.780091,16.133763,16.133763,17.004961,17.004961,16.458828,16.458828,16.458828,16.638724,16.638724,16.969909,16.969909,16.956185,16.956185,
364.5977,16.76727,17.007048,16.635339,16.65296,16.65296,16.65296,16.597157,16.597157,16.100681,16.100681,16.933976,16.933976,16.552161,16.552161,16.552161,16.802161,16.802161,16.933976,16.933976,16.975681,16.975681,
364.8792,16.483457,17.245506,16.306169,17.142156,17.142156,17.142156,16.405638,16.405638,16.198325,16.198325,17.063112,17.063112,16.750612,16.750612,16.750612,17.079043,17.079043,17.036969,17.036969,16.785744,16.785744,
365.1608,17.192485,16.694039,16.809248,17.078938,17.078938,17.078938,16.347038,16.347038,16.750036,16.750036,16.618389,16.618389,16.697363,16.697363,16.697363,16.481865,16.481865,16.531214,16.531214,16.358526,16.358526,
365.4424,17.400349,16.773873,16.904775,16.973176,16.973176,16.973176,16.284201,16.284201,16.961373,16.961373,16.770923,16.770923,16.568401,16.568401,16.568401,16.168053,16.168053,16.200778,16.200778,16.342275,16.342275,
365.7239,17.402615,16.873678,16.999009,16.808865,16.808865,16.808865,16.469741,16.469741,17.027285,17.027285,17.03092,17.03092,16.468089,16.468089,16.468089,16.283894,16.283894,16.000991,16.000991,16.625991,16.625991,
