,Live Spectrum 26-10-2023 13:40:57,Live Spectrum 26-10-2023 13:40:58,Live Spectrum 26-10-2023 13:40:59,Live Spectrum 26-10-2023 13:41:01,Live Spectrum 26-10-2023 13:41:02,Live Spectrum 26-10-2023 13:41:03,Live Spectrum 26-10-2023 13:41:03,Live Spectrum 26-10-2023 13:41:04,Live Spectrum 26-10-2023 13:41:05,Live Spectrum 26-10-2023 13:41:05,Live Spectrum 26-10-2023 13:41:06,Live Spectrum 26-10-2023 13:41:07,Live Spectrum 26-10-2023 13:41:08,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:11,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
366.5686,18.11629,17.8125,17.440501,17.327212,18.252707,17.11629,18.525541,18.28996,17.715749,17.5625,17.91496,17.911665,17.153543,17.716336,17.917373,17.917373,17.917373,17.215455,17.215455,17.650248,17.650248,17.650248,17.787252,17.787252,
366.8502,17.877593,17.805012,17.668634,17.849942,18.057604,16.855127,18.447581,18.3714,17.525058,17.5625,18.138681,17.626296,17.408553,18.169931,17.694988,17.694988,17.694988,16.796227,16.796227,17.283843,17.283843,17.283843,18.161146,18.161146,
367.1317,17.54857,17.771988,17.878464,17.700153,17.871536,16.649322,18.299774,17.627187,17.341416,17.682906,18.14232,17.540512,17.95143,18.256928,17.653916,17.653916,17.653916,16.825226,16.825226,17.121536,17.121536,17.121536,18.106403,18.106403,
367.4133,17.295954,17.694854,17.602946,17.106617,17.783092,16.935658,18.332721,16.648896,17.1875,18.001837,17.669121,17.529413,18.303308,18.047796,17.577204,17.577204,17.577204,16.968746,16.968746,17.286762,17.286762,17.286762,17.534925,17.534925,
367.6949,17.57819,17.42748,17.00132,17.26424,17.48721,17.30828,18.19739,16.8779,17.20029,18.02413,17.38067,17.58386,18.39491,17.8423,17.82107,17.82107,17.82107,17.35087,17.35087,17.62223,17.62223,17.62223,17.64346,17.64346,
367.9764,17.941239,17.245678,16.702044,17.331367,17.73055,17.495678,17.914894,17.1934,17.233294,17.954206,17.532828,17.706367,18.33785,17.735456,17.954206,17.954206,17.954206,17.246261,17.246261,17.625583,17.625583,17.625583,17.639544,17.639544,
368.2580,18.206463,17.296207,16.881676,17.264957,18.129006,17.529915,17.667202,17.425213,17.135952,17.823452,18.05956,17.477031,17.87794,17.751335,17.904915,17.904915,17.904915,16.866988,16.866988,17.505341,17.505341,17.505341,17.493324,17.493324,
368.5395,18.299284,17.263216,17.337836,17.322138,18.074474,17.319655,17.616603,17.572138,17.067319,17.71875,18.488026,17.240362,17.395371,17.745181,17.856966,17.856966,17.856966,16.669466,16.669466,18.021758,18.021758,18.021758,17.271612,17.271612,
368.8211,18.13457,17.19069,17.54273,17.39477,17.75128,17.02934,17.89349,17.66454,17.1926,17.75829,18.21812,17.10842,17.21046,17.63967,17.76467,17.76467,17.76467,16.57717,16.57717,18.39158,18.39158,18.39158,17.23852,17.23852,
369.1027,17.923754,16.962757,17.445253,17.449248,17.667998,16.894502,18.117247,17.6875,17.228501,17.953244,17.677511,17.0625,17.230498,17.400257,17.869245,17.869245,17.869245,16.294758,16.294758,18.15801,18.15801,18.15801,17.443493,17.443493,
369.3842,17.898222,17.594888,17.034695,17.306195,18.314499,17.060778,17.900806,17.594611,17.125861,17.82225,18.018916,17.80561,17.133889,17.219611,17.844611,17.844611,17.844611,16.628722,16.628722,17.82225,17.82225,17.82225,18.018916,18.018916,
369.6658,17.981067,18.0682,17.35515,17.225061,18.182106,17.025245,17.737683,17.737072,17.243383,17.625306,18.037867,18.336828,17.218444,17.461828,18.086828,18.086828,18.086828,17.030639,17.030639,17.75,17.75,17.75,17.96305,17.96305,
369.9473,17.866754,18.578038,17.681944,17.725086,18.09375,16.866754,17.638802,18.260937,17.547743,17.353907,18.133246,18.273004,17.409896,17.957638,18.369444,18.369444,18.369444,17.067101,17.067101,17.989843,17.989843,17.989843,18.119444,18.119444,
370.2289,18.042224,18.486129,17.350155,18.152741,17.980336,17.070577,17.568293,18.34375,17.650457,17.510974,17.929423,17.541164,17.607621,17.747716,18.122716,18.122716,18.122716,16.835673,16.835673,18.371491,18.371491,18.371491,18.184603,18.184603,
370.5105,18.002397,18.108134,17.162243,18.367808,18.149058,18.205649,17.412243,18.494007,17.896661,18.012071,17.665839,17.198288,17.805308,17.778853,18.09375,18.09375,18.09375,17.173116,17.173116,18.045634,18.045634,18.045634,18.337757,18.337757,
370.7920,17.837835,18.035193,17.309543,17.966778,18.314965,18.367606,17.561514,18.273856,18.000986,18.376972,17.530264,17.663151,17.78125,17.602622,18.346215,18.346215,18.346215,17.689472,17.689472,17.305106,17.305106,17.305106,18.214807,18.214807,
371.0736,17.462216,18.300853,17.122822,17.863353,18.46875,17.882291,17.515246,17.80161,18.064678,18.493466,17.492709,18.100284,17.779072,18.186743,18.5,18.5,18.5,17.775473,17.775473,16.858996,16.858996,16.858996,17.966572,17.966572,
371.3552,17.498424,18.450647,17.217174,18.074859,18.403181,17.585642,17.68018,17.683249,18.005039,18.452534,17.797072,18.102646,17.78857,18.586036,18.503857,18.503857,18.503857,17.354533,17.354533,17.128069,17.128069,17.128069,17.918215,17.918215,
