,Live Spectrum 26-10-2023 13:37:32,Live Spectrum 26-10-2023 13:37:33,Live Spectrum 26-10-2023 13:37:34,Live Spectrum 26-10-2023 13:37:34,Live Spectrum 26-10-2023 13:37:34,Live Spectrum 26-10-2023 13:37:34,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:36,Live Spectrum 26-10-2023 13:37:36,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
371.3552,17.27393,16.890822,16.640822,16.758108,16.758108,17.145073,17.145073,17.145073,16.745749,16.745749,16.745749,16.773536,16.773536,16.773536,
371.6367,17,16.737012,16.592077,16.632458,16.632458,16.854809,16.854809,16.854809,16.920911,16.920911,16.920911,16.707691,16.707691,16.707691,
371.9183,17.028785,16.459287,16.875,16.819696,16.819696,16.899054,16.899054,16.899054,16.822161,16.822161,16.822161,16.641857,16.641857,16.641857,
372.1998,17.15157,16.227607,16.82186,16.861463,16.861463,16.795291,16.795291,16.795291,16.829709,16.829709,16.829709,16.602607,16.602607,16.602607,
372.4814,17.208239,16.439194,16.498306,16.885228,16.885228,16.551707,16.551707,16.551707,17.136358,17.136358,17.136358,16.614489,16.614489,16.614489,
372.7630,17.175341,16.788182,16.088524,16.758638,16.758638,16.541703,16.541703,16.541703,17.34375,17.34375,17.34375,16.59375,16.59375,16.59375,
373.0445,17.018243,16.487787,16.169257,16.555997,16.555997,16.84946,16.84946,16.84946,17.205743,17.205743,17.205743,16.648953,16.648953,16.648953,
373.3261,16.797441,15.986449,16.436369,16.422441,16.422441,17.278987,17.278987,17.278987,16.876886,16.876886,16.876886,16.703314,16.703314,16.703314,
373.6076,16.869462,16.529273,16.462986,16.357934,16.357934,17.025033,17.025033,17.025033,16.923542,16.923542,16.923542,16.653368,16.653368,16.653368,
373.8892,16.95006,17.10631,16.331492,16.32506,16.32506,16.693629,16.693629,16.693629,16.925544,16.925544,16.925544,16.587621,16.587621,16.587621,
374.1708,16.896886,17.09375,16.321864,16.414034,16.414034,16.698443,16.698443,16.698443,16.873421,16.873421,16.873421,16.582807,16.582807,16.582807,
374.4523,16.743491,17.071832,16.431423,16.600259,16.600259,16.665582,16.665582,16.665582,16.884332,16.884332,16.884332,16.659504,16.659504,16.659504,
374.7339,16.6875,17.015453,16.562843,17.0091,17.0091,16.773867,16.773867,16.773867,16.898523,16.898523,16.898523,16.734547,16.734547,16.734547,
375.0155,16.662378,17.10049,16.618872,17.175245,17.175245,16.561276,16.561276,16.561276,16.981617,16.981617,16.981617,16.825367,16.825367,16.825367,
375.2970,16.629535,17.285293,16.731862,17.107354,17.107354,16.713724,16.713724,16.713724,16.786276,16.786276,16.786276,16.763604,16.763604,16.763604,
375.5786,16.794815,17.369105,16.608488,16.895633,16.895633,16.63679,16.63679,16.63679,16.608488,16.608488,16.608488,16.75,16.75,16.75,
375.8601,16.663083,16.777332,16.713284,16.875,16.875,16.146866,16.146866,16.146866,16.563867,16.563867,16.563867,16.779883,16.779883,16.779883,
376.1417,16.844166,16.376458,16.657916,16.780625,16.780625,16.251041,16.251041,16.251041,16.877291,16.877291,16.877291,16.875,16.875,16.875,
376.4233,16.91158,16.613295,16.916911,16.698161,16.698161,16.413357,16.413357,16.413357,17.222304,17.222304,17.222304,16.86967,16.86967,16.86967,
376.7048,17.006679,16.924142,17.050338,16.881679,16.881679,16.524571,16.524571,16.524571,17.237838,17.237838,17.237838,16.767892,16.767892,16.767892,
376.9864,17.047812,16.743957,16.633644,16.966876,16.966876,16.458958,16.458958,16.458958,16.855416,16.855416,16.855416,16.641562,16.641562,16.641562,
377.2679,16.94941,16.368553,16.427555,17.10566,17.10566,16.412697,16.412697,16.412697,16.653302,16.653302,16.653302,16.536714,16.536714,16.536714,
377.5495,16.882991,16.431652,16.877858,16.983303,16.983303,16.413527,16.413527,16.413527,16.265268,16.265268,16.265268,16.469464,16.469464,16.469464,
377.8311,16.887191,16.6875,17.192822,16.738923,16.738923,16.296101,16.296101,16.296101,16.55229,16.55229,16.55229,16.610149,16.610149,16.610149,
378.1126,16.84375,16.565814,17.029313,16.577436,16.577436,16.198562,16.198562,16.198562,17.224001,17.224001,17.224001,16.71875,16.71875,16.71875,
378.3942,16.894106,16.457051,16.96875,16.857229,16.857229,16.168394,16.168394,16.168394,17.100267,17.100267,17.100267,16.731339,16.731339,16.731339,
378.6758,16.94053,16.709659,16.99697,17.0625,17.0625,15.966762,15.966762,15.966762,17.18447,17.18447,17.18447,16.77822,16.77822,16.77822,
378.9573,16.703131,16.921872,17.000001,17.093749,17.093749,15.718753,15.718753,15.718753,17.109378,17.109378,17.109378,16.906247,16.906247,16.906247,
379.2389,16.517133,16.705715,17.003017,17.159267,17.159267,15.762067,15.762067,15.762067,16.845799,16.845799,16.845799,17.017133,17.017133,17.017133,
379.5204,16.400795,16.2325,17.068523,17.336591,17.336591,16.191819,16.191819,16.191819,16.774659,16.774659,16.774659,16.919432,16.919432,16.919432,
379.8020,16.393034,16.295084,17.03335,17.538167,17.538167,16.607584,16.607584,16.607584,17.074235,17.074235,17.074235,16.642416,16.642416,16.642416,
380.0836,16.351002,16.384625,16.827003,16.945012,16.945012,17.043119,17.043119,17.043119,16.93763,16.93763,16.93763,16.963742,16.963742,16.963742,
380.3651,16.612928,16.467439,16.865549,16.818019,16.818019,16.748413,16.748413,16.748413,17.020489,17.020489,17.020489,17.271799,17.271799,17.271799,
380.6467,16.915464,16.721303,16.980018,17.022535,17.022535,16.59375,16.59375,16.59375,17.019982,17.019982,17.019982,17.238732,17.238732,17.238732,
380.9282,16.786311,16.937627,17.208502,16.984312,16.984312,16.776189,16.776189,16.776189,16.973937,16.973937,16.973937,16.801746,16.801746,16.801746,
381.2098,16.72247,16.99628,16.699392,16.665915,16.665915,16.84003,16.84003,16.84003,16.638385,16.638385,16.638385,16.581098,16.581098,16.581098,
381.4914,17.037665,17.057984,16.653992,16.596008,16.596008,16.58282,16.58282,16.58282,16.448789,16.448789,16.448789,16.649477,16.649477,16.649477,
381.7729,16.971155,17.032052,16.625802,16.867784,16.867784,16.532052,16.532052,16.532052,16.528845,16.528845,16.528845,16.625802,16.625802,16.625802,
382.0545,16.774767,16.802776,16.811852,17.182314,17.182314,16.783195,16.783195,16.783195,16.732363,16.732363,16.732363,16.593102,16.593102,16.593102,
382.3360,16.472935,16.324919,16.777065,16.933315,16.933315,16.895923,16.895923,16.895923,17.3478,17.3478,17.3478,16.585516,16.585516,16.585516,
382.6176,16.53125,16.0625,16.665791,16.871469,16.871469,17.212214,17.212214,17.212214,16.947566,16.947566,16.947566,16.899189,16.899189,16.899189,
382.8992,16.561029,16.107168,16.225184,16.84375,16.84375,17.391361,17.391361,17.391361,16.825918,16.825918,16.825918,16.774267,16.774267,16.774267,
383.1807,16.73153,16.439597,16.164038,16.862919,16.862919,17.254992,17.254992,17.254992,17.017771,17.017771,17.017771,16.41264,16.41264,16.41264,
383.4623,16.796871,16.867175,16.601525,16.984364,16.984364,16.968764,16.968764,16.968764,16.820318,16.820318,16.820318,16.484364,16.484364,16.484364,
383.7439,16.825298,16.994347,17.130653,17.152678,17.152678,16.827379,16.827379,16.827379,16.694645,16.694645,16.694645,16.671129,16.671129,16.671129,
384.0254,16.791885,16.810533,17.080492,17.303832,17.303832,17.001312,17.001312,17.001312,16.668853,16.668853,16.668853,16.632356,16.632356,16.632356,
384.3070,16.643955,16.745389,16.728228,17.3604,17.3604,17.088883,17.088883,17.088883,16.76665,16.76665,16.76665,16.644723,16.644723,16.644723,
384.5885,16.509368,16.883753,16.580313,17.120316,17.120316,17.017813,17.017813,17.017813,16.620624,16.620624,16.620624,17.111563,17.111563,17.111563,
384.8701,16.746816,16.738355,16.384552,16.957105,16.957105,17.029658,17.029658,17.029658,16.760053,16.760053,16.760053,17.108579,17.108579,17.108579,
