,Live Spectrum 26-10-2023 13:25:28,Live Spectrum 26-10-2023 13:25:32,Live Spectrum 26-10-2023 13:25:33,Live Spectrum 26-10-2023 13:25:34,Live Spectrum 26-10-2023 13:25:34,Live Spectrum 26-10-2023 13:25:35,Live Spectrum 26-10-2023 13:25:36,Live Spectrum 26-10-2023 13:25:36,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:40,Live Spectrum 26-10-2023 13:25:40,Live Spectrum 26-10-2023 13:25:41,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
367.9764,28.373834,28.30269,27.9375,27.919629,28.582945,28.657245,28.596906,28.442817,27.957362,27.957362,28.697722,28.697722,28.697722,27.518284,27.518284,27.518284,28.0059,28.026345,27.381895,27.961684,
368.2580,29.233438,29.409986,28.442572,29.040327,28.945512,29.369389,29.405981,29.022969,28.912657,28.912657,29.384077,29.384077,29.384077,28.240114,28.240114,28.240114,28.270298,28.734773,28.505072,28.605767,
368.5395,30.067465,30.168371,29.826008,30.224957,29.702103,29.990508,30.146758,29.7105,29.803008,29.803008,30.478534,30.478534,30.478534,29.40406,29.40406,29.40406,28.970138,29.634784,29.275336,29.452103,
368.8211,31.01083,31.05866,31.01402,30.98405,30.44132,30.5778,30.93175,30.52869,30.588,30.588,30.63776,30.63776,30.63776,30.77613,30.77613,30.77613,30.33544,30.24872,29.79655,30.42856,
369.1027,31.795234,32.082477,31.162005,31.306745,30.925989,31.007991,31.519739,31.125238,31.175989,31.175989,30.650495,30.650495,30.650495,31.388746,31.388746,31.388746,31.648973,30.160008,30.312738,31.115487,
369.3842,32.023222,33.187777,32.440637,32.071666,31.782388,31.844888,32.19036,31.583139,31.985944,31.985944,31.87986,31.87986,31.87986,32.575388,32.575388,32.575388,33.509443,31.525498,32.419414,31.629583,
369.6658,33.228316,34.092222,34.028499,33.060666,33.12856,33.240938,32.798961,32.485544,32.542955,32.542955,32.829905,32.829905,32.829905,33.1932,33.1932,33.1932,34.280639,32.579905,33.293261,31.849755,
369.9473,34.677169,34.889583,35.591665,33.836284,34.818662,34.064236,34.132117,33.673523,33.237933,33.237933,33.155295,33.155295,33.155295,34.289322,34.289322,34.289322,34.583593,33.598176,33.530295,33.473957,
370.2289,35.243595,35.283534,36.152741,34.391155,35.346034,33.872716,35.42118,34.495879,34.137646,34.137646,33.641155,33.641155,33.641155,35.234293,35.234293,35.234293,34.738414,34.628956,34.186275,34.061888,
370.5105,36.002482,35.342551,36.698373,35.068578,35.765667,34.715239,36.462841,34.983219,35.721317,35.721317,34.408732,34.408732,34.408732,36.063783,36.063783,36.063783,35.020462,34.989212,34.971232,35.776625,
370.7920,36.63338,35.611495,36.915615,35.825809,36.233044,36.548502,36.736988,35.612974,36.691936,36.691936,35.544066,35.544066,35.544066,36.28963,36.28963,36.28963,36.045544,34.95278,35.547516,36.607059,
371.0736,37.125757,36.768845,37.502178,36.647538,37.131534,37.572727,37.922917,36.836459,36.936079,36.936079,36.337216,36.337216,36.337216,36.825568,36.825568,36.825568,36.957103,35.967236,36.595171,37.476705,
371.3552,36.8846,37.572495,37.623818,36.589105,37.403885,37.07942,38.635783,37.202534,36.70442,36.70442,36.36571,36.36571,36.36571,37.223705,37.223705,37.223705,37.29589,36.842962,36.99268,37.930574,
371.6367,38.206273,38.442775,38.325488,37.038708,38.796166,38.553369,39.018007,37.553369,38.261315,38.261315,37.309154,37.309154,37.309154,38.81803,38.81803,38.81803,37.899047,37.342077,36.762988,37.514916,
371.9183,39.069299,38.160783,38.58882,37.578563,39.249801,38.778586,38.396589,37.864941,38.886729,38.886729,37.774252,37.774252,37.774252,38.994871,38.994871,38.994871,38.32896,37.790514,37.235011,37.903785,
