,Live Spectrum 26-10-2023 13:19:37,,Live Spectrum 26-10-2023 13:20:38,,Live Spectrum 26-10-2023 13:20:38,,Live Spectrum 26-10-2023 13:20:43,,Live Spectrum 26-10-2023 13:20:45,,Live Spectrum 26-10-2023 13:20:46,,Live Spectrum 26-10-2023 13:21:03,,Live Spectrum 26-10-2023 13:21:04,,Live Spectrum 26-10-2023 13:21:05,
Wavelength [nm],Intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,
369.6878,16.914533,369.6658,16.730761,369.6658,17.418261,369.6658,16.613295,369.6658,17.081739,369.6658,16.887317,369.6658,16.862378,369.6658,17.292344,369.6658,17.092833,
369.9701,16.898995,369.9473,16.914496,369.9473,17.601996,369.9473,16.557899,369.9473,16.924653,369.9473,17.012847,369.9473,16.928299,369.9473,17.4375,369.9473,17.427343,
370.2524,16.929366,370.2289,17.050914,370.2289,17.511586,370.2289,16.47744,370.2289,16.82119,370.2289,17.258077,370.2289,16.9375,370.2289,17.068905,370.2289,17.525457,
370.5346,16.969443,370.5105,17.092551,370.5105,17.530051,370.5105,16.829366,370.5105,16.992808,370.5105,17.431507,370.5105,16.9375,370.5105,16.941096,370.5105,17.53125,
370.8169,17.011286,370.7920,16.838328,370.7920,17.871057,370.7920,16.967764,370.7920,17.154771,370.7920,17.402307,370.7920,17.05905,370.7920,17.433064,370.7920,17.494085,
371.0992,17.022069,371.0736,16.493466,371.0736,17.590151,371.0736,16.880113,371.0736,17.066856,371.0736,17.14536,371.0736,16.830682,371.0736,17.110511,371.0736,17.068371,
371.3815,16.941788,371.3552,16.452534,371.3552,17.117286,371.3552,16.585248,371.3552,17.071002,371.3552,16.953716,371.3552,16.683249,371.3552,16.53857,371.3552,16.432067,
371.6637,16.906981,371.6367,16.770191,371.6367,17.051441,371.6367,16.996399,371.6367,16.676441,371.6367,16.63053,371.6367,16.875,371.6367,16.829089,371.6367,17.253601,
371.9460,16.860038,371.9183,16.704357,371.9183,17.007196,371.9183,17.175374,371.9183,16.689766,371.9183,16.65625,371.9183,16.896589,371.9183,16.956624,371.9183,17.089019,
372.2283,16.822011,372.1998,16.691676,372.1998,17.05782,372.1998,17.281754,372.1998,16.870824,372.1998,16.735959,372.1998,17.030746,372.1998,17.17814,372.1998,16.94218,
372.5105,16.816282,372.4814,16.844315,372.4814,17.114489,372.4814,17.019892,372.4814,16.802272,372.4814,16.9375,372.4814,17.208522,372.4814,17.375565,372.4814,16.917043,
372.7928,16.846286,372.7630,17.029544,372.7630,16.996479,372.7630,16.776024,372.7630,16.868068,372.7630,16.986135,372.7630,17.104094,372.7630,17.414888,372.7630,16.987841,
373.0751,16.855294,373.0445,17.097399,373.0445,16.829949,373.0445,16.801554,373.0445,17.016656,373.0445,16.979696,373.0445,16.709392,373.0445,17.060439,373.0445,16.927348,
373.3574,16.86454,373.3261,16.969881,373.3261,16.843373,373.3261,17.045178,373.3261,17.171686,373.3261,16.813254,373.3261,16.268454,373.3261,16.580577,373.3261,16.813254,
373.6396,16.877416,373.6076,17.079792,373.6076,17.421113,373.6076,17.01684,373.6076,17.221632,373.6076,16.562274,373.6076,16.679759,373.6076,16.272604,373.6076,16.511076,
373.9219,16.866513,373.8892,17.23131,373.8892,17.762863,373.8892,16.800242,373.8892,17.324758,373.8892,16.593145,373.8892,17.23744,373.8892,16.430464,373.8892,16.555464,
374.2042,16.863456,374.1708,17.117216,374.1708,17.525045,374.1708,16.689079,374.1708,17.415614,374.1708,16.820284,374.1708,17.229693,374.1708,16.817126,374.1708,16.881205,
374.4864,16.881925,374.4523,16.952909,374.4523,17.327909,374.4523,16.700086,374.4523,17.284073,374.4523,16.743491,374.4523,17.196832,374.4523,16.9375,374.4523,16.859159,
374.7687,16.913551,374.7339,16.812157,374.7339,17.375343,374.7339,16.765797,374.7339,17.07761,374.7339,16.381697,374.7339,17.352163,374.7339,16.843407,374.7339,16.577267,
375.0510,16.960313,375.0155,16.856617,375.0155,17.255515,375.0155,16.806372,375.0155,16.805148,375.0155,16.306372,375.0155,17.356005,375.0155,16.8125,375.0155,16.324143,
375.3333,16.976376,375.2970,16.928431,375.2970,17.138604,375.2970,16.865931,375.2970,16.776715,375.2970,16.713232,375.2970,17.317035,375.2970,17.133086,375.2970,16.895706,
375.6155,16.865488,375.5786,17.079012,375.5786,17.096698,375.5786,16.846698,375.5786,16.951065,375.5786,17.149182,375.5786,17.170988,375.5786,17.583734,375.5786,17.481142,
375.8978,16.94626,375.8601,16.735149,375.8601,17.422467,375.8601,17.142584,375.8601,17.506651,375.8601,16.679482,375.8601,17.33555,375.8601,17.296283,375.8601,16.843932,
376.1801,16.999499,376.1417,16.907083,376.1417,17.124375,376.1417,17.187084,376.1417,17.311459,376.1417,16.718125,376.1417,17.375625,376.1417,17.1875,376.1417,17.094791,
376.4623,16.961459,376.4233,17.03658,376.4233,17.03658,376.4233,17.114339,376.4233,17.133151,376.4233,16.628554,376.4233,17.46875,376.4233,17.176839,376.4233,17.246446,
376.7446,16.99124,376.7048,17.118321,376.7048,17.088267,376.7048,16.950858,376.7048,16.736642,376.7048,16.714215,376.7048,17.455392,376.7048,16.959927,376.7048,17.160785,
377.0269,17.006286,376.9864,17.047812,376.9864,16.776354,376.9864,17.08698,376.9864,16.625,376.9864,16.942396,376.9864,17.31927,376.9864,16.625,376.9864,16.927708,
377.3092,16.970789,377.2679,16.930071,377.2679,16.666195,377.2679,17.173624,377.2679,16.657233,377.2679,17.026769,377.2679,17.148821,377.2679,16.64434,377.2679,16.849214,
377.5914,16.876366,377.5495,16.773259,377.5495,16.263839,377.5495,16.960044,377.5495,16.829197,377.5495,17.281964,377.5495,16.968036,377.5495,16.734732,377.5495,16.773973,
377.8737,16.793211,377.8311,16.721411,377.8311,16.193255,377.8311,16.910458,377.8311,17.111696,377.8311,17.241584,377.8311,16.951238,377.8311,17.019493,377.8311,16.805631,
378.1560,16.824069,378.1126,16.722624,378.1126,16.518251,378.1126,17.106749,378.1126,17.404313,378.1126,16.904313,378.1126,17.147125,378.1126,17.573562,378.1126,16.774062,
378.4383,16.852752,378.3942,16.957051,378.3942,16.31161,378.3942,17.225267,378.3942,17.230449,378.3942,16.868928,378.3942,17.06161,378.3942,17.606339,378.3942,16.925356,
378.7205,16.890968,378.6758,17.11089,378.6758,16.393086,378.6758,17.28125,378.6758,16.991951,378.6758,16.89214,378.6758,16.84678,378.6758,17.526232,378.6758,16.98589,
379.0028,16.891331,378.9573,17.156248,378.9573,17.093739,378.9573,17.250001,378.9573,17.062496,378.9573,16.921874,378.9573,16.937496,378.9573,17.078134,378.9573,16.875003,
379.2851,16.945639,379.2389,17.133083,379.2389,17.657218,379.2389,17.150216,379.2389,17.133083,379.2389,17.122951,379.2389,17.1139,379.2389,16.732867,379.2389,16.712716,
379.5673,17.017394,379.5204,17.006591,379.5204,17.551591,379.5204,16.926023,379.5204,17.137046,379.5204,17.231364,379.5204,17.007159,379.5204,16.700114,379.5204,16.730796,
379.8496,17.018239,379.8020,16.96875,379.8020,16.932064,379.8020,16.792367,379.8020,17.1271,379.8020,17.238883,379.8020,16.825716,379.8020,16.768034,379.8020,16.881917,
380.1319,16.999292,380.0836,17.011999,380.0836,16.752374,380.0836,16.78125,380.0836,17.115375,380.0836,17.336498,380.0836,16.997496,380.0836,17.09362,380.0836,17.283493,
380.4142,16.965858,380.3651,17.123689,380.3651,16.873689,380.3651,16.78125,380.3651,16.917011,380.3651,17.190121,380.3651,16.978201,380.3651,16.848992,380.3651,17.321951,
380.6964,16.959257,380.6467,17.377553,380.6467,16.930839,380.6467,16.264876,380.6467,16.769982,380.6467,17.125,380.6467,17.011268,380.6467,16.743339,380.6467,17.084536,
380.9787,16.98976,380.9282,17.359312,380.9282,16.911437,380.9282,16.177126,380.9282,16.958502,380.9282,17.151063,380.9282,17.31794,380.9282,16.697874,380.9282,16.953062,
381.2610,17.031382,381.2098,17.095976,381.2098,16.93378,381.2098,16.242561,381.2098,17.055061,381.2098,17.431554,381.2098,17.430061,381.2098,16.962804,381.2098,16.992561,
381.5432,16.983184,381.4914,16.80157,381.4914,16.879516,381.4914,16.25,381.4914,16.917539,381.4914,17.584719,381.4914,17.524477,381.4914,17.086977,381.4914,17.086977,
381.8255,16.938154,381.7729,17.024836,381.7729,16.844552,381.7729,16.280448,381.7729,16.967146,381.7729,17.471957,381.7729,17.318112,381.7729,17.032854,381.7729,16.971957,
382.1078,16.878032,382.0545,17.173887,382.0545,16.786436,382.0545,16.664677,382.0545,17.281898,382.0545,17.341805,382.0545,17.154305,382.0545,16.94139,382.0545,16.820927,
382.3901,16.868161,382.3360,16.575189,382.3360,17.010327,382.3360,17.072962,382.3360,17.310408,382.3360,17.245815,382.3360,17.043669,382.3360,17.099892,382.3360,17.21875,
382.6723,16.854508,382.6176,17.226337,382.6176,16.725811,382.6176,17.250526,382.6176,17.267128,382.6176,17.159255,382.6176,16.78125,382.6176,16.746469,382.6176,17.225811,
382.9546,16.834441,382.8992,17.496508,382.8992,16.820955,382.8992,17.450369,382.8992,17.15625,382.8992,16.907721,382.8992,16.840807,382.8992,16.748529,382.8992,17.311029,
383.2369,16.84132,383.1807,17.235822,383.1807,17.02486,383.1807,17.155551,383.1807,17.15625,383.1807,16.711661,383.1807,17.232928,383.1807,17.002097,383.1807,17.487919,
383.5192,16.879038,383.4623,16.960932,383.4623,17,383.4623,17.007818,383.4623,17.148439,383.4623,16.554689,383.4623,17.546871,383.4623,17.453107,383.4623,17.5625,
383.8014,16.965033,383.7439,17.086605,383.7439,17,383.7439,16.909822,383.7439,17.134226,383.7439,16.53125,383.7439,17.519943,383.7439,17.669048,383.7439,17.507145,
384.0837,17.005329,384.0254,17.250656,384.0254,17.212705,384.0254,16.726762,384.0254,17.177521,384.0254,16.669508,384.0254,17.131045,384.0254,17.571824,384.0254,17.279283,
384.3660,16.981466,384.3070,17.240267,384.3070,17.637039,384.3070,16.897284,384.3070,17.122439,384.3070,17.069928,384.3070,16.93545,384.3070,17.324283,384.3070,17.238217,
384.6482,16.935372,384.5885,17.151874,384.5885,17.589066,384.5885,17.437192,384.5885,16.955313,384.5885,17.079698,384.5885,17.254376,384.5885,17.066876,384.5885,17.562808,
384.9305,16.901157,384.8701,17.291303,384.8701,17.336881,384.8701,17.268013,384.8701,16.78921,384.8701,16.619723,384.8701,17.159434,384.8701,17.046079,384.8701,17.643013,
385.2128,16.859498,385.1517,17.325173,385.1517,17.058957,385.1517,17.089026,385.1517,16.625,385.1517,16.373819,385.1517,16.980242,385.1517,16.981423,385.1517,17.399165,
385.4951,16.863991,385.4332,17.197211,385.4332,16.704807,385.4332,17.021539,385.4332,16.625,385.4332,16.537308,385.4332,16.699038,385.4332,16.923846,385.4332,17.130769,
385.7773,16.828812,385.7148,17.080365,385.7148,16.594856,385.7148,16.967644,385.7148,16.625,385.7148,16.83927,385.7148,16.543529,385.7148,16.994414,385.7148,17.119414,
386.0596,16.805872,385.9963,16.949888,385.9963,16.635909,385.9963,17.028294,385.9963,16.767384,385.9963,16.734094,385.9963,16.693975,385.9963,17.295678,385.9963,17.013866,
386.3419,16.920929,386.2779,16.90625,386.2779,16.733521,386.2779,17.006933,386.2779,16.84375,386.2779,16.646704,386.2779,16.868067,386.2779,17.546021,386.2779,16.828979,
386.6241,16.859615,386.5595,16.675627,386.5595,16.712063,386.5595,16.207694,386.5595,16.451691,386.5595,16.725437,386.5595,17.090748,386.5595,17.040255,386.5595,16.550627,
386.9064,16.874951,386.8410,16.789067,386.8410,16.736329,386.8410,16.157232,386.8410,16.458988,386.8410,17.042976,386.8410,17.034177,386.8410,16.916994,386.8410,16.712896,
387.1887,16.942272,387.1226,17.152886,387.1226,16.904568,387.1226,16.502125,387.1226,16.525761,387.1226,17.253807,387.1226,16.974239,387.1226,17.143591,387.1226,16.935818,
387.4710,16.942717,387.4042,17.435569,387.4042,17.04591,387.4042,16.643807,387.4042,16.63966,387.4042,17.362557,387.4042,16.995852,387.4042,17.268807,387.4042,16.806136,
387.7532,16.888416,387.6857,17.497188,387.6857,17.176251,387.6857,16.826877,387.6857,16.969066,387.6857,17.147497,387.6857,17.170627,387.6857,17.366563,387.6857,16.610623,
388.0355,16.859564,387.9673,17.440465,387.9673,17.157732,387.9673,16.784215,387.9673,17.059535,387.9673,16.916627,387.9673,17.217268,387.9673,17.315465,387.9673,16.504447,
388.3178,16.902208,388.2488,17.033307,388.2488,16.752057,388.2488,16.843434,388.2488,17.217959,388.2488,16.90625,388.2488,16.970016,388.2488,17.219225,388.2488,16.779826,
388.6001,16.973193,388.5304,16.789296,388.5304,16.518563,388.5304,16.891243,388.5304,17.145808,388.5304,17.024289,388.5304,16.78357,388.5304,17.305539,388.5304,17.048578,
388.8823,16.951746,388.8120,16.222121,388.8120,17.017311,388.8120,17.307554,388.8120,16.894784,388.8120,16.84375,388.8120,16.861061,388.8120,17.129946,388.8120,16.682554,
389.1646,16.925826,389.0935,16.666582,389.0935,17.22253,389.0935,17.25378,389.0935,17.125,389.0935,16.862651,389.0935,17.07006,389.0935,17.17616,389.0935,16.63634,
389.4469,16.91421,389.3751,16.994159,389.3751,17.224591,389.3751,17.25076,389.3751,17.150409,389.3751,17,389.3751,17.089428,389.3751,17.088668,389.3751,16.739077,
389.7291,16.907019,389.6566,17.099489,389.6566,17.068239,389.6566,17.074617,389.6566,17.255739,389.6566,16.993622,389.6566,16.816961,389.6566,17.043367,389.6566,16.913906,
390.0114,16.899866,389.9382,16.930985,389.9382,16.953413,389.9382,16.95399,389.9382,17.102572,389.9382,16.976418,389.9382,16.445745,389.9382,16.930409,389.9382,17.23351,
390.2937,16.870975,390.2198,16.665031,390.2198,16.93311,390.2198,16.767734,390.2198,16.865874,390.2198,17.044766,390.2198,16.419766,390.2198,16.749827,390.2198,17.34814,
390.5760,16.885733,390.5013,16.551715,390.5013,17.071628,390.5013,16.666483,390.5013,16.718198,390.5013,17.135785,390.5013,16.561948,390.5013,16.552819,390.5013,17.260785,
390.8582,16.91317,390.7829,16.881413,390.7829,17.011633,390.7829,16.745033,390.7829,16.988367,390.7829,17.036217,390.7829,16.820611,390.7829,16.687374,390.7829,17.034646,
391.1405,16.939035,391.0645,17.413325,391.0645,16.70735,391.0645,16.856525,391.0645,17.228776,391.0645,16.873626,391.0645,17.079601,391.0645,17.0625,391.0645,16.757075,
