,Live Spectrum 26-10-2023 13:39:50,Live Spectrum 26-10-2023 13:39:52,Live Spectrum 26-10-2023 13:39:52,Live Spectrum 26-10-2023 13:39:53,Live Spectrum 26-10-2023 13:39:54,Live Spectrum 26-10-2023 13:39:54,Live Spectrum 26-10-2023 13:39:55,Live Spectrum 26-10-2023 13:39:55,Live Spectrum 26-10-2023 13:39:55,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:58,Live Spectrum 26-10-2023 13:39:58,Live Spectrum 26-10-2023 13:39:58,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
366.8502,16.553715,16.852535,16.877593,17.556308,17.397465,16.946285,16.913738,16.913738,16.673819,16.673819,16.673819,16.40625,16.40625,16.40625,16.931308,16.931308,16.931308,17.217454,17.217454,17.217454,16.928715,16.928715,16.77765,
367.1317,16.523118,16.799774,16.752334,17.48381,17.348344,16.884262,16.909714,16.909714,16.364535,16.364535,16.364535,16.285844,16.285844,16.285844,16.90512,16.90512,16.90512,16.997593,16.997593,16.997593,16.944428,16.944428,16.46875,
367.4133,16.159929,16.876837,16.928308,17.483459,17.029413,16.806988,16.887867,16.887867,16.1011,16.1011,16.1011,16.154408,16.154408,16.154408,17.047796,17.047796,17.047796,16.415437,16.415437,16.415437,16.768383,16.768383,16.457721,
367.6949,15.96308,16.92471,17.00712,17.2173,16.9048,16.52268,17.0327,17.0327,16.48444,16.48444,16.48444,16.68051,16.68051,16.68051,16.86788,16.86788,16.86788,16.80828,16.80828,16.80828,16.59797,16.59797,16.50145,
367.9764,16.174534,16.920794,17.091589,17.110456,16.768867,16.418633,17.154089,17.154089,16.774767,16.774767,16.774767,16.973072,16.973072,16.973072,16.768867,16.768867,16.768867,17.082945,17.082945,17.082945,16.46875,16.46875,16.666472,
368.2580,16.407585,16.986378,16.962074,17.09375,16.735043,16.647969,17.057159,17.057159,16.793537,16.793537,16.793537,16.759616,16.759616,16.759616,16.686165,16.686165,16.686165,17.266293,17.266293,17.266293,16.485043,16.485043,16.733707,
368.5395,16.257155,17.049284,16.704293,16.967509,16.713931,16.830534,16.883397,16.883397,16.592509,16.592509,16.592509,16.444655,16.444655,16.444655,16.638216,16.638216,16.638216,17.173043,17.173043,17.173043,16.536069,16.536069,16.664647,
368.8211,16.14477,17.10204,16.64477,16.75638,16.70727,16.56697,16.80421,16.80421,16.46046,16.46046,16.46046,16.39158,16.39158,16.39158,16.54592,16.54592,16.54592,17.09375,17.09375,17.09375,16.46365,16.46365,16.54592,
369.1027,16.263746,17.060502,16.65625,16.537005,16.847745,16.169758,16.716752,16.716752,16.416001,16.416001,16.416001,16.609494,16.609494,16.609494,16.671994,16.671994,16.671994,17.007753,17.007753,17.007753,16.277255,16.277255,16.564498,
369.3842,16.3125,16.961583,16.516917,16.88675,17.32425,16.457277,16.710722,16.710722,16.801027,16.801027,16.801027,16.826833,16.826833,16.826833,16.378445,16.378445,16.378445,16.597195,16.597195,16.597195,16.845749,16.845749,17.12786,
369.6658,16.337439,16.812806,16.368995,17.081128,17.144545,17.067589,16.818505,16.818505,16.962439,16.962439,16.962439,16.800183,16.800183,16.800183,16.47445,16.47445,16.47445,16.743078,16.743078,16.743078,16.937806,16.937806,17.487072,
369.9473,16.317101,16.461459,16.317101,17.226996,16.955903,17.507291,17.21684,17.21684,16.862153,16.862153,16.862153,16.754601,16.754601,16.754601,16.744444,16.744444,16.744444,17.105642,17.105642,17.105642,16.799653,16.799653,17.637847,
370.2289,16.482621,16.236129,16.596034,17.391767,17.192681,17.165552,17.167836,17.167836,17.013871,17.013871,17.013871,16.494819,16.494819,16.494819,16.979724,16.979724,16.979724,17.383077,17.383077,17.383077,16.78125,16.78125,17.514483,
370.5105,16.710359,16.609417,16.835359,17.436301,17.188699,16.944692,16.885788,16.885788,17.331763,17.331763,17.331763,16.288442,16.288442,16.288442,16.969949,16.969949,16.969949,17.225942,17.225942,17.225942,16.961558,16.961558,17.139384,
370.7920,16.779278,16.973679,16.708892,17.088328,16.874014,17.155264,16.844243,16.844243,17.367606,17.367606,17.367606,16.438979,16.438979,16.438979,16.844736,16.844736,16.844736,17.032729,17.032729,17.032729,16.967271,16.967271,16.993592,
371.0736,16.65625,17.27036,16.058901,16.732576,16.8125,17.09375,16.875,16.875,16.891004,16.891004,16.891004,16.548674,16.548674,16.548674,16.899716,16.899716,16.899716,17.129356,17.129356,17.129356,16.859754,16.859754,16.591572,
371.3552,16.633108,17.094144,15.74803,16.592568,16.858784,17.043609,16.840287,16.840287,16.718356,16.718356,16.718356,16.738823,16.738823,16.738823,16.789358,16.789358,16.789358,17.168215,17.168215,17.168215,16.729533,16.729533,16.620355,
371.6367,16.452161,16.930297,16.83822,17.238941,17.204089,16.69303,16.560572,16.560572,16.926441,16.926441,16.926441,16.387733,16.387733,16.387733,16.63053,16.63053,16.63053,17.03125,17.03125,17.03125,17.25553,17.25553,17.042309,
371.9183,16.353411,17.201893,16.8125,17.122734,17.230876,16.797909,16.391857,16.391857,16.867804,16.867804,16.867804,16.170643,16.170643,16.170643,16.65625,16.65625,16.65625,16.937699,16.937699,16.937699,17.216484,17.216484,17.165713,
372.1998,16.316676,17.25,16.856783,16.941676,16.991647,17.03593,16.414603,16.414603,16.914603,16.914603,16.914603,16.280746,16.280746,16.280746,16.620824,16.620824,16.620824,16.59843,16.59843,16.59843,16.94686,16.94686,17.37968,
372.4814,16.40625,17.102849,17.052836,17.052272,16.644327,16.874153,16.688347,16.688347,16.988642,16.988642,16.988642,16.553119,16.553119,16.553119,16.552272,16.552272,16.552272,16.552272,16.552272,16.552272,16.644327,16.644327,17.3125,
372.7630,16.418409,16.776024,17.206591,17.105909,16.239547,16.626706,16.935794,16.935794,16.671821,16.671821,16.671821,16.890679,16.890679,16.890679,16.496479,16.496479,16.496479,16.642385,16.642385,16.642385,16.397612,16.397612,17.3125,
373.0445,16.4375,16.649747,17.159899,16.959392,16.180203,16.420844,17.017449,17.017449,16.513801,16.513801,16.513801,16.993497,16.993497,16.993497,16.329949,16.329949,16.329949,16.870558,16.870558,16.870558,16.586453,16.586453,17.284899,
373.3261,16.422064,16.608809,17.109564,16.719127,16.358055,16.296686,16.969127,16.969127,16.701051,16.701051,16.701051,16.890814,16.890814,16.890814,16.3125,16.3125,16.3125,17.0625,17.0625,17.0625,16.826051,16.826051,17.234564,
373.6076,16.474514,16.605052,16.991354,16.60217,16.741806,16.636754,16.85217,16.85217,16.96033,16.96033,16.96033,16.533679,16.533679,16.533679,16.909811,16.909811,16.909811,16.550519,16.550519,16.550519,17.08533,17.08533,17.38941,
373.8892,16.643387,16.412984,16.90625,16.643387,16.95006,16.90625,16.79994,16.79994,16.956492,16.956492,16.956492,16.362137,16.362137,16.362137,17.350181,17.350181,17.350181,16.311895,16.311895,16.311895,17.13756,17.13756,17.269597,
374.1708,16.739057,16.089124,16.90625,16.982739,16.896886,16.987478,16.751579,16.751579,16.784409,16.784409,16.784409,16.478114,16.478114,16.478114,17.292193,17.292193,17.292193,16.478114,16.478114,16.478114,17.145307,17.145307,16.850067,
