,Live Spectrum 26-10-2023 13:31:25,Live Spectrum 26-10-2023 13:31:27,Live Spectrum 26-10-2023 13:31:28,Live Spectrum 26-10-2023 13:31:28,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
367.6949,16.44884,16.49143,16.49143,16.89346,16.86788,16.86788,16.53125,16.53125,17.04404,17.04404,17.04404,16.74011,16.74011,16.74011,16.79971,16.94172,16.94172,16.94172,16.88357,16.88357,16.88357,
367.9764,16.302278,16.401928,16.401928,16.889544,16.8125,16.8125,16.822139,16.822139,17.135222,17.135222,17.135222,16.90625,16.90625,16.90625,16.970328,16.768867,16.768867,16.768867,17.060339,17.060339,17.060339,
368.2580,16.21875,16.550213,16.550213,16.938835,16.991719,16.991719,17.042202,17.042202,17.202457,17.202457,17.202457,16.873665,16.873665,16.873665,17.220085,16.783921,16.783921,16.783921,17.061165,17.061165,17.061165,
368.5395,16.435164,16.733207,16.733207,16.950716,17.228388,17.228388,16.865362,16.865362,17.115362,17.115362,17.115362,16.861784,16.861784,16.861784,17.213931,16.753578,16.753578,16.753578,17.103388,17.103388,17.103388,
368.8211,16.59375,16.95089,16.95089,16.89796,17.32079,17.32079,16.57526,16.57526,17.00319,17.00319,17.00319,16.89477,16.89477,16.89477,16.93049,16.45026,16.45026,16.45026,17.17602,17.17602,17.17602,
369.1027,16.787243,17.074248,17.074248,16.875,17.257753,17.257753,16.179509,16.179509,16.861254,16.861254,16.861254,16.863252,16.863252,16.863252,16.652255,16.269502,16.269502,16.269502,17.273497,17.273497,17.273497,
369.3842,17.060778,16.907972,16.907972,16.944667,16.940084,16.940084,16.666277,16.666277,16.533834,16.533834,16.533834,16.774083,16.774083,16.774083,16.709861,16.807333,16.807333,16.807333,17.080278,17.080278,17.080278,
369.6658,17.100061,16.918567,16.918567,16.96875,17.043261,17.043261,16.949817,16.949817,16.512317,16.512317,16.512317,17.074205,17.074205,17.074205,17.049266,17.099755,17.099755,17.099755,16.950122,16.950122,16.950122,
369.9473,16.853907,16.9375,16.9375,16.782205,17.226996,17.226996,17.048698,17.048698,16.637847,16.637847,16.637847,17.15625,17.15625,17.15625,17.098351,17.151649,17.151649,17.151649,16.910851,16.910851,16.910851,
370.2289,16.699086,16.9375,16.9375,16.806707,17.25,17.25,17.005793,17.005793,16.883077,16.883077,16.883077,16.901069,16.901069,16.901069,17.462345,16.872716,16.872716,16.872716,17.019664,17.019664,17.019664,
370.5105,16.417038,17.087757,17.087757,16.451884,16.979538,16.979538,17.060103,17.060103,17.116609,17.116609,17.116609,17.145462,17.145462,17.145462,17.409846,16.933904,16.933904,16.933904,17.121404,17.121404,17.121404,
