,Live Spectrum 26-10-2023 13:42:41,Live Spectrum 26-10-2023 13:42:47,Live Spectrum 26-10-2023 13:42:48,Live Spectrum 26-10-2023 13:42:49,Live Spectrum 26-10-2023 13:42:51,Live Spectrum 26-10-2023 13:42:52,Live Spectrum 26-10-2023 13:42:55,Live Spectrum 26-10-2023 13:42:56,Live Spectrum 26-10-2023 13:42:57,Live Spectrum 26-10-2023 13:42:58,Live Spectrum 26-10-2023 13:42:59,Live Spectrum 26-10-2023 13:42:59,Live Spectrum 26-10-2023 13:43:00,Live Spectrum 26-10-2023 13:43:01,Live Spectrum 26-10-2023 13:43:02,Live Spectrum 26-10-2023 13:43:03,Live Spectrum 26-10-2023 13:43:04,Live Spectrum 26-10-2023 13:43:06,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,17.71875,18.15625,18.15625,19.0625,18.78125,18.40625,17.78125,18.1875,18,18.0625,18.75,17.8125,19.09375,18.15625,18.0625,17.59375,18.34375,17.65625,
361.2189,17.35972,18.11545,18.26528,18.45729,18.730901,18.031941,17.991669,18.052259,17.90625,17.98854,18.82014,17.82778,18.885241,18.00191,17.9592,17.90052,18.21111,17.63455,
361.5005,17.125,17.976377,18.52288,18.323196,18.384114,17.577753,18.359003,18.378813,17.910063,17.827753,18.92606,18.058687,18.543433,18.057943,17.83538,17.774367,18.09375,17.78125,
361.7821,17.227782,18.071221,18.744601,18.625,17.942899,17.756021,18.4402,18.4348,18.011731,17.94892,18.809489,18.076931,18.42338,18.312811,18.097072,17.5,18.128011,17.80409,
362.0636,17.755903,18.288002,18.984799,18.609799,17.733102,18.161304,18.3125,18.524498,18.34375,18.0076,18.625849,18.311651,18.5076,18.570949,18.561651,17.583603,18.220448,17.944252,
362.3452,18.139461,18.301926,18.833176,18.581468,18.007776,18.42133,18.179724,18.31141,18.277362,18.059702,18.559702,18.45367,18.512282,18.319805,18.637282,17.815298,17.917442,18.214244,
362.6267,18.656222,17.948889,18.4915,18.704528,18.448833,18.301139,17.920444,18.002861,17.988667,18.090917,18.647722,18.607944,18.457389,17.804,18.514222,17.579584,17.554,18.585222,
362.9083,18.504513,17.895548,18.39189,18.76436,18.502257,18.016617,17.907378,18.068688,17.882317,18.216493,18.224392,18.436098,18.503658,17.598537,18.520548,17.969297,17.679328,18.201587,
363.1899,18.135862,18.09375,18.545287,18.565676,18.491532,17.822303,17.690676,18.329713,18.213457,18.514037,17.623941,18.365473,18.472984,17.864415,18.914994,18.815676,18.139037,17.745766,
363.4714,18.28125,18.314143,18.559843,18.383984,18.885626,18.305159,17.729376,18.213437,18.290234,18.51164,17.791876,18.70711,18.309843,18.340079,19.277579,18.600077,18.23836,17.891953,
363.7530,18.337663,18.669239,18.606467,18.331304,18.905978,18.788152,18.125815,18.099837,18.143533,18.619185,18.03788,18.505544,18.187228,18.374728,19.387446,18.311957,18.187228,18.094293,
364.0346,18.540191,18.863846,18.47041,18.508941,18.492719,18.854904,18.787424,18.021202,17.680772,18.698101,18.042404,17.951421,18.042404,18.291851,19.00332,18.125553,18.186947,18.342643,
364.3161,18.872356,18.838789,18.195104,18.796133,18.267526,18.767526,19.188659,18.112435,17.491237,18.552578,17.887565,17.727513,17.955026,18.50612,18.722552,18.161211,18.196263,18.518685,
364.5977,18.701246,18.739544,18.100681,18.923637,18.347274,18.531133,18.933859,18.204887,17.864778,18.110903,17.941024,17.88898,17.961819,18.691024,18.541589,18.090226,18.430686,18.5625,
364.8792,18.311276,18.588031,17.780026,19.068219,18.479575,18.364175,18.530026,18.192606,18.570055,17.816994,18.125612,17.9375,18.125612,18.614175,18.892156,17.984069,18.604575,18.536356,
365.1608,18.026301,18.394726,17.662825,18.9819,17.996677,18.175976,18.440788,18.718786,17.792703,18.144761,18.100325,18.440823,18.212175,18.370051,18.773013,18.444111,18.345376,18.083852,
365.4424,17.910676,18.494099,18.400617,18.879426,18.145923,18.275349,18.229077,18.870574,18.104345,17.919528,18.242623,18.589324,18.159201,18.254426,18.928648,18.291577,18.014753,17.971701,
365.7239,18.126652,19.058204,18.71148,18.998348,18.78092,18.436178,18.03092,18.53092,18.530589,17.814483,18.341106,18.65592,18.188491,18.220072,18.746365,18.471063,17.656911,18.284885,
366.0055,18.28125,18.637084,18.014214,18.84162,18.741482,18.308241,18.036202,18.470187,18.490045,17.99787,18.061807,18.588798,18.28338,18.360786,18.372177,18.674723,17.742175,18.610093,
366.2870,18.265561,18.3397,17.820472,18.785044,18.609311,18.257844,18.582239,18.023278,18.793017,17.945217,17.609311,18.09375,18.336033,18.601594,17.90625,18.456856,18.074267,18.367028,
366.5686,18.139124,18.088041,18.13371,18.570916,18.477166,18.341043,18.954626,17.704332,18.812206,17.82121,17.545668,18.13371,18.53996,18.673376,17.951918,18.201918,18.167667,18.128001,
366.8502,18.099942,18.107431,18.319988,18.431308,18.352535,18.476238,19.038738,17.492512,18.418924,18.104838,17.787442,18.364919,18.771169,18.787442,18.238623,18.496111,18.143866,18.408553,
367.1317,18.098344,18.324096,18.334488,18.293976,18.392394,18.249927,19.01619,17.672513,17.96988,18.53012,17.961822,18.549774,18.696689,18.693225,18.203617,18.64232,17.934036,18.738404,
367.4133,17.933821,18.511029,18.290442,18.305146,18.39155,17.733454,18.851104,18.211396,17.904408,18.683825,18.325362,18.549633,18.125,18.209558,17.63235,18.125004,18.121321,18.507354,
367.6949,18.24578,18.50567,18.25,18.49578,17.85509,17.88779,18.64768,18.29971,18.21308,18.58808,18.82674,18.32806,18.16337,18.14768,18.06685,17.55103,18.43328,18.3423,
367.9764,18.534989,18.59965,18.25,18.625,18.115773,18.066239,18.456367,18.179439,18.090011,18.552278,18.632066,17.906833,18.48055,17.941822,18.445561,17.364195,18.6934,18.090011,
